epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,2.669,2.183,0.473,0.951,0.473,0.439,0.482,"[0.565, 0.579, 0.5, 0.354, 0.27, 0.378, 0.613, 0.515, 0.184, 0.434]"
01,2.082,1.958,0.553,0.972,0.553,0.465,0.547,"[0.533, 0.582, 0.346, 0.617, 0.356, 0.265, 0.621, 0.443, 0.341, 0.544]"
02,1.610,1.884,0.521,0.969,0.521,0.468,0.515,"[0.341, 0.603, 0.596, 0.44, 0.423, 0.463, 0.611, 0.45, 0.211, 0.538]"
03,1.887,2.638,0.424,0.959,0.424,0.434,0.436,"[0.322, 0.586, 0.595, 0.469, 0.231, 0.372, 0.342, 0.529, 0.321, 0.574]"
04,1.704,2.585,0.502,0.964,0.502,0.475,0.465,"[0.604, 0.528, 0.681, 0.609, 0.393, 0.505, 0.295, 0.46, 0.232, 0.448]"
05,1.688,3.521,0.391,0.957,0.391,0.377,0.327,"[0.474, 0.556, 0.605, 0.369, 0.255, 0.432, 0.113, 0.29, 0.274, 0.407]"
06,2.017,1.897,0.565,0.980,0.565,0.496,0.577,"[0.421, 0.677, 0.615, 0.585, 0.162, 0.54, 0.586, 0.566, 0.25, 0.554]"
07,1.577,2.353,0.448,0.969,0.448,0.457,0.460,"[0.576, 0.66, 0.611, 0.548, 0.235, 0.423, 0.281, 0.546, 0.203, 0.488]"
08,1.828,2.329,0.569,0.976,0.569,0.520,0.564,"[0.496, 0.509, 0.667, 0.64, 0.415, 0.512, 0.58, 0.564, 0.329, 0.488]"
09,1.501,2.642,0.487,0.964,0.487,0.468,0.443,"[0.513, 0.602, 0.694, 0.231, 0.38, 0.489, 0.539, 0.529, 0.106, 0.596]"
10,1.351,3.365,0.390,0.937,0.390,0.416,0.344,"[0.222, 0.6, 0.723, 0.361, 0.366, 0.491, 0.103, 0.391, 0.367, 0.532]"
11,1.243,3.052,0.449,0.943,0.449,0.425,0.414,"[0.344, 0.591, 0.581, 0.641, 0.198, 0.475, 0.082, 0.408, 0.346, 0.589]"
12,1.158,2.721,0.433,0.940,0.433,0.442,0.421,"[0.459, 0.613, 0.692, 0.324, 0.413, 0.548, 0.374, 0.375, 0.248, 0.373]"
13,1.423,2.328,0.590,0.967,0.590,0.533,0.573,"[0.576, 0.579, 0.739, 0.656, 0.385, 0.267, 0.641, 0.56, 0.313, 0.612]"
14,1.466,3.991,0.412,0.912,0.412,0.424,0.346,"[0.53, 0.555, 0.563, 0.361, 0.279, 0.491, 0.11, 0.485, 0.303, 0.559]"
15,1.660,1.767,0.622,0.980,0.622,0.579,0.620,"[0.514, 0.675, 0.679, 0.635, 0.5, 0.538, 0.648, 0.573, 0.409, 0.621]"
