epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,1.523,2.248,0.256,0.889,0.256,0.253,0.256,"[0.364, 0.325, 0.392, 0.426, 0.153, 0.313, 0.046, 0.265, 0.132, 0.112]"
01,1.199,1.825,0.353,0.950,0.353,0.315,0.373,"[0.31, 0.435, 0.643, 0.499, 0.062, 0.089, 0.373, 0.353, 0.093, 0.292]"
02,1.069,2.157,0.260,0.923,0.260,0.279,0.257,"[0.47, 0.498, 0.711, 0.048, 0.101, 0.22, 0.342, 0.207, 0.102, 0.088]"
03,0.927,1.383,0.445,0.973,0.445,0.384,0.423,"[0.273, 0.411, 0.655, 0.618, 0.123, 0.416, 0.269, 0.499, 0.266, 0.306]"
04,0.901,1.596,0.457,0.974,0.457,0.453,0.455,"[0.409, 0.533, 0.8, 0.642, 0.305, 0.413, 0.288, 0.376, 0.207, 0.559]"
05,0.767,1.432,0.418,0.971,0.418,0.395,0.395,"[0.316, 0.583, 0.649, 0.447, 0.065, 0.417, 0.236, 0.431, 0.325, 0.481]"
06,0.700,1.309,0.532,0.968,0.532,0.443,0.541,"[0.309, 0.606, 0.667, 0.602, 0.186, 0.473, 0.558, 0.433, 0.231, 0.368]"
07,0.590,1.518,0.410,0.978,0.410,0.432,0.392,"[0.511, 0.561, 0.75, 0.328, 0.227, 0.462, 0.335, 0.348, 0.234, 0.564]"
08,0.513,1.076,0.621,0.981,0.621,0.525,0.622,"[0.488, 0.662, 0.667, 0.637, 0.158, 0.547, 0.678, 0.587, 0.321, 0.508]"
09,0.474,1.107,0.566,0.976,0.566,0.524,0.553,"[0.566, 0.458, 0.735, 0.66, 0.32, 0.558, 0.533, 0.533, 0.391, 0.491]"
10,0.418,1.130,0.583,0.975,0.583,0.524,0.586,"[0.521, 0.639, 0.8, 0.593, 0.318, 0.535, 0.625, 0.53, 0.328, 0.351]"
11,0.367,1.237,0.569,0.973,0.569,0.505,0.564,"[0.49, 0.651, 0.611, 0.554, 0.051, 0.573, 0.563, 0.503, 0.398, 0.655]"
12,0.322,1.875,0.514,0.968,0.514,0.462,0.515,"[0.463, 0.653, 0.61, 0.676, 0.182, 0.572, 0.335, 0.316, 0.323, 0.489]"
13,0.340,1.385,0.558,0.971,0.558,0.489,0.539,"[0.324, 0.614, 0.649, 0.612, 0.195, 0.555, 0.455, 0.587, 0.333, 0.567]"
14,0.286,1.502,0.504,0.967,0.504,0.475,0.503,"[0.534, 0.651, 0.762, 0.464, 0.0, 0.504, 0.48, 0.469, 0.363, 0.519]"
15,0.224,1.429,0.592,0.962,0.592,0.444,0.584,"[0.527, 0.645, 0.541, 0.631, 0.0, 0.483, 0.642, 0.464, 0.195, 0.308]"
16,0.220,1.236,0.606,0.970,0.606,0.486,0.600,"[0.447, 0.668, 0.485, 0.59, 0.0, 0.579, 0.642, 0.566, 0.345, 0.539]"
17,0.162,1.981,0.517,0.971,0.517,0.461,0.487,"[0.309, 0.612, 0.667, 0.58, 0.133, 0.449, 0.357, 0.556, 0.375, 0.571]"
18,0.166,1.744,0.500,0.965,0.500,0.406,0.490,"[0.392, 0.601, 0.557, 0.437, 0.0, 0.491, 0.515, 0.576, 0.24, 0.255]"
19,0.154,1.399,0.583,0.972,0.583,0.461,0.579,"[0.562, 0.643, 0.345, 0.628, 0.0, 0.478, 0.599, 0.54, 0.271, 0.548]"
20,0.117,1.541,0.564,0.968,0.564,0.499,0.552,"[0.407, 0.633, 0.739, 0.456, 0.059, 0.502, 0.647, 0.552, 0.404, 0.588]"
21,0.140,2.299,0.517,0.946,0.517,0.419,0.510,"[0.434, 0.504, 0.683, 0.569, 0.048, 0.364, 0.594, 0.368, 0.171, 0.453]"
22,0.139,1.720,0.566,0.962,0.566,0.438,0.554,"[0.022, 0.648, 0.629, 0.617, 0.0, 0.535, 0.53, 0.521, 0.327, 0.547]"
23,0.086,1.975,0.543,0.959,0.543,0.451,0.507,"[0.35, 0.63, 0.634, 0.321, 0.098, 0.551, 0.64, 0.504, 0.252, 0.529]"
24,0.057,1.499,0.615,0.971,0.615,0.516,0.608,"[0.439, 0.631, 0.75, 0.626, 0.0, 0.523, 0.668, 0.557, 0.392, 0.577]"
25,0.046,2.109,0.564,0.949,0.564,0.481,0.552,"[0.42, 0.611, 0.766, 0.603, 0.061, 0.481, 0.562, 0.446, 0.325, 0.532]"
26,0.059,2.041,0.573,0.955,0.573,0.434,0.552,"[0.573, 0.61, 0.762, 0.641, 0.048, 0.351, 0.634, 0.144, 0.366, 0.208]"
27,0.031,1.929,0.596,0.959,0.596,0.473,0.583,"[0.581, 0.624, 0.514, 0.645, 0.0, 0.485, 0.612, 0.487, 0.267, 0.513]"
28,0.046,2.229,0.561,0.940,0.561,0.413,0.530,"[0.464, 0.641, 0.714, 0.565, 0.054, 0.231, 0.662, 0.195, 0.3, 0.3]"
29,0.045,2.232,0.593,0.961,0.593,0.473,0.573,"[0.25, 0.619, 0.684, 0.536, 0.0, 0.472, 0.686, 0.555, 0.304, 0.621]"
30,0.040,1.931,0.594,0.968,0.594,0.504,0.589,"[0.426, 0.639, 0.723, 0.577, 0.053, 0.541, 0.647, 0.528, 0.388, 0.522]"
31,0.037,1.811,0.585,0.972,0.585,0.501,0.574,"[0.529, 0.637, 0.711, 0.632, 0.0, 0.491, 0.559, 0.57, 0.335, 0.542]"
32,0.026,1.732,0.614,0.967,0.614,0.506,0.605,"[0.5, 0.645, 0.636, 0.623, 0.054, 0.504, 0.67, 0.518, 0.386, 0.52]"
33,0.022,2.036,0.600,0.968,0.600,0.472,0.589,"[0.496, 0.655, 0.556, 0.622, 0.056, 0.531, 0.644, 0.34, 0.309, 0.517]"
34,0.018,1.835,0.606,0.969,0.606,0.506,0.601,"[0.544, 0.679, 0.513, 0.613, 0.108, 0.541, 0.625, 0.552, 0.346, 0.535]"
35,0.023,2.040,0.614,0.970,0.614,0.497,0.605,"[0.444, 0.655, 0.564, 0.644, 0.061, 0.54, 0.639, 0.501, 0.349, 0.571]"
36,0.015,1.936,0.615,0.964,0.615,0.498,0.603,"[0.476, 0.639, 0.652, 0.642, 0.053, 0.491, 0.668, 0.458, 0.357, 0.545]"
37,0.005,1.821,0.619,0.968,0.619,0.514,0.612,"[0.534, 0.641, 0.667, 0.641, 0.054, 0.503, 0.676, 0.503, 0.392, 0.533]"
38,0.005,1.903,0.613,0.966,0.613,0.519,0.602,"[0.615, 0.658, 0.683, 0.566, 0.0, 0.549, 0.681, 0.512, 0.402, 0.522]"
39,0.006,1.911,0.622,0.963,0.622,0.523,0.614,"[0.592, 0.659, 0.696, 0.649, 0.0, 0.518, 0.657, 0.483, 0.4, 0.577]"
40,0.004,1.884,0.630,0.965,0.630,0.524,0.620,"[0.583, 0.661, 0.711, 0.646, 0.0, 0.52, 0.681, 0.479, 0.406, 0.553]"
41,0.003,2.088,0.615,0.960,0.615,0.515,0.606,"[0.562, 0.647, 0.714, 0.646, 0.0, 0.518, 0.64, 0.521, 0.366, 0.535]"
42,0.002,1.921,0.629,0.968,0.629,0.529,0.623,"[0.568, 0.666, 0.714, 0.666, 0.0, 0.541, 0.655, 0.513, 0.408, 0.557]"
43,0.002,1.984,0.631,0.961,0.631,0.521,0.620,"[0.556, 0.66, 0.714, 0.654, 0.0, 0.509, 0.677, 0.506, 0.389, 0.545]"
44,0.003,1.971,0.635,0.961,0.635,0.526,0.627,"[0.587, 0.662, 0.683, 0.66, 0.0, 0.562, 0.671, 0.503, 0.396, 0.536]"
45,0.002,2.027,0.636,0.965,0.636,0.521,0.624,"[0.581, 0.66, 0.667, 0.669, 0.0, 0.488, 0.682, 0.51, 0.377, 0.578]"
46,0.001,2.007,0.637,0.961,0.637,0.532,0.628,"[0.577, 0.649, 0.711, 0.665, 0.0, 0.533, 0.683, 0.52, 0.396, 0.583]"
47,0.002,2.140,0.620,0.954,0.620,0.523,0.607,"[0.564, 0.641, 0.681, 0.62, 0.182, 0.513, 0.688, 0.424, 0.369, 0.547]"
48,0.002,2.061,0.642,0.971,0.642,0.554,0.634,"[0.587, 0.658, 0.744, 0.671, 0.093, 0.523, 0.685, 0.533, 0.449, 0.596]"
49,0.002,1.971,0.632,0.968,0.632,0.536,0.624,"[0.579, 0.649, 0.727, 0.66, 0.0, 0.529, 0.668, 0.557, 0.412, 0.58]"
50,0.001,2.053,0.631,0.965,0.631,0.517,0.621,"[0.577, 0.66, 0.605, 0.649, 0.0, 0.494, 0.683, 0.519, 0.41, 0.571]"
51,0.001,2.021,0.639,0.967,0.639,0.536,0.630,"[0.577, 0.661, 0.696, 0.668, 0.0, 0.509, 0.682, 0.549, 0.413, 0.604]"
52,0.001,2.041,0.640,0.966,0.640,0.525,0.630,"[0.57, 0.657, 0.652, 0.657, 0.0, 0.54, 0.692, 0.529, 0.398, 0.553]"
53,0.002,2.096,0.637,0.961,0.637,0.533,0.626,"[0.575, 0.673, 0.727, 0.655, 0.061, 0.506, 0.686, 0.519, 0.388, 0.538]"
54,0.001,2.105,0.633,0.966,0.633,0.522,0.622,"[0.575, 0.655, 0.651, 0.653, 0.056, 0.526, 0.687, 0.463, 0.387, 0.571]"
55,0.001,2.016,0.631,0.967,0.631,0.537,0.624,"[0.571, 0.66, 0.696, 0.653, 0.059, 0.546, 0.67, 0.525, 0.39, 0.598]"
56,0.002,2.205,0.630,0.966,0.630,0.535,0.620,"[0.525, 0.675, 0.744, 0.638, 0.059, 0.546, 0.672, 0.476, 0.386, 0.633]"
57,0.001,2.160,0.635,0.965,0.635,0.532,0.626,"[0.556, 0.661, 0.696, 0.664, 0.057, 0.523, 0.676, 0.507, 0.392, 0.589]"
58,0.001,2.128,0.629,0.966,0.629,0.530,0.620,"[0.532, 0.653, 0.727, 0.662, 0.057, 0.528, 0.665, 0.472, 0.431, 0.571]"
59,0.002,2.046,0.613,0.958,0.613,0.527,0.605,"[0.57, 0.601, 0.744, 0.651, 0.054, 0.497, 0.658, 0.544, 0.36, 0.594]"
60,0.001,2.114,0.631,0.962,0.631,0.535,0.620,"[0.554, 0.656, 0.732, 0.663, 0.061, 0.486, 0.676, 0.476, 0.4, 0.646]"
61,0.000,2.095,0.635,0.963,0.635,0.540,0.627,"[0.55, 0.646, 0.744, 0.665, 0.061, 0.539, 0.678, 0.528, 0.398, 0.596]"
62,0.000,2.075,0.631,0.963,0.631,0.533,0.622,"[0.558, 0.652, 0.727, 0.639, 0.0, 0.539, 0.683, 0.531, 0.381, 0.617]"
63,0.001,2.324,0.631,0.958,0.631,0.512,0.615,"[0.561, 0.652, 0.682, 0.669, 0.0, 0.483, 0.677, 0.431, 0.366, 0.598]"
64,0.001,2.092,0.628,0.961,0.628,0.525,0.618,"[0.566, 0.658, 0.711, 0.64, 0.0, 0.516, 0.68, 0.499, 0.414, 0.568]"
65,0.000,2.081,0.633,0.963,0.633,0.528,0.623,"[0.562, 0.658, 0.744, 0.651, 0.0, 0.514, 0.684, 0.504, 0.402, 0.559]"
66,0.000,2.097,0.630,0.961,0.630,0.524,0.620,"[0.556, 0.658, 0.711, 0.651, 0.0, 0.515, 0.68, 0.47, 0.408, 0.589]"
67,0.000,2.074,0.626,0.964,0.626,0.520,0.617,"[0.538, 0.653, 0.711, 0.645, 0.0, 0.534, 0.674, 0.482, 0.408, 0.559]"
68,0.001,2.152,0.612,0.963,0.612,0.517,0.607,"[0.53, 0.662, 0.711, 0.655, 0.0, 0.536, 0.623, 0.507, 0.383, 0.562]"
69,0.000,2.131,0.623,0.962,0.623,0.513,0.613,"[0.543, 0.652, 0.711, 0.641, 0.0, 0.532, 0.672, 0.466, 0.373, 0.539]"
70,0.000,2.145,0.632,0.964,0.632,0.523,0.621,"[0.538, 0.662, 0.711, 0.656, 0.0, 0.518, 0.678, 0.477, 0.4, 0.587]"
71,0.000,2.138,0.627,0.964,0.627,0.519,0.618,"[0.542, 0.658, 0.744, 0.655, 0.0, 0.532, 0.671, 0.457, 0.394, 0.533]"
72,0.000,2.073,0.633,0.966,0.633,0.532,0.625,"[0.548, 0.666, 0.744, 0.661, 0.0, 0.533, 0.673, 0.501, 0.411, 0.581]"
73,0.000,2.046,0.635,0.964,0.635,0.535,0.627,"[0.548, 0.669, 0.696, 0.656, 0.061, 0.528, 0.675, 0.532, 0.411, 0.577]"
74,0.000,2.151,0.628,0.963,0.628,0.520,0.618,"[0.558, 0.66, 0.684, 0.658, 0.0, 0.518, 0.669, 0.474, 0.394, 0.583]"
75,0.000,2.124,0.634,0.965,0.634,0.527,0.624,"[0.531, 0.662, 0.727, 0.66, 0.0, 0.525, 0.677, 0.512, 0.39, 0.589]"
76,0.000,2.175,0.631,0.965,0.631,0.519,0.620,"[0.548, 0.656, 0.727, 0.658, 0.0, 0.52, 0.676, 0.461, 0.412, 0.533]"
