epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,1.891,1.776,0.389,0.917,0.389,0.307,0.342,"[0.243, 0.363, 0.541, 0.595, 0.2, 0.44, 0.102, 0.323, 0.041, 0.222]"
01,1.779,2.109,0.365,0.893,0.365,0.317,0.378,"[0.303, 0.289, 0.629, 0.405, 0.087, 0.404, 0.438, 0.453, 0.0, 0.16]"
02,1.944,2.964,0.309,0.812,0.309,0.301,0.255,"[0.366, 0.531, 0.766, 0.0, 0.167, 0.511, 0.235, 0.322, 0.115, 0.0]"
03,2.101,3.596,0.208,0.867,0.208,0.242,0.193,"[0.275, 0.0, 0.732, 0.449, 0.036, 0.061, 0.069, 0.371, 0.152, 0.273]"
04,2.202,3.282,0.326,0.894,0.326,0.259,0.227,"[0.133, 0.484, 0.132, 0.174, 0.256, 0.478, 0.002, 0.458, 0.105, 0.366]"
05,2.467,3.085,0.285,0.877,0.285,0.279,0.193,"[0.305, 0.529, 0.7, 0.015, 0.259, 0.324, 0.082, 0.36, 0.014, 0.2]"
06,2.176,2.423,0.446,0.878,0.446,0.363,0.488,"[0.214, 0.492, 0.442, 0.5, 0.138, 0.479, 0.547, 0.577, 0.115, 0.122]"
07,1.833,2.840,0.329,0.894,0.329,0.322,0.328,"[0.203, 0.42, 0.545, 0.434, 0.215, 0.457, 0.123, 0.534, 0.134, 0.153]"
08,1.638,2.989,0.376,0.878,0.376,0.358,0.321,"[0.348, 0.568, 0.739, 0.464, 0.151, 0.429, 0.003, 0.388, 0.165, 0.322]"
09,1.826,2.300,0.456,0.930,0.456,0.348,0.442,"[0.0, 0.581, 0.485, 0.571, 0.134, 0.311, 0.335, 0.608, 0.156, 0.301]"
10,2.132,2.260,0.417,0.973,0.417,0.352,0.418,"[0.022, 0.411, 0.653, 0.591, 0.255, 0.333, 0.324, 0.612, 0.132, 0.185]"
11,1.783,2.793,0.371,0.914,0.371,0.327,0.402,"[0.258, 0.312, 0.452, 0.458, 0.175, 0.23, 0.49, 0.562, 0.129, 0.203]"
12,1.575,2.042,0.429,0.946,0.429,0.408,0.459,"[0.284, 0.421, 0.718, 0.551, 0.149, 0.484, 0.415, 0.567, 0.166, 0.325]"
13,1.200,2.552,0.323,0.925,0.323,0.326,0.258,"[0.284, 0.51, 0.667, 0.187, 0.173, 0.44, 0.069, 0.456, 0.173, 0.301]"
14,1.174,2.502,0.343,0.920,0.343,0.343,0.330,"[0.202, 0.5, 0.667, 0.433, 0.177, 0.455, 0.083, 0.494, 0.146, 0.273]"
15,1.106,1.892,0.442,0.953,0.442,0.409,0.463,"[0.253, 0.468, 0.667, 0.43, 0.129, 0.449, 0.534, 0.538, 0.184, 0.435]"
16,1.018,1.615,0.487,0.966,0.487,0.428,0.496,"[0.271, 0.556, 0.615, 0.427, 0.147, 0.49, 0.567, 0.6, 0.206, 0.396]"
17,1.061,2.003,0.382,0.937,0.382,0.360,0.363,"[0.269, 0.53, 0.649, 0.23, 0.21, 0.465, 0.353, 0.537, 0.168, 0.19]"
18,1.053,1.716,0.514,0.952,0.514,0.435,0.519,"[0.312, 0.421, 0.667, 0.545, 0.164, 0.519, 0.6, 0.615, 0.177, 0.327]"
19,1.312,1.768,0.473,0.963,0.473,0.382,0.466,"[0.225, 0.628, 0.356, 0.51, 0.125, 0.513, 0.346, 0.612, 0.199, 0.305]"
20,1.485,3.071,0.385,0.864,0.385,0.329,0.346,"[0.236, 0.598, 0.4, 0.525, 0.108, 0.438, 0.009, 0.463, 0.138, 0.375]"
21,1.297,2.068,0.450,0.955,0.450,0.366,0.392,"[0.215, 0.598, 0.571, 0.588, 0.186, 0.511, 0.089, 0.389, 0.105, 0.407]"
22,1.557,2.794,0.343,0.895,0.343,0.338,0.360,"[0.225, 0.38, 0.718, 0.434, 0.119, 0.514, 0.244, 0.431, 0.152, 0.163]"
23,1.381,3.058,0.390,0.879,0.390,0.334,0.357,"[0.265, 0.518, 0.576, 0.007, 0.074, 0.348, 0.604, 0.513, 0.111, 0.33]"
24,1.552,2.973,0.393,0.909,0.393,0.310,0.325,"[0.284, 0.536, 0.391, 0.023, 0.185, 0.535, 0.426, 0.425, 0.038, 0.263]"
25,1.341,2.038,0.479,0.949,0.479,0.400,0.511,"[0.187, 0.586, 0.356, 0.489, 0.181, 0.498, 0.55, 0.631, 0.16, 0.356]"
26,1.553,2.850,0.394,0.936,0.394,0.285,0.357,"[0.101, 0.504, 0.216, 0.391, 0.098, 0.397, 0.251, 0.508, 0.16, 0.229]"
27,1.551,2.981,0.403,0.951,0.403,0.305,0.361,"[0.218, 0.528, 0.308, 0.149, 0.156, 0.19, 0.53, 0.571, 0.17, 0.229]"
28,1.814,2.360,0.449,0.966,0.449,0.391,0.445,"[0.144, 0.571, 0.667, 0.391, 0.128, 0.5, 0.436, 0.566, 0.197, 0.306]"
29,1.284,2.367,0.427,0.948,0.427,0.377,0.433,"[0.225, 0.616, 0.638, 0.495, 0.133, 0.498, 0.314, 0.34, 0.139, 0.37]"
30,1.077,2.086,0.424,0.943,0.424,0.383,0.448,"[0.306, 0.54, 0.588, 0.429, 0.166, 0.482, 0.441, 0.526, 0.161, 0.195]"
31,1.080,2.524,0.399,0.954,0.399,0.351,0.347,"[0.192, 0.535, 0.652, 0.54, 0.181, 0.216, 0.084, 0.628, 0.153, 0.326]"
32,1.300,2.667,0.388,0.962,0.388,0.368,0.421,"[0.166, 0.538, 0.588, 0.391, 0.049, 0.52, 0.368, 0.589, 0.127, 0.346]"
33,1.266,2.791,0.410,0.939,0.410,0.308,0.360,"[0.218, 0.56, 0.4, 0.033, 0.054, 0.401, 0.581, 0.337, 0.152, 0.342]"
34,1.285,3.479,0.388,0.868,0.388,0.356,0.353,"[0.259, 0.543, 0.447, 0.003, 0.243, 0.49, 0.498, 0.614, 0.145, 0.318]"
35,1.354,2.553,0.479,0.939,0.479,0.348,0.466,"[0.262, 0.358, 0.252, 0.592, 0.199, 0.445, 0.488, 0.508, 0.052, 0.327]"
36,1.366,2.505,0.422,0.938,0.422,0.328,0.394,"[0.231, 0.548, 0.327, 0.298, 0.165, 0.498, 0.396, 0.525, 0.0, 0.289]"
37,1.242,3.116,0.375,0.862,0.375,0.342,0.332,"[0.231, 0.583, 0.627, 0.497, 0.162, 0.418, 0.006, 0.431, 0.16, 0.303]"
38,1.155,1.999,0.508,0.964,0.508,0.418,0.487,"[0.208, 0.61, 0.732, 0.403, 0.167, 0.309, 0.603, 0.594, 0.201, 0.354]"
39,1.207,2.114,0.439,0.959,0.439,0.388,0.447,"[0.312, 0.575, 0.638, 0.48, 0.125, 0.364, 0.416, 0.465, 0.207, 0.301]"
40,0.979,2.678,0.371,0.946,0.371,0.335,0.355,"[0.166, 0.58, 0.517, 0.186, 0.05, 0.52, 0.338, 0.475, 0.129, 0.387]"
41,1.185,2.728,0.350,0.948,0.350,0.335,0.304,"[0.257, 0.568, 0.6, 0.377, 0.142, 0.369, 0.038, 0.478, 0.174, 0.346]"
42,1.548,3.564,0.312,0.940,0.312,0.292,0.351,"[0.088, 0.389, 0.611, 0.278, 0.057, 0.085, 0.54, 0.377, 0.109, 0.382]"
43,1.499,3.908,0.413,0.852,0.413,0.365,0.348,"[0.314, 0.511, 0.7, 0.564, 0.125, 0.435, 0.0, 0.587, 0.098, 0.32]"
44,1.708,2.362,0.511,0.952,0.511,0.380,0.490,"[0.183, 0.539, 0.632, 0.612, 0.095, 0.267, 0.501, 0.499, 0.186, 0.29]"
45,1.711,3.530,0.361,0.876,0.361,0.324,0.314,"[0.284, 0.568, 0.698, 0.46, 0.152, 0.286, 0.056, 0.334, 0.184, 0.215]"
46,1.709,5.449,0.416,0.694,0.416,0.339,0.334,"[0.268, 0.594, 0.419, 0.45, 0.165, 0.494, 0.0, 0.59, 0.077, 0.333]"
47,1.755,3.947,0.357,0.898,0.357,0.336,0.341,"[0.205, 0.59, 0.588, 0.283, 0.053, 0.537, 0.192, 0.424, 0.146, 0.346]"
48,1.760,3.506,0.293,0.910,0.293,0.306,0.327,"[0.208, 0.449, 0.612, 0.176, 0.162, 0.221, 0.425, 0.615, 0.113, 0.076]"
49,1.378,2.365,0.481,0.945,0.481,0.401,0.455,"[0.258, 0.59, 0.667, 0.235, 0.188, 0.43, 0.621, 0.604, 0.145, 0.273]"
50,1.322,3.846,0.309,0.859,0.309,0.307,0.272,"[0.226, 0.534, 0.595, 0.029, 0.093, 0.361, 0.276, 0.547, 0.127, 0.28]"
51,1.277,2.343,0.471,0.952,0.471,0.392,0.442,"[0.211, 0.552, 0.698, 0.254, 0.205, 0.39, 0.602, 0.589, 0.179, 0.237]"
52,1.313,3.009,0.372,0.887,0.372,0.328,0.324,"[0.21, 0.577, 0.652, 0.11, 0.136, 0.48, 0.348, 0.318, 0.107, 0.337]"
53,1.545,2.900,0.419,0.942,0.419,0.368,0.378,"[0.273, 0.506, 0.595, 0.191, 0.154, 0.459, 0.448, 0.56, 0.165, 0.33]"
54,1.625,3.484,0.370,0.927,0.370,0.290,0.343,"[0.022, 0.562, 0.667, 0.565, 0.138, 0.426, 0.053, 0.268, 0.022, 0.18]"
55,1.895,2.810,0.401,0.930,0.401,0.365,0.403,"[0.228, 0.58, 0.508, 0.244, 0.128, 0.418, 0.45, 0.615, 0.145, 0.338]"
56,1.613,3.237,0.399,0.938,0.399,0.362,0.397,"[0.156, 0.558, 0.612, 0.238, 0.204, 0.295, 0.518, 0.501, 0.124, 0.414]"
57,1.447,3.003,0.454,0.943,0.454,0.372,0.471,"[0.18, 0.502, 0.528, 0.528, 0.061, 0.543, 0.44, 0.51, 0.094, 0.333]"
58,1.321,3.264,0.345,0.920,0.345,0.356,0.380,"[0.269, 0.488, 0.667, 0.222, 0.084, 0.305, 0.49, 0.611, 0.137, 0.286]"
59,1.091,2.455,0.450,0.957,0.450,0.405,0.475,"[0.232, 0.593, 0.556, 0.43, 0.172, 0.489, 0.482, 0.605, 0.151, 0.341]"
60,0.901,2.201,0.460,0.950,0.460,0.387,0.467,"[0.223, 0.611, 0.415, 0.396, 0.194, 0.478, 0.493, 0.548, 0.179, 0.338]"
61,0.985,2.210,0.453,0.962,0.453,0.379,0.457,"[0.081, 0.601, 0.632, 0.4, 0.13, 0.459, 0.494, 0.434, 0.176, 0.383]"
62,1.037,1.931,0.546,0.965,0.546,0.398,0.525,"[0.309, 0.585, 0.571, 0.593, 0.253, 0.292, 0.623, 0.395, 0.048, 0.311]"
63,1.042,3.387,0.391,0.868,0.391,0.365,0.350,"[0.232, 0.606, 0.6, 0.495, 0.204, 0.451, 0.009, 0.613, 0.149, 0.289]"
64,0.884,2.658,0.421,0.955,0.421,0.365,0.427,"[0.206, 0.583, 0.588, 0.4, 0.168, 0.339, 0.452, 0.393, 0.165, 0.353]"
65,0.973,1.937,0.507,0.970,0.507,0.428,0.522,"[0.234, 0.605, 0.577, 0.488, 0.189, 0.523, 0.567, 0.578, 0.187, 0.33]"
66,0.970,2.177,0.463,0.968,0.463,0.389,0.450,"[0.237, 0.576, 0.571, 0.353, 0.05, 0.487, 0.483, 0.591, 0.16, 0.382]"
67,0.916,3.046,0.366,0.943,0.366,0.341,0.354,"[0.243, 0.604, 0.6, 0.446, 0.096, 0.446, 0.127, 0.3, 0.153, 0.396]"
68,0.884,2.148,0.495,0.963,0.495,0.434,0.493,"[0.278, 0.54, 0.632, 0.579, 0.181, 0.511, 0.414, 0.604, 0.179, 0.424]"
69,0.941,2.365,0.421,0.950,0.421,0.350,0.412,"[0.248, 0.557, 0.625, 0.325, 0.152, 0.417, 0.475, 0.377, 0.061, 0.265]"
70,0.925,2.839,0.372,0.948,0.372,0.373,0.393,"[0.188, 0.407, 0.625, 0.487, 0.174, 0.471, 0.272, 0.595, 0.134, 0.374]"
71,0.954,2.880,0.347,0.935,0.347,0.341,0.324,"[0.215, 0.518, 0.667, 0.406, 0.128, 0.372, 0.112, 0.467, 0.166, 0.358]"
72,0.967,2.520,0.419,0.951,0.419,0.368,0.443,"[0.178, 0.591, 0.636, 0.452, 0.125, 0.274, 0.455, 0.566, 0.137, 0.262]"
73,0.972,2.235,0.464,0.957,0.464,0.394,0.455,"[0.263, 0.595, 0.588, 0.357, 0.109, 0.386, 0.535, 0.486, 0.211, 0.411]"
74,0.983,3.215,0.342,0.892,0.342,0.305,0.347,"[0.169, 0.185, 0.612, 0.49, 0.112, 0.413, 0.297, 0.493, 0.127, 0.156]"
75,1.045,2.292,0.488,0.968,0.488,0.399,0.503,"[0.213, 0.612, 0.5, 0.505, 0.133, 0.512, 0.498, 0.577, 0.158, 0.282]"
76,1.108,4.109,0.401,0.820,0.401,0.334,0.343,"[0.259, 0.512, 0.629, 0.0, 0.2, 0.279, 0.58, 0.566, 0.15, 0.171]"
77,1.241,2.890,0.454,0.925,0.454,0.371,0.449,"[0.229, 0.253, 0.609, 0.562, 0.156, 0.417, 0.517, 0.489, 0.161, 0.314]"
78,1.170,3.091,0.355,0.929,0.355,0.341,0.333,"[0.245, 0.556, 0.611, 0.234, 0.129, 0.458, 0.258, 0.421, 0.146, 0.35]"
79,1.210,2.750,0.432,0.939,0.432,0.345,0.416,"[0.154, 0.546, 0.732, 0.347, 0.228, 0.2, 0.576, 0.232, 0.148, 0.284]"
80,1.052,2.468,0.467,0.971,0.467,0.380,0.457,"[0.226, 0.551, 0.472, 0.364, 0.077, 0.479, 0.519, 0.579, 0.132, 0.395]"
81,1.197,2.245,0.482,0.961,0.482,0.406,0.469,"[0.2, 0.599, 0.638, 0.586, 0.154, 0.5, 0.326, 0.512, 0.17, 0.379]"
82,1.248,2.603,0.451,0.954,0.451,0.352,0.413,"[0.022, 0.613, 0.632, 0.54, 0.05, 0.428, 0.212, 0.533, 0.164, 0.326]"
83,1.413,2.697,0.423,0.965,0.423,0.360,0.389,"[0.292, 0.523, 0.571, 0.352, 0.059, 0.474, 0.32, 0.582, 0.127, 0.301]"
84,1.470,2.413,0.491,0.947,0.491,0.359,0.469,"[0.159, 0.423, 0.545, 0.566, 0.21, 0.153, 0.582, 0.547, 0.149, 0.257]"
85,1.658,5.548,0.220,0.851,0.220,0.283,0.236,"[0.151, 0.381, 0.579, 0.318, 0.102, 0.333, 0.005, 0.474, 0.093, 0.392]"
