epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,1.182,1.035,0.629,0.983,0.629,0.593,0.635,"[0.558, 0.739, 0.656, 0.688, 0.511, 0.575, 0.594, 0.554, 0.431, 0.621]"
01,0.548,0.861,0.666,0.990,0.666,0.639,0.670,"[0.634, 0.763, 0.714, 0.719, 0.56, 0.616, 0.639, 0.541, 0.488, 0.719]"
02,0.405,0.721,0.718,0.993,0.718,0.671,0.720,"[0.676, 0.782, 0.745, 0.763, 0.556, 0.643, 0.725, 0.589, 0.55, 0.683]"
03,0.306,0.700,0.727,0.993,0.727,0.681,0.730,"[0.697, 0.808, 0.745, 0.786, 0.531, 0.665, 0.711, 0.578, 0.578, 0.708]"
04,0.256,0.661,0.742,0.992,0.742,0.695,0.743,"[0.714, 0.802, 0.766, 0.786, 0.542, 0.664, 0.749, 0.619, 0.586, 0.724]"
05,0.204,0.657,0.745,0.993,0.745,0.692,0.744,"[0.698, 0.78, 0.735, 0.788, 0.557, 0.67, 0.761, 0.618, 0.584, 0.724]"
06,0.171,0.664,0.750,0.993,0.750,0.682,0.748,"[0.714, 0.8, 0.694, 0.804, 0.542, 0.671, 0.763, 0.547, 0.56, 0.722]"
07,0.139,0.666,0.752,0.993,0.752,0.693,0.751,"[0.702, 0.791, 0.706, 0.801, 0.54, 0.671, 0.764, 0.623, 0.574, 0.754]"
08,0.116,0.678,0.747,0.993,0.747,0.686,0.747,"[0.691, 0.796, 0.72, 0.805, 0.483, 0.663, 0.747, 0.623, 0.598, 0.73]"
09,0.092,0.682,0.754,0.993,0.754,0.692,0.753,"[0.713, 0.804, 0.766, 0.803, 0.473, 0.662, 0.765, 0.622, 0.618, 0.696]"
10,0.075,0.713,0.754,0.993,0.754,0.692,0.752,"[0.714, 0.795, 0.766, 0.805, 0.436, 0.665, 0.767, 0.602, 0.604, 0.768]"
11,0.062,0.722,0.752,0.992,0.752,0.687,0.751,"[0.724, 0.811, 0.766, 0.803, 0.414, 0.653, 0.764, 0.604, 0.579, 0.757]"
12,0.051,0.735,0.759,0.993,0.759,0.683,0.757,"[0.744, 0.799, 0.692, 0.809, 0.385, 0.662, 0.778, 0.615, 0.576, 0.764]"
13,0.043,0.753,0.760,0.992,0.760,0.691,0.757,"[0.727, 0.804, 0.75, 0.808, 0.441, 0.656, 0.78, 0.595, 0.593, 0.755]"
14,0.033,0.767,0.762,0.992,0.762,0.685,0.759,"[0.736, 0.802, 0.72, 0.812, 0.4, 0.667, 0.784, 0.584, 0.612, 0.737]"
15,0.030,0.763,0.758,0.992,0.758,0.686,0.757,"[0.717, 0.807, 0.72, 0.81, 0.429, 0.66, 0.775, 0.605, 0.591, 0.748]"
16,0.023,0.785,0.761,0.992,0.761,0.687,0.759,"[0.723, 0.805, 0.735, 0.81, 0.377, 0.661, 0.779, 0.616, 0.605, 0.761]"
17,0.023,0.803,0.763,0.992,0.763,0.687,0.761,"[0.764, 0.806, 0.692, 0.803, 0.392, 0.671, 0.784, 0.623, 0.615, 0.717]"
18,0.018,0.813,0.765,0.992,0.765,0.690,0.762,"[0.731, 0.815, 0.735, 0.806, 0.364, 0.666, 0.785, 0.613, 0.613, 0.774]"
19,0.016,0.814,0.770,0.992,0.770,0.697,0.768,"[0.73, 0.814, 0.766, 0.819, 0.377, 0.677, 0.788, 0.614, 0.634, 0.748]"
20,0.013,0.836,0.759,0.992,0.759,0.690,0.757,"[0.723, 0.802, 0.766, 0.812, 0.407, 0.664, 0.777, 0.581, 0.611, 0.757]"
21,0.013,0.825,0.762,0.991,0.762,0.692,0.760,"[0.735, 0.809, 0.75, 0.812, 0.407, 0.66, 0.776, 0.611, 0.619, 0.745]"
22,0.010,0.849,0.763,0.991,0.763,0.695,0.761,"[0.735, 0.809, 0.783, 0.809, 0.377, 0.656, 0.782, 0.631, 0.62, 0.752]"
23,0.010,0.858,0.768,0.992,0.768,0.693,0.766,"[0.736, 0.819, 0.75, 0.817, 0.37, 0.672, 0.783, 0.614, 0.597, 0.771]"
24,0.009,0.874,0.761,0.992,0.761,0.689,0.759,"[0.732, 0.809, 0.72, 0.813, 0.385, 0.663, 0.774, 0.605, 0.618, 0.771]"
25,0.009,0.880,0.765,0.992,0.765,0.694,0.763,"[0.737, 0.816, 0.75, 0.815, 0.407, 0.671, 0.775, 0.615, 0.616, 0.736]"
26,0.009,0.890,0.764,0.991,0.764,0.692,0.762,"[0.724, 0.813, 0.756, 0.808, 0.448, 0.671, 0.784, 0.614, 0.597, 0.709]"
27,0.006,0.885,0.763,0.992,0.763,0.700,0.761,"[0.743, 0.811, 0.783, 0.813, 0.429, 0.661, 0.777, 0.611, 0.61, 0.759]"
28,0.006,0.903,0.764,0.991,0.764,0.693,0.761,"[0.742, 0.817, 0.735, 0.814, 0.4, 0.665, 0.774, 0.607, 0.61, 0.764]"
29,0.006,0.898,0.761,0.991,0.761,0.687,0.758,"[0.734, 0.81, 0.75, 0.814, 0.377, 0.658, 0.774, 0.597, 0.615, 0.745]"
30,0.005,0.926,0.758,0.990,0.758,0.693,0.756,"[0.726, 0.798, 0.783, 0.813, 0.407, 0.667, 0.771, 0.599, 0.603, 0.761]"
31,0.006,0.907,0.763,0.990,0.763,0.690,0.760,"[0.737, 0.808, 0.75, 0.815, 0.4, 0.659, 0.778, 0.612, 0.611, 0.734]"
32,0.005,0.917,0.761,0.991,0.761,0.691,0.759,"[0.711, 0.808, 0.783, 0.813, 0.377, 0.664, 0.774, 0.607, 0.606, 0.766]"
33,0.004,0.918,0.764,0.991,0.764,0.685,0.761,"[0.734, 0.815, 0.72, 0.812, 0.37, 0.668, 0.779, 0.602, 0.58, 0.766]"
34,0.005,0.919,0.765,0.991,0.765,0.689,0.762,"[0.727, 0.81, 0.75, 0.812, 0.37, 0.665, 0.784, 0.617, 0.603, 0.748]"
35,0.003,0.940,0.764,0.991,0.764,0.690,0.760,"[0.741, 0.814, 0.783, 0.812, 0.367, 0.665, 0.779, 0.593, 0.602, 0.748]"
36,0.003,0.933,0.760,0.990,0.760,0.690,0.758,"[0.72, 0.811, 0.783, 0.81, 0.377, 0.66, 0.774, 0.596, 0.629, 0.741]"
37,0.004,0.947,0.762,0.991,0.762,0.689,0.759,"[0.724, 0.812, 0.783, 0.811, 0.353, 0.659, 0.778, 0.601, 0.613, 0.754]"
38,0.003,0.954,0.763,0.990,0.763,0.693,0.760,"[0.725, 0.81, 0.783, 0.814, 0.4, 0.661, 0.781, 0.584, 0.607, 0.766]"
39,0.003,0.957,0.764,0.990,0.764,0.690,0.761,"[0.721, 0.816, 0.756, 0.815, 0.375, 0.667, 0.774, 0.607, 0.622, 0.745]"
40,0.003,0.963,0.762,0.990,0.762,0.688,0.759,"[0.722, 0.811, 0.739, 0.812, 0.393, 0.667, 0.777, 0.606, 0.582, 0.771]"
41,0.003,0.960,0.762,0.990,0.762,0.692,0.760,"[0.742, 0.815, 0.783, 0.814, 0.37, 0.663, 0.775, 0.59, 0.594, 0.778]"
42,0.003,0.978,0.763,0.989,0.763,0.692,0.760,"[0.724, 0.812, 0.766, 0.816, 0.385, 0.663, 0.777, 0.578, 0.615, 0.785]"
43,0.002,0.972,0.764,0.989,0.764,0.687,0.761,"[0.739, 0.814, 0.75, 0.815, 0.36, 0.666, 0.778, 0.594, 0.603, 0.754]"
44,0.003,0.964,0.760,0.990,0.760,0.692,0.758,"[0.717, 0.816, 0.792, 0.812, 0.37, 0.662, 0.767, 0.606, 0.622, 0.752]"
45,0.002,0.966,0.763,0.990,0.763,0.694,0.761,"[0.717, 0.815, 0.766, 0.813, 0.407, 0.67, 0.776, 0.599, 0.608, 0.765]"
46,0.002,1.010,0.764,0.990,0.764,0.697,0.761,"[0.726, 0.815, 0.783, 0.812, 0.415, 0.661, 0.781, 0.59, 0.599, 0.785]"
47,0.003,0.982,0.761,0.990,0.761,0.694,0.759,"[0.725, 0.816, 0.783, 0.812, 0.385, 0.665, 0.771, 0.591, 0.609, 0.781]"
48,0.002,0.985,0.762,0.989,0.762,0.691,0.759,"[0.729, 0.816, 0.783, 0.811, 0.353, 0.666, 0.773, 0.594, 0.609, 0.774]"
49,0.002,0.996,0.763,0.990,0.763,0.686,0.759,"[0.727, 0.812, 0.76, 0.814, 0.37, 0.657, 0.78, 0.597, 0.591, 0.75]"
50,0.002,0.988,0.759,0.989,0.759,0.685,0.757,"[0.733, 0.81, 0.75, 0.812, 0.37, 0.659, 0.774, 0.589, 0.586, 0.766]"
51,0.002,0.991,0.763,0.990,0.763,0.694,0.761,"[0.733, 0.816, 0.783, 0.815, 0.37, 0.66, 0.774, 0.608, 0.613, 0.766]"
52,0.002,0.990,0.760,0.989,0.760,0.687,0.758,"[0.714, 0.814, 0.735, 0.812, 0.4, 0.66, 0.773, 0.603, 0.603, 0.759]"
53,0.002,0.994,0.764,0.989,0.764,0.691,0.762,"[0.714, 0.813, 0.766, 0.816, 0.37, 0.662, 0.779, 0.61, 0.608, 0.766]"
54,0.003,1.001,0.758,0.989,0.758,0.690,0.755,"[0.729, 0.812, 0.75, 0.81, 0.407, 0.645, 0.769, 0.597, 0.606, 0.774]"
55,0.002,0.995,0.760,0.989,0.760,0.690,0.758,"[0.726, 0.812, 0.75, 0.813, 0.4, 0.665, 0.773, 0.587, 0.61, 0.762]"
56,0.001,0.999,0.760,0.988,0.760,0.689,0.758,"[0.73, 0.811, 0.766, 0.814, 0.393, 0.663, 0.772, 0.592, 0.6, 0.752]"
57,0.002,0.995,0.759,0.989,0.759,0.687,0.757,"[0.71, 0.816, 0.766, 0.813, 0.385, 0.66, 0.768, 0.602, 0.603, 0.752]"
58,0.002,1.021,0.761,0.988,0.761,0.692,0.758,"[0.718, 0.809, 0.792, 0.812, 0.407, 0.657, 0.778, 0.585, 0.598, 0.762]"
59,0.001,1.022,0.763,0.989,0.763,0.690,0.761,"[0.722, 0.815, 0.766, 0.815, 0.392, 0.664, 0.778, 0.591, 0.596, 0.759]"
60,0.002,1.011,0.761,0.989,0.761,0.691,0.759,"[0.736, 0.81, 0.745, 0.813, 0.421, 0.66, 0.777, 0.6, 0.585, 0.759]"
61,0.002,1.041,0.759,0.989,0.759,0.685,0.756,"[0.721, 0.81, 0.75, 0.809, 0.364, 0.657, 0.776, 0.584, 0.589, 0.785]"
62,0.002,1.002,0.760,0.989,0.760,0.698,0.758,"[0.714, 0.809, 0.745, 0.807, 0.5, 0.658, 0.778, 0.609, 0.597, 0.759]"
63,0.001,1.009,0.758,0.988,0.758,0.688,0.757,"[0.72, 0.808, 0.792, 0.812, 0.37, 0.663, 0.771, 0.592, 0.603, 0.752]"
64,0.002,1.028,0.757,0.988,0.757,0.684,0.755,"[0.711, 0.805, 0.766, 0.802, 0.37, 0.662, 0.778, 0.597, 0.596, 0.75]"
65,0.002,1.030,0.761,0.990,0.761,0.689,0.758,"[0.717, 0.809, 0.776, 0.809, 0.37, 0.66, 0.778, 0.596, 0.604, 0.774]"
66,0.001,1.041,0.758,0.988,0.758,0.687,0.756,"[0.74, 0.81, 0.76, 0.805, 0.37, 0.657, 0.776, 0.596, 0.6, 0.752]"
67,0.001,1.026,0.757,0.988,0.757,0.687,0.755,"[0.718, 0.81, 0.766, 0.807, 0.377, 0.661, 0.77, 0.597, 0.619, 0.745]"
68,0.001,1.038,0.760,0.989,0.760,0.689,0.757,"[0.726, 0.812, 0.766, 0.807, 0.367, 0.662, 0.774, 0.599, 0.589, 0.788]"
69,0.001,1.039,0.763,0.989,0.763,0.694,0.760,"[0.73, 0.814, 0.792, 0.811, 0.385, 0.667, 0.777, 0.594, 0.605, 0.766]"
70,0.001,1.040,0.761,0.988,0.761,0.687,0.758,"[0.726, 0.814, 0.776, 0.814, 0.377, 0.666, 0.774, 0.585, 0.592, 0.743]"
