epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,1.672,1.557,0.420,0.942,0.420,0.416,0.444,"[0.323, 0.539, 0.684, 0.506, 0.085, 0.449, 0.351, 0.505, 0.225, 0.491]"
01,1.193,1.850,0.396,0.956,0.396,0.355,0.416,"[0.198, 0.55, 0.24, 0.432, 0.186, 0.501, 0.326, 0.482, 0.204, 0.432]"
02,1.061,1.294,0.491,0.977,0.491,0.470,0.486,"[0.612, 0.642, 0.667, 0.619, 0.213, 0.515, 0.284, 0.47, 0.27, 0.41]"
03,0.964,1.209,0.528,0.974,0.528,0.502,0.540,"[0.565, 0.601, 0.769, 0.646, 0.219, 0.508, 0.46, 0.507, 0.243, 0.503]"
04,0.868,1.021,0.618,0.980,0.618,0.569,0.623,"[0.624, 0.692, 0.667, 0.64, 0.338, 0.527, 0.64, 0.625, 0.382, 0.56]"
05,0.805,1.093,0.573,0.986,0.573,0.555,0.578,"[0.569, 0.688, 0.714, 0.671, 0.364, 0.587, 0.472, 0.429, 0.43, 0.623]"
06,0.773,1.009,0.613,0.985,0.613,0.558,0.626,"[0.598, 0.695, 0.8, 0.664, 0.338, 0.534, 0.638, 0.599, 0.365, 0.349]"
07,0.711,1.019,0.613,0.985,0.613,0.570,0.624,"[0.507, 0.697, 0.776, 0.667, 0.393, 0.553, 0.619, 0.601, 0.363, 0.522]"
08,0.646,1.002,0.606,0.985,0.606,0.573,0.617,"[0.442, 0.71, 0.824, 0.66, 0.389, 0.589, 0.58, 0.588, 0.388, 0.556]"
09,0.615,0.931,0.641,0.989,0.641,0.600,0.649,"[0.536, 0.718, 0.816, 0.688, 0.277, 0.611, 0.635, 0.53, 0.548, 0.639]"
10,0.581,1.009,0.631,0.984,0.631,0.579,0.637,"[0.458, 0.719, 0.571, 0.598, 0.447, 0.639, 0.679, 0.574, 0.415, 0.692]"
11,0.549,0.945,0.624,0.990,0.624,0.598,0.630,"[0.563, 0.742, 0.745, 0.685, 0.375, 0.599, 0.57, 0.514, 0.495, 0.688]"
12,0.506,0.916,0.657,0.990,0.657,0.604,0.664,"[0.6, 0.723, 0.784, 0.697, 0.319, 0.597, 0.676, 0.562, 0.497, 0.587]"
13,0.494,0.812,0.684,0.991,0.684,0.637,0.685,"[0.66, 0.722, 0.746, 0.715, 0.394, 0.645, 0.692, 0.625, 0.5, 0.672]"
14,0.457,0.820,0.674,0.991,0.674,0.635,0.674,"[0.653, 0.75, 0.712, 0.712, 0.462, 0.565, 0.669, 0.602, 0.526, 0.699]"
15,0.421,0.801,0.687,0.991,0.687,0.631,0.687,"[0.674, 0.744, 0.69, 0.698, 0.395, 0.607, 0.715, 0.62, 0.5, 0.667]"
16,0.395,0.835,0.671,0.992,0.671,0.634,0.673,"[0.608, 0.751, 0.706, 0.69, 0.486, 0.63, 0.669, 0.585, 0.504, 0.71]"
17,0.375,0.834,0.681,0.993,0.681,0.641,0.682,"[0.663, 0.751, 0.833, 0.701, 0.485, 0.618, 0.694, 0.597, 0.473, 0.599]"
18,0.349,0.911,0.642,0.993,0.642,0.638,0.641,"[0.64, 0.747, 0.875, 0.696, 0.467, 0.6, 0.574, 0.542, 0.5, 0.742]"
19,0.342,0.794,0.676,0.993,0.676,0.645,0.676,"[0.649, 0.746, 0.764, 0.73, 0.508, 0.637, 0.64, 0.597, 0.479, 0.701]"
20,0.327,0.886,0.643,0.990,0.643,0.613,0.646,"[0.608, 0.73, 0.727, 0.693, 0.436, 0.615, 0.607, 0.536, 0.485, 0.691]"
21,0.299,0.777,0.700,0.990,0.700,0.650,0.699,"[0.641, 0.766, 0.764, 0.738, 0.431, 0.64, 0.693, 0.625, 0.508, 0.691]"
22,0.276,0.785,0.682,0.990,0.682,0.644,0.684,"[0.671, 0.757, 0.84, 0.745, 0.358, 0.612, 0.651, 0.604, 0.521, 0.68]"
23,0.258,0.802,0.703,0.989,0.703,0.643,0.701,"[0.646, 0.76, 0.766, 0.704, 0.449, 0.646, 0.733, 0.639, 0.502, 0.587]"
24,0.270,0.825,0.691,0.987,0.691,0.634,0.692,"[0.64, 0.762, 0.72, 0.743, 0.377, 0.647, 0.676, 0.591, 0.484, 0.702]"
25,0.232,0.825,0.692,0.989,0.692,0.640,0.690,"[0.679, 0.753, 0.776, 0.682, 0.333, 0.628, 0.731, 0.607, 0.494, 0.719]"
26,0.230,0.881,0.677,0.987,0.677,0.640,0.676,"[0.642, 0.75, 0.792, 0.728, 0.442, 0.596, 0.65, 0.618, 0.511, 0.672]"
27,0.234,0.926,0.690,0.986,0.690,0.621,0.686,"[0.563, 0.706, 0.739, 0.718, 0.36, 0.62, 0.73, 0.562, 0.458, 0.752]"
28,0.215,0.856,0.696,0.988,0.696,0.622,0.692,"[0.596, 0.738, 0.792, 0.724, 0.298, 0.582, 0.734, 0.626, 0.436, 0.692]"
29,0.186,0.849,0.696,0.988,0.696,0.627,0.694,"[0.616, 0.762, 0.778, 0.74, 0.318, 0.579, 0.709, 0.609, 0.473, 0.688]"
30,0.180,0.890,0.690,0.991,0.690,0.651,0.687,"[0.667, 0.697, 0.894, 0.738, 0.393, 0.553, 0.719, 0.63, 0.526, 0.688]"
31,0.168,0.895,0.699,0.988,0.699,0.655,0.698,"[0.656, 0.767, 0.851, 0.748, 0.426, 0.59, 0.702, 0.591, 0.511, 0.704]"
32,0.150,0.900,0.699,0.987,0.699,0.622,0.696,"[0.641, 0.746, 0.824, 0.744, 0.222, 0.617, 0.712, 0.584, 0.498, 0.634]"
33,0.134,0.951,0.693,0.989,0.693,0.650,0.693,"[0.649, 0.762, 0.875, 0.737, 0.379, 0.602, 0.693, 0.604, 0.494, 0.706]"
34,0.112,0.971,0.690,0.984,0.690,0.629,0.688,"[0.667, 0.736, 0.8, 0.736, 0.286, 0.606, 0.695, 0.6, 0.5, 0.661]"
35,0.107,0.990,0.687,0.988,0.687,0.634,0.687,"[0.635, 0.757, 0.824, 0.736, 0.308, 0.602, 0.682, 0.593, 0.488, 0.714]"
36,0.101,1.104,0.668,0.985,0.668,0.609,0.663,"[0.647, 0.727, 0.8, 0.678, 0.25, 0.554, 0.699, 0.611, 0.413, 0.714]"
37,0.085,1.069,0.681,0.984,0.681,0.602,0.675,"[0.623, 0.745, 0.826, 0.727, 0.217, 0.474, 0.721, 0.561, 0.452, 0.673]"
38,0.081,1.031,0.697,0.986,0.697,0.648,0.694,"[0.712, 0.756, 0.844, 0.746, 0.377, 0.572, 0.701, 0.598, 0.491, 0.681]"
39,0.072,1.030,0.694,0.989,0.694,0.618,0.691,"[0.618, 0.748, 0.792, 0.736, 0.162, 0.6, 0.708, 0.591, 0.498, 0.726]"
40,0.069,1.076,0.683,0.986,0.683,0.613,0.681,"[0.621, 0.738, 0.745, 0.725, 0.238, 0.598, 0.692, 0.576, 0.491, 0.705]"
41,0.055,1.078,0.690,0.987,0.690,0.628,0.688,"[0.652, 0.746, 0.851, 0.715, 0.213, 0.608, 0.708, 0.618, 0.502, 0.667]"
42,0.045,1.094,0.695,0.984,0.695,0.607,0.689,"[0.643, 0.748, 0.744, 0.749, 0.286, 0.569, 0.719, 0.496, 0.474, 0.641]"
43,0.056,1.142,0.681,0.982,0.681,0.625,0.677,"[0.614, 0.721, 0.84, 0.725, 0.353, 0.544, 0.706, 0.591, 0.479, 0.678]"
44,0.051,1.276,0.685,0.987,0.685,0.625,0.680,"[0.619, 0.732, 0.809, 0.734, 0.318, 0.588, 0.689, 0.544, 0.495, 0.724]"
45,0.043,1.197,0.670,0.986,0.670,0.601,0.669,"[0.622, 0.723, 0.744, 0.723, 0.227, 0.536, 0.692, 0.544, 0.508, 0.694]"
46,0.041,1.253,0.682,0.984,0.682,0.609,0.675,"[0.663, 0.703, 0.76, 0.714, 0.267, 0.58, 0.72, 0.526, 0.476, 0.686]"
47,0.050,1.196,0.684,0.983,0.684,0.615,0.681,"[0.645, 0.71, 0.755, 0.738, 0.327, 0.575, 0.705, 0.577, 0.482, 0.641]"
48,0.041,1.406,0.675,0.987,0.675,0.612,0.675,"[0.619, 0.755, 0.844, 0.712, 0.195, 0.587, 0.68, 0.582, 0.498, 0.646]"
49,0.035,1.367,0.680,0.985,0.680,0.620,0.677,"[0.615, 0.67, 0.826, 0.73, 0.333, 0.585, 0.713, 0.592, 0.5, 0.636]"
50,0.036,1.275,0.681,0.983,0.681,0.621,0.676,"[0.663, 0.737, 0.837, 0.693, 0.235, 0.579, 0.717, 0.537, 0.502, 0.712]"
51,0.040,1.305,0.686,0.985,0.686,0.629,0.680,"[0.709, 0.718, 0.84, 0.733, 0.292, 0.537, 0.708, 0.576, 0.491, 0.686]"
52,0.030,1.313,0.682,0.986,0.682,0.615,0.680,"[0.663, 0.736, 0.791, 0.739, 0.24, 0.542, 0.699, 0.572, 0.484, 0.68]"
53,0.027,1.276,0.685,0.984,0.685,0.615,0.680,"[0.691, 0.744, 0.755, 0.714, 0.346, 0.576, 0.717, 0.507, 0.465, 0.636]"
54,0.024,1.319,0.691,0.987,0.691,0.639,0.689,"[0.715, 0.733, 0.809, 0.725, 0.327, 0.604, 0.71, 0.59, 0.491, 0.691]"
55,0.019,1.309,0.696,0.988,0.696,0.633,0.693,"[0.69, 0.736, 0.776, 0.737, 0.286, 0.583, 0.718, 0.585, 0.529, 0.692]"
56,0.018,1.306,0.683,0.980,0.683,0.609,0.674,"[0.635, 0.712, 0.87, 0.727, 0.255, 0.497, 0.728, 0.555, 0.462, 0.649]"
57,0.017,1.345,0.683,0.983,0.683,0.609,0.677,"[0.621, 0.725, 0.759, 0.712, 0.32, 0.576, 0.721, 0.511, 0.494, 0.647]"
58,0.018,1.388,0.681,0.980,0.681,0.615,0.676,"[0.655, 0.723, 0.851, 0.725, 0.304, 0.517, 0.715, 0.579, 0.486, 0.595]"
59,0.016,1.345,0.696,0.983,0.696,0.629,0.692,"[0.678, 0.727, 0.824, 0.742, 0.292, 0.589, 0.722, 0.551, 0.484, 0.678]"
60,0.011,1.373,0.696,0.984,0.696,0.633,0.690,"[0.718, 0.724, 0.83, 0.732, 0.261, 0.588, 0.723, 0.563, 0.505, 0.685]"
61,0.013,1.417,0.690,0.985,0.690,0.624,0.685,"[0.663, 0.72, 0.791, 0.73, 0.298, 0.577, 0.717, 0.58, 0.478, 0.689]"
62,0.012,1.411,0.690,0.985,0.690,0.625,0.684,"[0.667, 0.737, 0.833, 0.719, 0.311, 0.596, 0.72, 0.514, 0.457, 0.699]"
63,0.010,1.414,0.691,0.981,0.691,0.615,0.686,"[0.642, 0.752, 0.766, 0.714, 0.244, 0.605, 0.714, 0.567, 0.453, 0.692]"
64,0.009,1.364,0.698,0.983,0.698,0.642,0.695,"[0.7, 0.752, 0.857, 0.739, 0.298, 0.6, 0.706, 0.585, 0.502, 0.685]"
65,0.008,1.413,0.700,0.984,0.700,0.624,0.695,"[0.645, 0.745, 0.756, 0.735, 0.279, 0.602, 0.725, 0.565, 0.5, 0.692]"
66,0.008,1.391,0.696,0.984,0.696,0.621,0.691,"[0.675, 0.746, 0.792, 0.733, 0.233, 0.568, 0.725, 0.559, 0.479, 0.703]"
67,0.006,1.460,0.692,0.984,0.692,0.619,0.687,"[0.687, 0.709, 0.809, 0.738, 0.255, 0.601, 0.722, 0.536, 0.483, 0.645]"
68,0.007,1.458,0.692,0.981,0.692,0.635,0.687,"[0.69, 0.732, 0.818, 0.732, 0.34, 0.594, 0.714, 0.516, 0.507, 0.703]"
69,0.009,1.455,0.694,0.984,0.694,0.640,0.692,"[0.624, 0.744, 0.894, 0.742, 0.32, 0.579, 0.711, 0.569, 0.519, 0.696]"
70,0.008,1.426,0.689,0.983,0.689,0.624,0.686,"[0.705, 0.727, 0.846, 0.722, 0.233, 0.596, 0.717, 0.557, 0.498, 0.642]"
71,0.007,1.452,0.686,0.985,0.686,0.608,0.681,"[0.656, 0.742, 0.809, 0.714, 0.255, 0.59, 0.717, 0.538, 0.45, 0.606]"
72,0.006,1.460,0.692,0.984,0.692,0.622,0.687,"[0.689, 0.725, 0.851, 0.725, 0.238, 0.567, 0.733, 0.539, 0.526, 0.63]"
73,0.006,1.463,0.686,0.983,0.686,0.622,0.683,"[0.655, 0.729, 0.875, 0.724, 0.25, 0.584, 0.713, 0.558, 0.48, 0.649]"
74,0.006,1.416,0.680,0.983,0.680,0.607,0.676,"[0.681, 0.708, 0.809, 0.721, 0.208, 0.558, 0.718, 0.535, 0.491, 0.642]"
75,0.005,1.497,0.693,0.986,0.693,0.622,0.688,"[0.671, 0.738, 0.809, 0.73, 0.273, 0.568, 0.721, 0.572, 0.468, 0.673]"
76,0.005,1.499,0.690,0.984,0.690,0.619,0.684,"[0.702, 0.734, 0.851, 0.733, 0.222, 0.568, 0.717, 0.496, 0.485, 0.684]"
77,0.009,1.548,0.678,0.978,0.678,0.597,0.671,"[0.634, 0.733, 0.791, 0.713, 0.275, 0.54, 0.715, 0.5, 0.463, 0.611]"
78,0.008,1.530,0.694,0.984,0.694,0.621,0.689,"[0.663, 0.729, 0.857, 0.728, 0.222, 0.592, 0.73, 0.544, 0.475, 0.667]"
79,0.005,1.496,0.690,0.982,0.690,0.598,0.684,"[0.641, 0.742, 0.773, 0.725, 0.143, 0.561, 0.727, 0.515, 0.489, 0.667]"
80,0.006,1.590,0.687,0.981,0.687,0.611,0.683,"[0.647, 0.736, 0.791, 0.725, 0.227, 0.58, 0.713, 0.561, 0.459, 0.667]"
81,0.006,1.520,0.681,0.982,0.681,0.607,0.678,"[0.62, 0.722, 0.776, 0.723, 0.227, 0.602, 0.697, 0.568, 0.5, 0.636]"
82,0.005,1.559,0.690,0.980,0.690,0.618,0.685,"[0.591, 0.715, 0.894, 0.726, 0.233, 0.59, 0.725, 0.582, 0.447, 0.673]"
83,0.006,1.524,0.685,0.982,0.685,0.616,0.679,"[0.667, 0.725, 0.851, 0.723, 0.182, 0.563, 0.71, 0.564, 0.488, 0.69]"
84,0.005,1.543,0.688,0.983,0.688,0.612,0.681,"[0.667, 0.712, 0.786, 0.733, 0.286, 0.57, 0.723, 0.511, 0.488, 0.645]"
85,0.005,1.609,0.689,0.983,0.689,0.612,0.683,"[0.675, 0.729, 0.826, 0.736, 0.217, 0.574, 0.714, 0.536, 0.462, 0.654]"
86,0.004,1.588,0.685,0.984,0.685,0.615,0.680,"[0.635, 0.735, 0.816, 0.713, 0.28, 0.583, 0.72, 0.517, 0.478, 0.673]"
87,0.005,1.525,0.688,0.981,0.688,0.606,0.681,"[0.659, 0.717, 0.8, 0.736, 0.217, 0.532, 0.726, 0.555, 0.459, 0.661]"
