epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,1.628,1.465,0.472,0.947,0.472,0.390,0.491,"[0.199, 0.539, 0.471, 0.519, 0.198, 0.459, 0.512, 0.599, 0.0, 0.403]"
01,1.434,1.573,0.429,0.896,0.429,0.329,0.416,"[0.245, 0.508, 0.125, 0.597, 0.183, 0.48, 0.202, 0.543, 0.144, 0.266]"
02,1.338,1.531,0.416,0.935,0.416,0.407,0.434,"[0.37, 0.572, 0.723, 0.549, 0.079, 0.452, 0.268, 0.461, 0.212, 0.382]"
03,1.305,1.399,0.464,0.939,0.464,0.408,0.446,"[0.296, 0.58, 0.6, 0.589, 0.226, 0.478, 0.255, 0.509, 0.16, 0.386]"
04,1.268,1.390,0.481,0.944,0.481,0.379,0.472,"[0.306, 0.615, 0.184, 0.355, 0.211, 0.378, 0.574, 0.576, 0.15, 0.437]"
05,1.254,1.338,0.493,0.958,0.493,0.433,0.501,"[0.317, 0.62, 0.649, 0.577, 0.224, 0.493, 0.428, 0.462, 0.198, 0.363]"
06,1.219,1.591,0.420,0.908,0.420,0.377,0.387,"[0.333, 0.584, 0.456, 0.576, 0.21, 0.483, 0.069, 0.497, 0.173, 0.385]"
07,1.228,1.336,0.475,0.963,0.475,0.455,0.488,"[0.362, 0.623, 0.711, 0.469, 0.216, 0.506, 0.455, 0.529, 0.196, 0.486]"
08,1.201,1.474,0.424,0.950,0.424,0.412,0.420,"[0.399, 0.596, 0.629, 0.558, 0.192, 0.5, 0.178, 0.474, 0.166, 0.429]"
09,1.187,1.554,0.417,0.916,0.417,0.352,0.394,"[0.394, 0.562, 0.279, 0.577, 0.202, 0.495, 0.117, 0.428, 0.168, 0.303]"
10,1.166,1.408,0.456,0.950,0.456,0.417,0.423,"[0.422, 0.627, 0.571, 0.554, 0.169, 0.472, 0.172, 0.504, 0.218, 0.459]"
11,1.193,1.647,0.391,0.900,0.391,0.338,0.419,"[0.16, 0.5, 0.32, 0.335, 0.182, 0.519, 0.459, 0.493, 0.162, 0.251]"
12,1.158,1.669,0.379,0.912,0.379,0.336,0.360,"[0.38, 0.591, 0.19, 0.478, 0.21, 0.486, 0.089, 0.389, 0.165, 0.379]"
13,1.173,1.658,0.375,0.904,0.375,0.372,0.406,"[0.346, 0.465, 0.667, 0.252, 0.129, 0.415, 0.525, 0.571, 0.144, 0.202]"
14,1.130,1.379,0.490,0.944,0.490,0.410,0.497,"[0.396, 0.596, 0.327, 0.606, 0.23, 0.469, 0.396, 0.551, 0.2, 0.332]"
15,1.106,1.569,0.432,0.910,0.432,0.365,0.392,"[0.389, 0.595, 0.226, 0.584, 0.178, 0.455, 0.078, 0.481, 0.242, 0.418]"
16,1.114,1.418,0.454,0.948,0.454,0.386,0.455,"[0.299, 0.596, 0.336, 0.465, 0.225, 0.492, 0.386, 0.541, 0.194, 0.329]"
