epoch,train_loss,val_loss,rmse,mae
0,0.486+-0.024,0.438+-0.024,0.174+-0.001,0.127+-0.001
1,0.281+-0.012,0.347+-0.014,0.167+-0.002,0.121+-0.002
2,0.326+-0.024,0.299+-0.005,0.159+-0.002,0.111+-0.002
3,0.331+-0.031,0.299+-0.005,0.158+-0.001,0.106+-0.001
4,0.343+-0.022,0.309+-0.006,0.163+-0.002,0.109+-0.002
5,0.339+-0.003,0.31+-0.005,0.168+-0.002,0.112+-0.001
6,0.333+-0.013,0.3+-0.007,0.164+-0.003,0.11+-0.002
7,0.305+-0.005,0.293+-0.008,0.156+-0.002,0.106+-0.001
8,0.285+-0.012,0.307+-0.018,0.162+-0.004,0.11+-0.003
9,0.288+-0.007,0.309+-0.015,0.164+-0.003,0.112+-0.004
10,0.272+-0.013,0.292+-0.003,0.156+-0.002,0.107+-0.001
11,0.258+-0.007,0.293+-0.006,0.155+-0.001,0.107+-0.002
12,0.27+-0.004,0.291+-0.007,0.156+-0.002,0.106+-0.004
13,0.251+-0.004,0.288+-0.008,0.154+-0.003,0.103+-0.004
14,0.244+-0.005,0.282+-0.007,0.15+-0.004,0.099+-0.004
15,0.246+-0.003,0.278+-0.006,0.147+-0.003,0.097+-0.003
16,0.237+-0.006,0.277+-0.008,0.147+-0.002,0.098+-0.002
17,0.237+-0.01,0.276+-0.009,0.147+-0.001,0.097+-0.001
18,0.23+-0.003,0.276+-0.008,0.146+-0.002,0.096+-0.002
19,0.23+-0.007,0.27+-0.007,0.145+-0.001,0.096+-0.001
20,0.23+-0.006,0.267+-0.006,0.143+-0.002,0.094+-0.003
21,0.226+-0.003,0.266+-0.008,0.142+-0.002,0.093+-0.003
22,0.223+-0.004,0.266+-0.008,0.141+-0.002,0.091+-0.002
23,0.222+-0.005,0.264+-0.007,0.141+-0.003,0.091+-0.003
24,0.216+-0.005,0.264+-0.005,0.141+-0.003,0.091+-0.003
25,0.219+-0.003,0.261+-0.004,0.14+-0.003,0.09+-0.003
26,0.218+-0.005,0.259+-0.004,0.139+-0.002,0.09+-0.002
27,0.213+-0.003,0.258+-0.004,0.139+-0.002,0.091+-0.002
28,0.216+-0.0,0.256+-0.003,0.139+-0.001,0.091+-0.002
29,0.214+-0.003,0.255+-0.003,0.138+-0.002,0.09+-0.002
30,0.209+-0.003,0.255+-0.003,0.138+-0.002,0.09+-0.002
31,0.213+-0.002,0.254+-0.003,0.138+-0.002,0.09+-0.002
32,0.211+-0.002,0.253+-0.003,0.138+-0.002,0.09+-0.002
33,0.209+-0.002,0.252+-0.002,0.138+-0.002,0.09+-0.002
34,0.209+-0.001,0.251+-0.001,0.138+-0.002,0.09+-0.002
35,0.208+-0.002,0.25+-0.001,0.138+-0.002,0.09+-0.002
36,0.206+-0.003,0.25+-0.001,0.138+-0.001,0.089+-0.002
37,0.207+-0.004,0.248+-0.002,0.136+-0.002,0.088+-0.002
38,0.206+-0.004,0.248+-0.002,0.136+-0.002,0.088+-0.002
39,0.205+-0.003,0.248+-0.001,0.136+-0.001,0.088+-0.002
40,0.202+-0.001,0.248+-0.003,0.137+-0.002,0.089+-0.001
41,0.203+-0.006,0.247+-0.002,0.136+-0.002,0.088+-0.001
42,0.205+-0.002,0.247+-0.003,0.136+-0.002,0.088+-0.002
43,0.204+-0.002,0.247+-0.002,0.136+-0.002,0.088+-0.001
44,0.204+-0.002,0.246+-0.002,0.135+-0.002,0.088+-0.002
45,0.203+-0.004,0.246+-0.003,0.135+-0.003,0.087+-0.002
46,0.201+-0.004,0.246+-0.001,0.135+-0.001,0.087+-0.002
47,0.202+-0.004,0.246+-0.002,0.135+-0.001,0.087+-0.002
48,0.201+-0.003,0.245+-0.002,0.134+-0.002,0.086+-0.002
49,0.204+-0.007,0.245+-0.003,0.135+-0.002,0.087+-0.002
50,0.201+-0.006,0.245+-0.002,0.135+-0.002,0.087+-0.002
51,0.202+-0.004,0.245+-0.002,0.134+-0.002,0.087+-0.002
52,0.198+-0.004,0.245+-0.002,0.134+-0.002,0.086+-0.002
53,0.202+-0.001,0.245+-0.002,0.134+-0.002,0.086+-0.001
54,0.2+-0.006,0.245+-0.003,0.134+-0.002,0.086+-0.002
55,0.201+-0.002,0.244+-0.002,0.134+-0.001,0.086+-0.002
56,0.199+-0.005,0.245+-0.003,0.134+-0.002,0.087+-0.002
57,0.199+-0.005,0.244+-0.002,0.133+-0.002,0.086+-0.002
58,0.199+-0.006,0.244+-0.002,0.134+-0.002,0.086+-0.002
59,0.198+-0.003,0.245+-0.002,0.134+-0.002,0.085+-0.002
60,0.199+-0.004,0.245+-0.002,0.134+-0.002,0.086+-0.001
61,0.198+-0.002,0.244+-0.002,0.133+-0.002,0.086+-0.001
62,0.197+-0.002,0.243+-0.002,0.133+-0.002,0.085+-0.002
63,0.195+-0.003,0.243+-0.002,0.133+-0.002,0.085+-0.001
64,0.198+-0.002,0.244+-0.001,0.134+-0.002,0.086+-0.002
65,0.197+-0.003,0.244+-0.002,0.134+-0.001,0.086+-0.001
66,0.195+-0.003,0.244+-0.002,0.133+-0.001,0.085+-0.002
67,0.197+-0.002,0.244+-0.002,0.133+-0.002,0.085+-0.001
68,0.197+-0.001,0.244+-0.001,0.134+-0.001,0.085+-0.001
69,0.197+-0.004,0.244+-0.001,0.133+-0.001,0.085+-0.001
70,0.198+-0.003,0.243+-0.003,0.133+-0.002,0.085+-0.002
71,0.195+-0.003,0.243+-0.002,0.133+-0.002,0.084+-0.002
72,0.195+-0.004,0.243+-0.002,0.132+-0.002,0.085+-0.001
73,0.195+-0.003,0.243+-0.001,0.132+-0.001,0.085+-0.001
74,0.196+-0.003,0.244+-0.001,0.133+-0.001,0.085+-0.001
75,0.195+-0.003,0.243+-0.001,0.132+-0.001,0.085+-0.002
76,0.194+-0.004,0.243+-0.001,0.132+-0.002,0.085+-0.001
77,0.197+-0.005,0.243+-0.001,0.132+-0.001,0.085+-0.001
78,0.195+-0.002,0.243+-0.002,0.132+-0.001,0.084+-0.002
79,0.196+-0.003,0.243+-0.001,0.132+-0.001,0.084+-0.001
80,0.193+-0.004,0.243+-0.001,0.132+-0.001,0.084+-0.001
81,0.193+-0.003,0.243+-0.001,0.132+-0.001,0.084+-0.001
82,0.193+-0.002,0.243+-0.002,0.132+-0.002,0.084+-0.002
83,0.193+-0.003,0.243+-0.001,0.132+-0.001,0.084+-0.001
84,0.195+-0.003,0.243+-0.001,0.132+-0.001,0.085+-0.001
85,0.193+-0.0,0.243+-0.001,0.132+-0.001,0.085+-0.001
86,0.195+-0.002,0.243+-0.001,0.132+-0.001,0.084+-0.001
87,0.194+-0.004,0.244+-0.002,0.133+-0.002,0.084+-0.001
88,0.195+-0.004,0.243+-0.002,0.132+-0.001,0.084+-0.001
89,0.196+-0.005,0.242+-0.001,0.131+-0.001,0.084+-0.001
90,0.192+-0.004,0.243+-0.001,0.132+-0.001,0.084+-0.001
91,0.192+-0.001,0.243+-0.002,0.132+-0.002,0.084+-0.001
92,0.194+-0.003,0.244+-0.002,0.133+-0.002,0.084+-0.002
93,0.193+-0.003,0.243+-0.001,0.132+-0.001,0.084+-0.001
94,0.193+-0.002,0.243+-0.001,0.132+-0.0,0.084+-0.0
95,0.193+-0.004,0.242+-0.001,0.132+-0.002,0.084+-0.002
96,0.192+-0.003,0.243+-0.001,0.132+-0.001,0.084+-0.001
97,0.194+-0.002,0.242+-0.001,0.131+-0.001,0.084+-0.002
98,0.191+-0.003,0.242+-0.001,0.132+-0.001,0.084+-0.002
99,0.192+-0.002,0.243+-0.002,0.131+-0.001,0.084+-0.001
