epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.458,0.298,0.166,0.12,
1,0.268,0.313,0.164,0.109,
2,0.319,0.325,0.168,0.106,
3,0.308,0.338,0.166,0.105,
4,0.303,0.313,0.153,0.097,
5,0.286,0.298,0.151,0.095,
6,0.282,0.299,0.151,0.095,
7,0.264,0.293,0.148,0.091,
8,0.246,0.297,0.148,0.091,
9,0.247,0.279,0.142,0.088,
10,0.232,0.267,0.137,0.086,
11,0.226,0.267,0.138,0.088,
12,0.225,0.271,0.139,0.087,
13,0.219,0.269,0.135,0.083,
14,0.215,0.261,0.131,0.079,
15,0.211,0.258,0.13,0.077,
16,0.21,0.258,0.131,0.078,
17,0.208,0.257,0.13,0.077,
18,0.205,0.256,0.13,0.078,
19,0.204,0.253,0.13,0.078,
20,0.201,0.251,0.128,0.078,
21,0.197,0.25,0.127,0.078,
22,0.197,0.249,0.127,0.078,
23,0.195,0.247,0.126,0.077,
24,0.19,0.247,0.127,0.078,
25,0.193,0.245,0.127,0.077,
26,0.192,0.245,0.126,0.076,
27,0.19,0.244,0.126,0.076,
28,0.191,0.244,0.126,0.076,
29,0.191,0.242,0.126,0.076,
30,0.186,0.241,0.126,0.076,
31,0.188,0.24,0.125,0.076,
32,0.186,0.239,0.124,0.076,
33,0.185,0.239,0.125,0.075,
34,0.186,0.239,0.125,0.075,
35,0.184,0.238,0.125,0.076,
36,0.183,0.238,0.125,0.075,
37,0.181,0.237,0.125,0.076,
38,0.182,0.236,0.125,0.076,
39,0.182,0.237,0.125,0.076,
40,0.179,0.237,0.125,0.076,
41,0.179,0.237,0.125,0.076,
42,0.183,0.236,0.125,0.076,
43,0.18,0.236,0.124,0.075,
44,0.182,0.237,0.125,0.076,
45,0.18,0.237,0.125,0.075,
46,0.179,0.236,0.124,0.075,
47,0.18,0.235,0.124,0.075,
48,0.178,0.235,0.124,0.075,
49,0.182,0.236,0.124,0.075,
50,0.179,0.235,0.125,0.075,
51,0.179,0.235,0.124,0.075,
52,0.177,0.235,0.124,0.074,
53,0.179,0.235,0.124,0.074,
54,0.178,0.235,0.124,0.074,
55,0.178,0.235,0.124,0.074,
56,0.178,0.235,0.124,0.075,
57,0.176,0.235,0.124,0.075,
58,0.178,0.235,0.124,0.075,
59,0.175,0.234,0.124,0.075,
60,0.178,0.235,0.124,0.075,
61,0.176,0.235,0.124,0.075,
62,0.175,0.235,0.124,0.075,
63,0.175,0.234,0.123,0.074,
64,0.175,0.234,0.123,0.074,
65,0.175,0.235,0.124,0.074,
66,0.173,0.234,0.124,0.074,
67,0.175,0.234,0.124,0.074,
68,0.174,0.234,0.124,0.075,
69,0.174,0.234,0.124,0.074,
70,0.175,0.234,0.124,0.074,
71,0.173,0.234,0.124,0.074,
72,0.174,0.234,0.124,0.074,
73,0.173,0.234,0.123,0.074,
74,0.174,0.234,0.124,0.074,
75,0.173,0.234,0.124,0.074,
76,0.172,0.234,0.124,0.074,
77,0.174,0.234,0.124,0.074,
78,0.174,0.234,0.124,0.074,
79,0.174,0.234,0.124,0.074,
80,0.171,0.234,0.124,0.074,
81,0.172,0.234,0.123,0.074,
82,0.173,0.234,0.124,0.074,
83,0.171,0.234,0.124,0.074,
84,0.174,0.234,0.124,0.074,
85,0.172,0.234,0.124,0.074,
86,0.174,0.234,0.124,0.074,
87,0.173,0.235,0.124,0.074,
88,0.173,0.235,0.124,0.074,
89,0.174,0.234,0.123,0.074,
90,0.171,0.234,0.124,0.074,
91,0.171,0.234,0.123,0.074,
92,0.171,0.235,0.124,0.074,
93,0.172,0.235,0.124,0.074,
94,0.172,0.234,0.124,0.074,
95,0.171,0.234,0.124,0.074,
96,0.171,0.234,0.124,0.074,
97,0.172,0.234,0.123,0.074,
98,0.17,0.235,0.124,0.074,
99,0.17,0.234,0.124,0.074,"[0.064, 0.192, 0.043, 0.238, 0.051, 0.145, 0.187, 0.102, 0.131, 0.085]"
