epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.036,0.029,0.002,0.002,
1,0.023,0.015,0.002,0.002,
2,0.009,0.005,0.001,0.002,
3,0.003,0.001,0.001,0.002,
4,0.003,0.002,0.001,0.002,
5,0.002,0.003,0.001,0.002,
6,0.003,0.003,0.001,0.002,
7,0.004,0.003,0.001,0.002,
8,0.006,0.003,0.001,0.002,
9,0.006,0.003,0.002,0.002,
10,0.004,0.004,0.002,0.002,
11,0.006,0.004,0.002,0.002,
12,0.004,0.003,0.002,0.002,
13,0.007,0.002,0.001,0.002,
14,0.002,0.002,0.001,0.002,
15,0.003,0.003,0.002,0.002,
16,0.001,0.003,0.002,0.002,
17,0.005,0.003,0.002,0.002,
18,0.004,0.003,0.002,0.001,
19,0.005,0.002,0.002,0.001,
20,0.003,0.001,0.002,0.001,
21,0.001,0.001,0.002,0.001,
22,0.002,0.001,0.002,0.001,
23,0.001,0.001,0.001,0.001,
24,0.001,0.001,0.001,0.001,
25,0.003,0.001,0.001,0.001,
26,0.003,0.001,0.002,0.001,
27,0.001,0.001,0.001,0.001,
28,0.0,0.002,0.002,0.001,
29,0.003,0.001,0.001,0.001,
30,0.003,0.001,0.002,0.001,
31,0.001,0.002,0.001,0.001,
32,0.003,0.001,0.001,0.001,
33,0.0,0.002,0.001,0.001,
34,0.003,0.002,0.001,0.002,
35,0.002,0.002,0.001,0.001,
36,0.001,0.002,0.001,0.001,
37,0.003,0.002,0.001,0.001,
38,0.002,0.001,0.001,0.001,
39,0.003,0.002,0.001,0.001,
40,0.003,0.001,0.001,0.001,
41,0.004,0.002,0.001,0.001,
42,0.001,0.002,0.001,0.001,
43,0.001,0.002,0.001,0.002,
44,0.002,0.002,0.001,0.002,
45,0.004,0.002,0.001,0.002,
46,0.003,0.002,0.001,0.002,
47,0.004,0.002,0.001,0.002,
48,0.002,0.002,0.001,0.001,
49,0.004,0.002,0.001,0.001,
50,0.003,0.002,0.001,0.001,
51,0.002,0.002,0.001,0.001,
52,0.001,0.002,0.001,0.001,
53,0.003,0.002,0.0,0.001,
54,0.003,0.002,0.0,0.001,
55,0.004,0.002,0.0,0.001,
56,0.002,0.002,0.0,0.001,
57,0.003,0.002,0.0,0.001,
58,0.005,0.002,0.0,0.001,
59,0.001,0.002,0.001,0.001,
60,0.003,0.002,0.001,0.001,
61,0.003,0.002,0.001,0.001,
62,0.003,0.002,0.001,0.001,
63,0.003,0.002,0.001,0.001,
64,0.001,0.002,0.001,0.001,
65,0.003,0.002,0.001,0.001,
66,0.001,0.002,0.001,0.001,
67,0.002,0.002,0.001,0.001,
68,0.002,0.002,0.001,0.001,
69,0.001,0.002,0.001,0.001,
70,0.003,0.002,0.001,0.001,
71,0.001,0.002,0.001,0.001,
72,0.002,0.002,0.001,0.001,
73,0.004,0.002,0.001,0.001,
74,0.002,0.002,0.001,0.001,
75,0.003,0.002,0.001,0.001,
76,0.003,0.002,0.0,0.001,
77,0.002,0.002,0.0,0.001,
78,0.0,0.002,0.0,0.001,
79,0.004,0.002,0.0,0.001,
80,0.001,0.002,0.0,0.001,
81,0.001,0.002,0.0,0.001,
82,0.003,0.002,0.0,0.001,
83,0.003,0.002,0.0,0.001,
84,0.003,0.002,0.0,0.001,
85,0.002,0.002,0.0,0.001,
86,0.001,0.002,0.0,0.001,
87,0.003,0.002,0.0,0.001,
88,0.001,0.002,0.001,0.001,
89,0.004,0.002,0.001,0.001,
90,0.003,0.002,0.0,0.001,
91,0.001,0.002,0.0,0.001,
92,0.002,0.002,0.0,0.001,
93,0.0,0.002,0.0,0.001,
94,0.005,0.002,0.0,0.001,
95,0.002,0.002,0.0,0.001,
96,0.002,0.002,0.0,0.001,
97,0.004,0.002,0.0,0.001,
98,0.004,0.002,0.0,0.001,
99,0.002,0.002,0.0,0.0,"[0.005, 0.002, 0.002, 0.002, 0.001, 0.002, 0.002, 0.001, 0.004, 0.005]"
