epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.024,0.024,0.001,0.001,
1,0.012,0.014,0.002,0.002,
2,0.024,0.005,0.002,0.002,
3,0.031,0.005,0.001,0.001,
4,0.022,0.006,0.002,0.002,
5,0.003,0.005,0.002,0.001,
6,0.013,0.007,0.003,0.002,
7,0.005,0.008,0.002,0.001,
8,0.012,0.018,0.004,0.003,
9,0.007,0.015,0.003,0.004,
10,0.013,0.003,0.002,0.001,
11,0.007,0.006,0.001,0.002,
12,0.004,0.007,0.002,0.004,
13,0.004,0.008,0.003,0.004,
14,0.005,0.007,0.004,0.004,
15,0.003,0.006,0.003,0.003,
16,0.006,0.008,0.002,0.002,
17,0.01,0.009,0.001,0.001,
18,0.003,0.008,0.002,0.002,
19,0.007,0.007,0.001,0.001,
20,0.006,0.006,0.002,0.003,
21,0.003,0.008,0.002,0.003,
22,0.004,0.008,0.002,0.002,
23,0.005,0.007,0.003,0.003,
24,0.005,0.005,0.003,0.003,
25,0.003,0.004,0.003,0.003,
26,0.005,0.004,0.002,0.002,
27,0.003,0.004,0.002,0.002,
28,0.0,0.003,0.001,0.002,
29,0.003,0.003,0.002,0.002,
30,0.003,0.003,0.002,0.002,
31,0.002,0.003,0.002,0.002,
32,0.002,0.003,0.002,0.002,
33,0.002,0.002,0.002,0.002,
34,0.001,0.001,0.002,0.002,
35,0.002,0.001,0.002,0.002,
36,0.003,0.001,0.001,0.002,
37,0.004,0.002,0.002,0.002,
38,0.004,0.002,0.002,0.002,
39,0.003,0.001,0.001,0.002,
40,0.001,0.003,0.002,0.001,
41,0.006,0.002,0.002,0.001,
42,0.002,0.003,0.002,0.002,
43,0.002,0.002,0.002,0.001,
44,0.002,0.002,0.002,0.002,
45,0.004,0.003,0.003,0.002,
46,0.004,0.001,0.001,0.002,
47,0.004,0.002,0.001,0.002,
48,0.003,0.002,0.002,0.002,
49,0.007,0.003,0.002,0.002,
50,0.006,0.002,0.002,0.002,
51,0.004,0.002,0.002,0.002,
52,0.004,0.002,0.002,0.002,
53,0.001,0.002,0.002,0.001,
54,0.006,0.003,0.002,0.002,
55,0.002,0.002,0.001,0.002,
56,0.005,0.003,0.002,0.002,
57,0.005,0.002,0.002,0.002,
58,0.006,0.002,0.002,0.002,
59,0.003,0.002,0.002,0.002,
60,0.004,0.002,0.002,0.001,
61,0.002,0.002,0.002,0.001,
62,0.002,0.002,0.002,0.002,
63,0.003,0.002,0.002,0.001,
64,0.002,0.001,0.002,0.002,
65,0.003,0.002,0.001,0.001,
66,0.003,0.002,0.001,0.002,
67,0.002,0.002,0.002,0.001,
68,0.001,0.001,0.001,0.001,
69,0.004,0.001,0.001,0.001,
70,0.003,0.003,0.002,0.002,
71,0.003,0.002,0.002,0.002,
72,0.004,0.002,0.002,0.001,
73,0.003,0.001,0.001,0.001,
74,0.003,0.001,0.001,0.001,
75,0.003,0.001,0.001,0.002,
76,0.004,0.001,0.002,0.001,
77,0.005,0.001,0.001,0.001,
78,0.002,0.002,0.001,0.002,
79,0.003,0.001,0.001,0.001,
80,0.004,0.001,0.001,0.001,
81,0.003,0.001,0.001,0.001,
82,0.002,0.002,0.002,0.002,
83,0.003,0.001,0.001,0.001,
84,0.003,0.001,0.001,0.001,
85,0.0,0.001,0.001,0.001,
86,0.002,0.001,0.001,0.001,
87,0.004,0.002,0.002,0.001,
88,0.004,0.002,0.001,0.001,
89,0.005,0.001,0.001,0.001,
90,0.004,0.001,0.001,0.001,
91,0.001,0.002,0.002,0.001,
92,0.003,0.002,0.002,0.002,
93,0.003,0.001,0.001,0.001,
94,0.002,0.001,0.0,0.0,
95,0.004,0.001,0.002,0.002,
96,0.003,0.001,0.001,0.001,
97,0.002,0.001,0.001,0.002,
98,0.003,0.001,0.001,0.002,
99,0.002,0.002,0.001,0.001,"[0.001, 0.005, 0.003, 0.005, 0.0, 0.001, 0.002, 0.002, 0.0, 0.001]"
