epoch,train_loss,val_loss,rmse,mae
0,0.376+-0.021,0.406+-0.12,0.17+-0.012,0.109+-0.006
1,0.293+-0.004,0.465+-0.13,0.175+-0.011,0.109+-0.006
2,0.255+-0.001,0.282+-0.007,0.147+-0.001,0.09+-0.001
3,0.241+-0.001,0.264+-0.012,0.139+-0.004,0.084+-0.005
4,0.234+-0.002,0.254+-0.017,0.134+-0.005,0.081+-0.004
5,0.226+-0.003,0.243+-0.007,0.13+-0.003,0.078+-0.004
6,0.223+-0.003,0.247+-0.005,0.13+-0.003,0.076+-0.001
7,0.22+-0.002,0.252+-0.006,0.134+-0.003,0.082+-0.006
8,0.219+-0.001,0.239+-0.005,0.127+-0.002,0.075+-0.001
9,0.215+-0.001,0.253+-0.021,0.136+-0.014,0.085+-0.007
10,0.214+-0.001,0.237+-0.008,0.124+-0.004,0.072+-0.002
11,0.213+-0.002,0.252+-0.014,0.127+-0.002,0.074+-0.001
12,0.211+-0.002,0.235+-0.004,0.125+-0.006,0.075+-0.002
13,0.21+-0.004,0.245+-0.008,0.129+-0.007,0.077+-0.007
14,0.207+-0.002,0.232+-0.001,0.122+-0.001,0.073+-0.001
15,0.205+-0.003,0.237+-0.011,0.125+-0.01,0.076+-0.006
16,0.204+-0.004,0.235+-0.009,0.124+-0.01,0.073+-0.005
17,0.204+-0.002,0.249+-0.009,0.132+-0.003,0.08+-0.003
18,0.202+-0.004,0.244+-0.007,0.126+-0.001,0.072+-0.003
19,0.2+-0.003,0.233+-0.004,0.123+-0.005,0.071+-0.002
20,0.198+-0.001,0.233+-0.003,0.122+-0.004,0.072+-0.004
21,0.197+-0.002,0.236+-0.009,0.124+-0.009,0.075+-0.007
22,0.194+-0.004,0.238+-0.017,0.128+-0.016,0.075+-0.01
23,0.194+-0.003,0.244+-0.021,0.125+-0.008,0.074+-0.007
24,0.194+-0.002,0.238+-0.01,0.123+-0.006,0.072+-0.006
25,0.192+-0.002,0.235+-0.011,0.123+-0.01,0.073+-0.006
26,0.191+-0.004,0.231+-0.002,0.118+-0.002,0.068+-0.001
27,0.189+-0.004,0.23+-0.007,0.118+-0.004,0.069+-0.005
28,0.189+-0.003,0.239+-0.012,0.125+-0.006,0.074+-0.006
29,0.186+-0.002,0.238+-0.02,0.12+-0.01,0.071+-0.008
30,0.184+-0.003,0.23+-0.003,0.118+-0.002,0.066+-0.002
31,0.182+-0.004,0.227+-0.001,0.114+-0.001,0.067+-0.001
32,0.183+-0.002,0.234+-0.004,0.12+-0.003,0.07+-0.001
33,0.181+-0.004,0.243+-0.003,0.129+-0.008,0.075+-0.007
34,0.18+-0.003,0.241+-0.027,0.125+-0.02,0.073+-0.009
35,0.179+-0.003,0.225+-0.002,0.113+-0.002,0.064+-0.002
36,0.18+-0.002,0.231+-0.008,0.119+-0.006,0.068+-0.004
37,0.178+-0.002,0.227+-0.005,0.114+-0.005,0.066+-0.003
38,0.179+-0.003,0.23+-0.009,0.117+-0.007,0.069+-0.005
39,0.176+-0.002,0.23+-0.004,0.116+-0.004,0.066+-0.002
40,0.173+-0.001,0.229+-0.004,0.116+-0.004,0.065+-0.001
41,0.174+-0.002,0.229+-0.001,0.116+-0.002,0.067+-0.002
42,0.174+-0.003,0.228+-0.005,0.116+-0.008,0.066+-0.005
43,0.174+-0.002,0.23+-0.004,0.118+-0.005,0.066+-0.002
44,0.174+-0.003,0.227+-0.003,0.115+-0.004,0.067+-0.003
45,0.173+-0.002,0.226+-0.002,0.113+-0.002,0.065+-0.001
46,0.171+-0.002,0.225+-0.001,0.111+-0.002,0.063+-0.002
47,0.172+-0.001,0.224+-0.001,0.111+-0.0,0.064+-0.001
48,0.171+-0.001,0.231+-0.006,0.118+-0.005,0.066+-0.002
49,0.17+-0.0,0.227+-0.001,0.114+-0.002,0.066+-0.004
50,0.169+-0.002,0.226+-0.002,0.114+-0.002,0.065+-0.001
51,0.169+-0.001,0.227+-0.002,0.113+-0.002,0.065+-0.002
52,0.17+-0.002,0.227+-0.002,0.114+-0.002,0.065+-0.002
53,0.169+-0.001,0.227+-0.003,0.115+-0.002,0.066+-0.001
54,0.168+-0.001,0.23+-0.01,0.115+-0.006,0.065+-0.003
55,0.169+-0.002,0.229+-0.004,0.114+-0.003,0.065+-0.001
56,0.169+-0.001,0.225+-0.001,0.111+-0.002,0.064+-0.002
57,0.168+-0.001,0.225+-0.002,0.111+-0.001,0.063+-0.0
58,0.168+-0.001,0.227+-0.003,0.114+-0.003,0.064+-0.002
59,0.167+-0.001,0.225+-0.004,0.113+-0.004,0.065+-0.003
60,0.168+-0.002,0.226+-0.002,0.113+-0.002,0.064+-0.001
61,0.167+-0.001,0.224+-0.003,0.111+-0.003,0.064+-0.002
62,0.167+-0.002,0.224+-0.001,0.111+-0.002,0.063+-0.001
63,0.168+-0.003,0.227+-0.006,0.113+-0.005,0.064+-0.002
64,0.166+-0.002,0.227+-0.003,0.114+-0.003,0.065+-0.002
65,0.166+-0.002,0.226+-0.003,0.112+-0.003,0.065+-0.002
66,0.167+-0.001,0.226+-0.002,0.113+-0.001,0.064+-0.001
67,0.167+-0.002,0.225+-0.001,0.111+-0.003,0.063+-0.001
68,0.166+-0.002,0.224+-0.002,0.112+-0.003,0.064+-0.002
69,0.166+-0.003,0.226+-0.002,0.112+-0.002,0.063+-0.002
70,0.167+-0.002,0.23+-0.007,0.116+-0.006,0.066+-0.004
71,0.166+-0.002,0.226+-0.004,0.113+-0.004,0.064+-0.004
72,0.166+-0.002,0.225+-0.003,0.111+-0.003,0.064+-0.004
73,0.166+-0.003,0.225+-0.001,0.112+-0.001,0.064+-0.001
74,0.166+-0.001,0.226+-0.005,0.115+-0.004,0.064+-0.002
75,0.166+-0.001,0.228+-0.002,0.113+-0.001,0.063+-0.001
76,0.166+-0.001,0.225+-0.001,0.112+-0.002,0.063+-0.001
77,0.165+-0.001,0.225+-0.003,0.112+-0.003,0.064+-0.001
78,0.165+-0.001,0.225+-0.003,0.112+-0.002,0.063+-0.001
79,0.166+-0.001,0.226+-0.002,0.113+-0.002,0.064+-0.001
80,0.164+-0.002,0.226+-0.003,0.113+-0.003,0.064+-0.003
81,0.165+-0.001,0.224+-0.003,0.112+-0.003,0.063+-0.002
82,0.165+-0.002,0.226+-0.001,0.113+-0.001,0.064+-0.001
83,0.165+-0.002,0.224+-0.002,0.111+-0.002,0.063+-0.001
84,0.165+-0.002,0.227+-0.004,0.113+-0.003,0.064+-0.001
85,0.165+-0.002,0.224+-0.001,0.112+-0.002,0.063+-0.001
86,0.165+-0.002,0.227+-0.001,0.112+-0.001,0.064+-0.001
87,0.165+-0.002,0.226+-0.002,0.113+-0.003,0.065+-0.001
88,0.164+-0.003,0.225+-0.001,0.111+-0.002,0.063+-0.002
89,0.164+-0.002,0.225+-0.002,0.113+-0.004,0.064+-0.003
90,0.164+-0.003,0.227+-0.002,0.113+-0.004,0.063+-0.002
