epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.378,0.326,0.142,0.082,
1,0.274,0.277,0.138,0.086,
2,0.22,0.237,0.114,0.065,
3,0.201,0.231,0.112,0.066,
4,0.187,0.218,0.102,0.058,
5,0.178,0.216,0.102,0.058,
6,0.175,0.212,0.097,0.054,
7,0.172,0.21,0.095,0.053,
8,0.172,0.21,0.095,0.053,
9,0.17,0.21,0.094,0.053,
10,0.169,0.209,0.093,0.052,
11,0.168,0.212,0.096,0.054,
12,0.168,0.212,0.096,0.054,
13,0.168,0.21,0.095,0.052,
14,0.166,0.211,0.095,0.053,
15,0.166,0.211,0.096,0.053,
16,0.165,0.211,0.095,0.053,
17,0.166,0.21,0.094,0.053,
18,0.166,0.21,0.094,0.052,
19,0.165,0.209,0.094,0.052,
20,0.166,0.211,0.095,0.052,
21,0.165,0.211,0.096,0.053,
22,0.164,0.209,0.094,0.052,
23,0.165,0.21,0.094,0.053,
24,0.165,0.209,0.094,0.052,
25,0.163,0.209,0.095,0.052,
26,0.165,0.211,0.096,0.053,
27,0.165,0.21,0.095,0.052,
28,0.164,0.209,0.094,0.052,
29,0.164,0.208,0.093,0.052,
30,0.164,0.211,0.095,0.053,
31,0.164,0.209,0.094,0.052,
32,0.164,0.21,0.094,0.052,
33,0.163,0.209,0.093,0.052,
34,0.163,0.209,0.094,0.052,
35,0.163,0.209,0.093,0.052,
36,0.164,0.21,0.095,0.052,
37,0.164,0.21,0.095,0.053,
38,0.164,0.21,0.096,0.053,
39,0.163,0.209,0.095,0.052,
40,0.162,0.208,0.094,0.051,
41,0.163,0.208,0.094,0.052,
42,0.163,0.21,0.094,0.052,
43,0.163,0.21,0.095,0.052,
44,0.164,0.209,0.094,0.052,
45,0.162,0.208,0.093,0.052,
46,0.162,0.209,0.094,0.052,
47,0.162,0.209,0.093,0.051,
48,0.162,0.209,0.093,0.051,
49,0.162,0.209,0.094,0.051,
50,0.162,0.209,0.094,0.052,
51,0.161,0.209,0.093,0.051,
52,0.162,0.209,0.094,0.052,
53,0.162,0.209,0.093,0.051,
54,0.162,0.209,0.095,0.052,
55,0.162,0.209,0.093,0.052,
56,0.162,0.209,0.094,0.052,
57,0.162,0.208,0.093,0.051,
58,0.161,0.209,0.093,0.051,
59,0.161,0.21,0.095,0.052,
60,0.162,0.208,0.093,0.051,
61,0.162,0.208,0.094,0.052,
62,0.162,0.207,0.093,0.051,
63,0.162,0.208,0.093,0.051,
64,0.161,0.209,0.094,0.052,
65,0.162,0.209,0.094,0.051,
66,0.162,0.209,0.094,0.052,
67,0.162,0.209,0.094,0.052,
68,0.161,0.207,0.093,0.052,
69,0.161,0.21,0.095,0.052,
70,0.162,0.211,0.096,0.053,
71,0.161,0.209,0.095,0.052,
72,0.162,0.209,0.095,0.052,
73,0.162,0.209,0.094,0.052,
74,0.162,0.209,0.094,0.052,
75,0.161,0.209,0.094,0.052,
76,0.162,0.209,0.094,0.052,
77,0.161,0.209,0.094,0.052,
78,0.161,0.208,0.094,0.052,
79,0.162,0.209,0.094,0.052,
80,0.161,0.21,0.095,0.052,
81,0.161,0.208,0.094,0.052,
82,0.161,0.209,0.093,0.051,
83,0.162,0.207,0.093,0.052,
84,0.161,0.209,0.094,0.052,
85,0.162,0.209,0.094,0.052,
86,0.161,0.209,0.094,0.052,
87,0.162,0.208,0.094,0.052,
88,0.161,0.208,0.094,0.052,
89,0.161,0.208,0.093,0.051,
90,0.161,0.209,0.093,0.051,
91,0.161,0.209,0.093,0.051,
92,0.161,0.209,0.094,0.052,
93,0.162,0.208,0.094,0.052,
94,0.162,0.209,0.095,0.053,
95,0.161,0.207,0.093,0.052,
96,0.161,0.208,0.095,0.052,
97,0.161,0.207,0.093,0.052,
98,0.16,0.208,0.094,0.052,
99,0.161,0.208,0.094,0.052,"[0.054, 0.126, 0.029, 0.167, 0.043, 0.115, 0.154, 0.086, 0.096, 0.067]"
