epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.398,0.35,0.158,0.098,
1,0.309,0.281,0.135,0.084,
2,0.256,0.259,0.123,0.071,
3,0.237,0.242,0.117,0.069,
4,0.221,0.232,0.113,0.067,
5,0.213,0.23,0.112,0.068,
6,0.208,0.228,0.113,0.068,
7,0.205,0.225,0.112,0.066,
8,0.204,0.225,0.112,0.067,
9,0.201,0.221,0.109,0.065,
10,0.198,0.221,0.109,0.065,
11,0.198,0.22,0.109,0.065,
12,0.197,0.221,0.109,0.064,
13,0.199,0.22,0.107,0.064,
14,0.196,0.222,0.109,0.065,
15,0.195,0.22,0.107,0.064,
16,0.193,0.223,0.109,0.065,
17,0.193,0.223,0.109,0.065,
18,0.195,0.221,0.107,0.064,
19,0.193,0.223,0.109,0.065,
20,0.193,0.221,0.107,0.064,
21,0.193,0.223,0.109,0.065,
22,0.192,0.222,0.108,0.063,
23,0.192,0.221,0.107,0.064,
24,0.191,0.221,0.107,0.063,
25,0.19,0.222,0.108,0.063,
26,0.191,0.221,0.107,0.063,
27,0.191,0.222,0.108,0.064,
28,0.19,0.223,0.109,0.064,
29,0.19,0.222,0.107,0.063,
30,0.188,0.222,0.107,0.063,
31,0.188,0.221,0.107,0.063,
32,0.19,0.223,0.108,0.064,
33,0.189,0.223,0.108,0.063,
34,0.189,0.221,0.107,0.063,
35,0.186,0.221,0.107,0.063,
36,0.188,0.224,0.11,0.065,
37,0.187,0.221,0.107,0.063,
38,0.188,0.223,0.109,0.064,
39,0.187,0.224,0.108,0.063,
40,0.187,0.224,0.109,0.064,
41,0.188,0.223,0.109,0.064,
42,0.186,0.225,0.11,0.065,
43,0.187,0.225,0.11,0.064,
44,0.188,0.224,0.109,0.064,
45,0.187,0.223,0.108,0.064,
46,0.186,0.224,0.108,0.063,
47,0.186,0.227,0.11,0.064,
48,0.187,0.227,0.11,0.064,
49,0.186,0.224,0.108,0.063,
50,0.184,0.223,0.108,0.063,
51,0.185,0.225,0.109,0.063,
52,0.187,0.223,0.108,0.063,
53,0.185,0.226,0.109,0.064,
54,0.185,0.229,0.112,0.066,
55,0.186,0.225,0.109,0.063,
56,0.186,0.226,0.109,0.064,
57,0.184,0.224,0.108,0.063,
58,0.182,0.225,0.109,0.064,
59,0.183,0.224,0.109,0.064,
60,0.185,0.223,0.108,0.063,
61,0.185,0.227,0.11,0.064,
62,0.185,0.226,0.11,0.064,
63,0.186,0.225,0.109,0.064,
64,0.183,0.226,0.11,0.063,
65,0.185,0.225,0.109,0.063,
66,0.184,0.227,0.111,0.065,
67,0.186,0.228,0.111,0.065,
68,0.183,0.227,0.11,0.064,
69,0.186,0.23,0.111,0.066,
70,0.185,0.225,0.109,0.064,
71,0.182,0.226,0.11,0.064,
72,0.186,0.227,0.11,0.064,
73,0.189,0.227,0.109,0.064,
74,0.184,0.226,0.109,0.063,
75,0.184,0.23,0.111,0.066,
76,0.186,0.228,0.111,0.065,
77,0.184,0.226,0.11,0.065,
78,0.184,0.227,0.111,0.064,
79,0.185,0.227,0.11,0.064,
80,0.183,0.227,0.11,0.064,
81,0.182,0.227,0.109,0.063,
82,0.183,0.226,0.11,0.064,
83,0.184,0.227,0.11,0.064,
84,0.184,0.227,0.111,0.065,
85,0.184,0.229,0.111,0.065,
86,0.185,0.228,0.111,0.065,
87,0.184,0.229,0.111,0.065,
88,0.183,0.226,0.11,0.064,
89,0.182,0.228,0.111,0.065,
90,0.183,0.228,0.11,0.064,
91,0.182,0.228,0.111,0.064,
92,0.182,0.229,0.112,0.065,
93,0.184,0.228,0.11,0.063,
94,0.183,0.229,0.111,0.065,
95,0.183,0.226,0.11,0.064,
96,0.183,0.227,0.11,0.064,
97,0.182,0.231,0.112,0.065,
98,0.184,0.23,0.111,0.065,
99,0.183,0.227,0.11,0.063,"[0.061, 0.154, 0.034, 0.205, 0.044, 0.137, 0.178, 0.102, 0.106, 0.074]"
