epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.395,0.308,0.165,0.111,
1,0.338,0.302,0.163,0.113,
2,0.287,0.28,0.149,0.099,
3,0.27,0.267,0.144,0.095,
4,0.255,0.253,0.139,0.091,
5,0.244,0.249,0.138,0.09,
6,0.24,0.249,0.137,0.089,
7,0.238,0.248,0.136,0.087,
8,0.238,0.25,0.138,0.088,
9,0.238,0.246,0.135,0.087,
10,0.235,0.245,0.134,0.086,
11,0.235,0.245,0.133,0.085,
12,0.234,0.245,0.134,0.085,
13,0.235,0.243,0.132,0.084,
14,0.233,0.242,0.132,0.084,
15,0.232,0.242,0.132,0.084,
16,0.23,0.242,0.131,0.083,
17,0.231,0.243,0.132,0.084,
18,0.231,0.242,0.131,0.084,
19,0.232,0.242,0.13,0.083,
20,0.23,0.24,0.13,0.082,
21,0.229,0.242,0.13,0.083,
22,0.228,0.242,0.13,0.082,
23,0.228,0.241,0.13,0.083,
24,0.23,0.241,0.13,0.082,
25,0.228,0.241,0.13,0.082,
26,0.228,0.24,0.128,0.081,
27,0.228,0.241,0.13,0.083,
28,0.227,0.241,0.13,0.082,
29,0.226,0.24,0.128,0.081,
30,0.225,0.24,0.129,0.082,
31,0.225,0.239,0.128,0.08,
32,0.226,0.241,0.129,0.082,
33,0.226,0.239,0.127,0.08,
34,0.225,0.24,0.129,0.081,
35,0.223,0.239,0.128,0.081,
36,0.225,0.241,0.129,0.082,
37,0.224,0.239,0.127,0.08,
38,0.224,0.239,0.128,0.081,
39,0.223,0.24,0.128,0.08,
40,0.223,0.243,0.129,0.082,
41,0.225,0.24,0.128,0.081,
42,0.224,0.239,0.128,0.081,
43,0.221,0.24,0.128,0.08,
44,0.223,0.239,0.128,0.08,
45,0.223,0.239,0.127,0.08,
46,0.222,0.24,0.128,0.081,
47,0.223,0.239,0.127,0.08,
48,0.222,0.241,0.129,0.081,
49,0.221,0.238,0.127,0.079,
50,0.22,0.237,0.126,0.08,
51,0.221,0.239,0.127,0.08,
52,0.223,0.237,0.126,0.079,
53,0.221,0.238,0.126,0.079,
54,0.22,0.242,0.129,0.081,
55,0.221,0.237,0.126,0.079,
56,0.22,0.238,0.126,0.079,
57,0.22,0.238,0.127,0.08,
58,0.219,0.238,0.126,0.079,
59,0.219,0.238,0.126,0.079,
60,0.22,0.237,0.126,0.079,
61,0.221,0.239,0.126,0.078,
62,0.22,0.238,0.127,0.079,
63,0.221,0.237,0.126,0.079,
64,0.218,0.237,0.126,0.078,
65,0.219,0.237,0.125,0.079,
66,0.219,0.237,0.126,0.079,
67,0.219,0.239,0.126,0.08,
68,0.218,0.237,0.125,0.079,
69,0.22,0.241,0.128,0.08,
70,0.22,0.238,0.126,0.079,
71,0.218,0.24,0.127,0.08,
72,0.221,0.239,0.127,0.079,
73,0.221,0.236,0.125,0.078,
74,0.218,0.237,0.126,0.078,
75,0.218,0.24,0.127,0.08,
76,0.219,0.239,0.127,0.079,
77,0.219,0.239,0.127,0.08,
78,0.218,0.238,0.126,0.079,
79,0.219,0.238,0.125,0.078,
80,0.218,0.238,0.126,0.079,
81,0.217,0.236,0.125,0.078,
82,0.216,0.238,0.126,0.078,
83,0.217,0.237,0.125,0.079,
84,0.217,0.237,0.126,0.079,
85,0.217,0.238,0.126,0.078,
86,0.217,0.237,0.125,0.078,
87,0.217,0.238,0.126,0.078,
88,0.217,0.237,0.125,0.078,
89,0.217,0.237,0.125,0.079,
90,0.216,0.238,0.126,0.079,
91,0.217,0.24,0.127,0.079,
92,0.216,0.237,0.125,0.078,
93,0.217,0.238,0.125,0.078,
94,0.215,0.238,0.126,0.079,
95,0.217,0.236,0.124,0.078,
96,0.216,0.236,0.124,0.078,
97,0.216,0.238,0.125,0.078,
98,0.217,0.238,0.125,0.078,
99,0.215,0.236,0.124,0.078,"[0.082, 0.178, 0.031, 0.246, 0.051, 0.146, 0.207, 0.09, 0.126, 0.088]"
