epoch,train_loss,val_loss,rmse,mae
0,0.371+-0.028,0.286+-0.008,0.137+-0.004,0.082+-0.004
1,0.259+-0.003,0.239+-0.004,0.116+-0.001,0.069+-0.001
2,0.232+-0.002,0.226+-0.002,0.111+-0.001,0.066+-0.001
3,0.221+-0.004,0.219+-0.003,0.106+-0.001,0.063+-0.001
4,0.214+-0.003,0.219+-0.002,0.106+-0.002,0.064+-0.001
5,0.212+-0.003,0.219+-0.001,0.107+-0.001,0.064+-0.0
6,0.212+-0.003,0.218+-0.002,0.105+-0.002,0.063+-0.001
7,0.212+-0.002,0.221+-0.004,0.107+-0.002,0.064+-0.001
8,0.21+-0.001,0.22+-0.006,0.105+-0.004,0.063+-0.004
9,0.209+-0.001,0.217+-0.001,0.104+-0.0,0.062+-0.001
10,0.206+-0.002,0.218+-0.001,0.103+-0.001,0.062+-0.001
11,0.206+-0.0,0.219+-0.007,0.105+-0.006,0.062+-0.004
12,0.207+-0.002,0.218+-0.001,0.104+-0.001,0.062+-0.001
13,0.206+-0.001,0.218+-0.002,0.103+-0.002,0.062+-0.002
14,0.206+-0.001,0.216+-0.001,0.103+-0.001,0.061+-0.001
15,0.204+-0.002,0.219+-0.006,0.105+-0.004,0.062+-0.003
16,0.204+-0.002,0.217+-0.002,0.103+-0.001,0.061+-0.001
17,0.204+-0.002,0.219+-0.002,0.104+-0.002,0.062+-0.001
18,0.204+-0.001,0.217+-0.002,0.103+-0.001,0.061+-0.001
19,0.202+-0.002,0.219+-0.004,0.104+-0.004,0.062+-0.002
20,0.205+-0.006,0.219+-0.003,0.103+-0.002,0.061+-0.001
21,0.204+-0.004,0.218+-0.002,0.103+-0.002,0.061+-0.002
22,0.203+-0.002,0.218+-0.003,0.103+-0.003,0.061+-0.001
23,0.202+-0.003,0.217+-0.001,0.102+-0.002,0.06+-0.001
24,0.201+-0.003,0.22+-0.003,0.104+-0.004,0.062+-0.003
25,0.204+-0.001,0.217+-0.0,0.101+-0.002,0.06+-0.001
26,0.201+-0.003,0.218+-0.002,0.103+-0.003,0.061+-0.001
27,0.201+-0.001,0.218+-0.001,0.102+-0.002,0.06+-0.001
28,0.201+-0.002,0.22+-0.002,0.104+-0.002,0.061+-0.002
29,0.202+-0.003,0.221+-0.002,0.105+-0.002,0.062+-0.001
30,0.201+-0.002,0.22+-0.003,0.103+-0.002,0.061+-0.002
31,0.201+-0.003,0.221+-0.003,0.104+-0.001,0.062+-0.001
