epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.371,0.286,0.137,0.082,
1,0.259,0.239,0.116,0.069,
2,0.232,0.226,0.111,0.066,
3,0.221,0.219,0.106,0.063,
4,0.214,0.219,0.106,0.064,
5,0.212,0.219,0.107,0.064,
6,0.212,0.218,0.105,0.063,
7,0.212,0.221,0.107,0.064,
8,0.21,0.22,0.105,0.063,
9,0.209,0.217,0.104,0.062,
10,0.206,0.218,0.103,0.062,
11,0.206,0.219,0.105,0.062,
12,0.207,0.218,0.104,0.062,
13,0.206,0.218,0.103,0.062,
14,0.206,0.216,0.103,0.061,
15,0.204,0.219,0.105,0.062,
16,0.204,0.217,0.103,0.061,
17,0.204,0.219,0.104,0.062,
18,0.204,0.217,0.103,0.061,
19,0.202,0.219,0.104,0.062,
20,0.205,0.219,0.103,0.061,
21,0.204,0.218,0.103,0.061,
22,0.203,0.218,0.103,0.061,
23,0.202,0.217,0.102,0.06,
24,0.201,0.22,0.104,0.062,
25,0.204,0.217,0.101,0.06,
26,0.201,0.218,0.103,0.061,
27,0.201,0.218,0.102,0.06,
28,0.201,0.22,0.104,0.061,
29,0.202,0.221,0.105,0.062,
30,0.201,0.22,0.103,0.061,
31,0.201,0.221,0.104,0.062,
32,0.2,0.221,0.104,0.061,
33,0.201,0.221,0.105,0.062,
34,0.201,0.22,0.103,0.06,
35,0.202,0.226,0.107,0.064,
36,0.203,0.222,0.105,0.062,
37,0.202,0.22,0.103,0.061,
38,0.2,0.219,0.102,0.06,
39,0.2,0.221,0.104,0.062,
40,0.2,0.22,0.103,0.061,
41,0.198,0.22,0.104,0.061,
42,0.2,0.219,0.102,0.06,
43,0.2,0.221,0.105,0.062,
44,0.199,0.22,0.103,0.06,
45,0.199,0.221,0.104,0.061,
46,0.198,0.218,0.102,0.06,
47,0.198,0.221,0.104,0.061,
48,0.199,0.22,0.104,0.062,
49,0.2,0.22,0.104,0.061,
50,0.199,0.222,0.104,0.061,
51,0.198,0.222,0.104,0.061,
52,0.199,0.223,0.105,0.061,
53,0.199,0.22,0.103,0.06,
54,0.197,0.222,0.105,0.062,
55,0.198,0.222,0.105,0.061,
56,0.199,0.221,0.104,0.061,
57,0.2,0.222,0.105,0.062,
58,0.199,0.221,0.103,0.06,
59,0.199,0.223,0.106,0.063,
60,0.197,0.223,0.106,0.062,
61,0.197,0.22,0.103,0.061,
62,0.198,0.221,0.104,0.06,
63,0.198,0.225,0.107,0.063,
64,0.199,0.225,0.106,0.062,
65,0.199,0.22,0.103,0.06,
66,0.197,0.221,0.103,0.06,
67,0.196,0.22,0.105,0.061,
68,0.199,0.226,0.106,0.062,
69,0.198,0.223,0.105,0.061,
70,0.196,0.224,0.106,0.062,
71,0.197,0.221,0.103,0.06,
72,0.198,0.222,0.105,0.062,
73,0.196,0.221,0.104,0.06,
74,0.196,0.223,0.105,0.061,
75,0.197,0.222,0.105,0.061,
76,0.196,0.221,0.104,0.061,
77,0.197,0.222,0.104,0.061,
78,0.2,0.224,0.105,0.062,
79,0.201,0.226,0.107,0.063,
80,0.198,0.221,0.104,0.061,
81,0.196,0.222,0.104,0.061,
82,0.196,0.222,0.104,0.061,
83,0.197,0.221,0.104,0.06,
84,0.196,0.221,0.103,0.06,
85,0.197,0.226,0.107,0.062,
86,0.198,0.222,0.105,0.061,
87,0.197,0.223,0.105,0.061,
88,0.197,0.222,0.104,0.06,
89,0.196,0.222,0.104,0.06,
90,0.197,0.224,0.105,0.061,
91,0.197,0.226,0.107,0.062,
92,0.197,0.224,0.106,0.061,
93,0.197,0.223,0.106,0.062,
94,0.197,0.222,0.104,0.06,
95,0.196,0.222,0.104,0.06,
96,0.197,0.223,0.105,0.061,
97,0.197,0.224,0.105,0.061,
98,0.198,0.225,0.106,0.062,
99,0.198,0.226,0.107,0.063,"[0.062, 0.151, 0.031, 0.202, 0.043, 0.133, 0.175, 0.096, 0.11, 0.071]"
