epoch,train_loss,val_loss,rmse,mae
0,0.268+-0.004,0.225+-0.005,0.115+-0.004,0.068+-0.004
1,0.216+-0.003,0.216+-0.004,0.108+-0.002,0.064+-0.002
2,0.21+-0.002,0.213+-0.002,0.103+-0.003,0.058+-0.002
3,0.205+-0.001,0.216+-0.007,0.103+-0.006,0.059+-0.005
4,0.202+-0.002,0.216+-0.004,0.104+-0.004,0.06+-0.005
5,0.199+-0.002,0.215+-0.011,0.101+-0.006,0.057+-0.003
6,0.198+-0.002,0.212+-0.007,0.101+-0.007,0.06+-0.005
7,0.196+-0.001,0.211+-0.01,0.096+-0.005,0.053+-0.003
8,0.194+-0.001,0.204+-0.006,0.09+-0.003,0.05+-0.002
9,0.194+-0.002,0.209+-0.001,0.098+-0.003,0.056+-0.0
10,0.191+-0.001,0.205+-0.002,0.092+-0.001,0.051+-0.001
11,0.19+-0.001,0.202+-0.002,0.088+-0.0,0.05+-0.001
12,0.189+-0.002,0.202+-0.002,0.089+-0.004,0.05+-0.003
13,0.187+-0.003,0.208+-0.015,0.095+-0.015,0.053+-0.009
14,0.186+-0.002,0.2+-0.003,0.086+-0.004,0.048+-0.003
15,0.185+-0.001,0.2+-0.003,0.086+-0.003,0.048+-0.002
16,0.184+-0.001,0.204+-0.003,0.091+-0.003,0.05+-0.003
17,0.184+-0.002,0.204+-0.002,0.091+-0.001,0.051+-0.002
18,0.182+-0.003,0.207+-0.002,0.096+-0.002,0.053+-0.001
19,0.182+-0.002,0.208+-0.008,0.093+-0.006,0.051+-0.003
20,0.181+-0.001,0.203+-0.005,0.09+-0.005,0.05+-0.003
21,0.179+-0.002,0.206+-0.005,0.092+-0.004,0.051+-0.002
22,0.179+-0.001,0.202+-0.003,0.088+-0.003,0.048+-0.001
23,0.177+-0.002,0.201+-0.001,0.088+-0.003,0.049+-0.003
24,0.178+-0.002,0.209+-0.006,0.095+-0.006,0.055+-0.005
25,0.177+-0.001,0.201+-0.004,0.087+-0.003,0.048+-0.002
26,0.176+-0.001,0.203+-0.006,0.088+-0.007,0.048+-0.004
27,0.176+-0.001,0.201+-0.001,0.087+-0.001,0.047+-0.001
28,0.175+-0.0,0.199+-0.003,0.085+-0.004,0.046+-0.002
29,0.175+-0.001,0.2+-0.001,0.087+-0.001,0.047+-0.001
30,0.175+-0.001,0.198+-0.003,0.083+-0.002,0.045+-0.001
31,0.174+-0.001,0.203+-0.004,0.09+-0.005,0.049+-0.004
32,0.174+-0.001,0.198+-0.003,0.084+-0.004,0.047+-0.002
33,0.173+-0.001,0.198+-0.001,0.084+-0.002,0.046+-0.002
34,0.174+-0.001,0.202+-0.001,0.087+-0.002,0.047+-0.001
35,0.174+-0.002,0.201+-0.004,0.087+-0.005,0.047+-0.002
36,0.173+-0.001,0.198+-0.002,0.084+-0.002,0.046+-0.002
37,0.173+-0.001,0.2+-0.003,0.085+-0.003,0.047+-0.001
38,0.173+-0.001,0.2+-0.002,0.085+-0.002,0.046+-0.001
39,0.172+-0.001,0.2+-0.003,0.084+-0.002,0.046+-0.002
40,0.172+-0.001,0.202+-0.005,0.089+-0.005,0.049+-0.003
41,0.172+-0.001,0.205+-0.004,0.091+-0.006,0.049+-0.003
42,0.172+-0.001,0.2+-0.002,0.086+-0.003,0.047+-0.002
43,0.171+-0.001,0.201+-0.003,0.087+-0.003,0.047+-0.002
44,0.171+-0.001,0.2+-0.002,0.085+-0.002,0.047+-0.001
45,0.172+-0.001,0.199+-0.004,0.085+-0.005,0.047+-0.003
46,0.171+-0.001,0.2+-0.002,0.087+-0.002,0.048+-0.001
47,0.171+-0.001,0.198+-0.0,0.082+-0.002,0.045+-0.0
48,0.171+-0.001,0.199+-0.001,0.085+-0.003,0.046+-0.001
49,0.17+-0.001,0.2+-0.002,0.086+-0.002,0.047+-0.001
50,0.171+-0.001,0.2+-0.002,0.086+-0.003,0.047+-0.002
51,0.17+-0.001,0.199+-0.0,0.083+-0.001,0.045+-0.001
