epoch,train_loss,val_loss,rmse,mae
0,0.276+-0.01,0.212+-0.003,0.1+-0.004,0.059+-0.003
1,0.202+-0.002,0.211+-0.012,0.093+-0.011,0.052+-0.006
2,0.193+-0.001,0.199+-0.001,0.083+-0.001,0.046+-0.001
3,0.188+-0.002,0.2+-0.008,0.085+-0.012,0.048+-0.008
4,0.183+-0.001,0.202+-0.004,0.085+-0.003,0.047+-0.002
5,0.18+-0.001,0.196+-0.001,0.08+-0.001,0.044+-0.001
6,0.178+-0.001,0.198+-0.003,0.081+-0.003,0.044+-0.002
7,0.177+-0.001,0.195+-0.001,0.078+-0.001,0.042+-0.001
8,0.175+-0.001,0.2+-0.004,0.083+-0.004,0.046+-0.002
9,0.175+-0.0,0.195+-0.001,0.079+-0.001,0.042+-0.001
10,0.174+-0.0,0.195+-0.001,0.078+-0.002,0.042+-0.002
11,0.173+-0.001,0.196+-0.001,0.078+-0.001,0.042+-0.001
12,0.173+-0.001,0.195+-0.001,0.078+-0.0,0.042+-0.001
13,0.173+-0.001,0.197+-0.004,0.08+-0.005,0.043+-0.003
14,0.173+-0.001,0.197+-0.001,0.08+-0.001,0.043+-0.001
15,0.172+-0.001,0.195+-0.0,0.079+-0.001,0.042+-0.0
16,0.172+-0.001,0.195+-0.001,0.079+-0.001,0.042+-0.0
17,0.171+-0.001,0.195+-0.001,0.079+-0.001,0.042+-0.0
18,0.171+-0.001,0.195+-0.001,0.079+-0.001,0.042+-0.001
19,0.171+-0.001,0.196+-0.001,0.079+-0.001,0.042+-0.001
20,0.171+-0.001,0.195+-0.001,0.079+-0.001,0.043+-0.001
21,0.171+-0.001,0.195+-0.001,0.077+-0.002,0.042+-0.001
22,0.17+-0.001,0.195+-0.001,0.079+-0.001,0.042+-0.001
23,0.17+-0.0,0.194+-0.0,0.078+-0.001,0.042+-0.001
24,0.17+-0.001,0.195+-0.001,0.079+-0.002,0.043+-0.001
25,0.171+-0.001,0.195+-0.002,0.079+-0.002,0.043+-0.001
26,0.17+-0.0,0.194+-0.001,0.077+-0.0,0.041+-0.0
27,0.17+-0.001,0.194+-0.001,0.078+-0.001,0.042+-0.001
28,0.169+-0.001,0.194+-0.001,0.078+-0.001,0.042+-0.001
29,0.169+-0.001,0.195+-0.001,0.078+-0.001,0.042+-0.0
30,0.169+-0.001,0.194+-0.001,0.077+-0.001,0.041+-0.001
31,0.169+-0.002,0.195+-0.0,0.078+-0.001,0.042+-0.0
32,0.169+-0.001,0.195+-0.001,0.078+-0.001,0.042+-0.001
33,0.169+-0.001,0.195+-0.003,0.078+-0.004,0.042+-0.002
34,0.169+-0.001,0.195+-0.0,0.079+-0.001,0.042+-0.0
35,0.169+-0.001,0.194+-0.0,0.077+-0.001,0.041+-0.0
36,0.168+-0.001,0.194+-0.0,0.077+-0.001,0.042+-0.001
37,0.169+-0.001,0.194+-0.001,0.077+-0.001,0.041+-0.001
38,0.169+-0.001,0.194+-0.001,0.077+-0.001,0.041+-0.001
39,0.169+-0.001,0.195+-0.002,0.079+-0.002,0.042+-0.001
40,0.168+-0.001,0.194+-0.001,0.077+-0.001,0.042+-0.001
41,0.168+-0.001,0.194+-0.0,0.078+-0.001,0.042+-0.001
42,0.168+-0.001,0.195+-0.001,0.078+-0.001,0.042+-0.001
43,0.168+-0.001,0.195+-0.001,0.078+-0.001,0.042+-0.001
44,0.169+-0.001,0.195+-0.001,0.078+-0.001,0.042+-0.0
45,0.168+-0.001,0.194+-0.001,0.078+-0.002,0.042+-0.001
46,0.168+-0.001,0.194+-0.0,0.077+-0.001,0.041+-0.001
47,0.168+-0.001,0.194+-0.0,0.077+-0.0,0.041+-0.0
48,0.168+-0.001,0.195+-0.003,0.078+-0.002,0.042+-0.002
49,0.168+-0.001,0.194+-0.001,0.077+-0.001,0.041+-0.001
50,0.168+-0.001,0.195+-0.001,0.078+-0.002,0.042+-0.001
51,0.168+-0.001,0.194+-0.001,0.077+-0.001,0.041+-0.001
52,0.168+-0.001,0.194+-0.001,0.078+-0.001,0.042+-0.001
53,0.168+-0.001,0.194+-0.0,0.077+-0.001,0.042+-0.001
54,0.168+-0.001,0.195+-0.001,0.078+-0.001,0.041+-0.001
55,0.168+-0.001,0.194+-0.001,0.077+-0.001,0.042+-0.001
56,0.168+-0.001,0.194+-0.002,0.078+-0.001,0.042+-0.001
57,0.168+-0.0,0.194+-0.0,0.077+-0.0,0.041+-0.001
58,0.167+-0.001,0.194+-0.001,0.077+-0.001,0.042+-0.001
59,0.167+-0.001,0.194+-0.001,0.077+-0.0,0.041+-0.0
60,0.167+-0.001,0.195+-0.001,0.078+-0.001,0.042+-0.001
61,0.167+-0.001,0.194+-0.001,0.078+-0.001,0.042+-0.001
62,0.167+-0.001,0.195+-0.001,0.078+-0.001,0.042+-0.0
63,0.168+-0.001,0.194+-0.001,0.077+-0.001,0.041+-0.001
64,0.167+-0.001,0.194+-0.001,0.077+-0.001,0.042+-0.001
65,0.167+-0.001,0.194+-0.001,0.077+-0.001,0.041+-0.001
66,0.167+-0.001,0.194+-0.001,0.076+-0.001,0.041+-0.0
67,0.167+-0.001,0.194+-0.001,0.077+-0.001,0.041+-0.0
68,0.167+-0.001,0.194+-0.001,0.077+-0.001,0.041+-0.001
69,0.167+-0.001,0.194+-0.0,0.077+-0.0,0.041+-0.001
70,0.167+-0.001,0.195+-0.001,0.078+-0.001,0.042+-0.001
71,0.167+-0.001,0.193+-0.001,0.077+-0.001,0.041+-0.0
72,0.167+-0.001,0.194+-0.001,0.077+-0.001,0.041+-0.0
73,0.167+-0.001,0.194+-0.0,0.077+-0.001,0.042+-0.0
74,0.167+-0.001,0.194+-0.001,0.077+-0.001,0.041+-0.0
75,0.167+-0.001,0.194+-0.001,0.077+-0.001,0.041+-0.0
76,0.167+-0.001,0.194+-0.001,0.077+-0.001,0.042+-0.001
77,0.167+-0.001,0.194+-0.0,0.077+-0.001,0.041+-0.001
78,0.167+-0.001,0.193+-0.001,0.077+-0.0,0.041+-0.001
79,0.167+-0.001,0.194+-0.001,0.077+-0.001,0.041+-0.001
80,0.167+-0.001,0.194+-0.001,0.077+-0.001,0.041+-0.001
81,0.167+-0.001,0.194+-0.001,0.077+-0.001,0.041+-0.001
82,0.167+-0.001,0.193+-0.0,0.076+-0.001,0.041+-0.001
83,0.167+-0.001,0.194+-0.002,0.077+-0.002,0.042+-0.001
84,0.167+-0.001,0.194+-0.001,0.077+-0.001,0.041+-0.001
85,0.167+-0.001,0.193+-0.001,0.077+-0.001,0.042+-0.001
86,0.167+-0.001,0.194+-0.001,0.077+-0.001,0.042+-0.0
87,0.167+-0.001,0.194+-0.001,0.077+-0.001,0.041+-0.001
88,0.167+-0.001,0.193+-0.001,0.077+-0.0,0.042+-0.0
89,0.166+-0.001,0.194+-0.001,0.077+-0.001,0.042+-0.0
90,0.167+-0.001,0.194+-0.0,0.077+-0.0,0.042+-0.0
91,0.167+-0.001,0.193+-0.001,0.077+-0.001,0.041+-0.001
92,0.167+-0.001,0.194+-0.001,0.077+-0.001,0.042+-0.001
93,0.166+-0.001,0.193+-0.001,0.076+-0.001,0.041+-0.0
94,0.167+-0.001,0.194+-0.0,0.077+-0.0,0.042+-0.0
95,0.167+-0.001,0.194+-0.0,0.077+-0.0,0.042+-0.0
96,0.166+-0.001,0.194+-0.001,0.077+-0.0,0.042+-0.001
