epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.268,0.225,0.115,0.068,
1,0.216,0.216,0.108,0.064,
2,0.21,0.213,0.103,0.058,
3,0.205,0.216,0.103,0.059,
4,0.202,0.216,0.104,0.06,
5,0.199,0.215,0.101,0.057,
6,0.198,0.212,0.101,0.06,
7,0.196,0.211,0.096,0.053,
8,0.194,0.204,0.09,0.05,
9,0.194,0.209,0.098,0.056,
10,0.191,0.205,0.092,0.051,
11,0.19,0.202,0.088,0.05,
12,0.189,0.202,0.089,0.05,
13,0.187,0.208,0.095,0.053,
14,0.186,0.2,0.086,0.048,
15,0.185,0.2,0.086,0.048,
16,0.184,0.204,0.091,0.05,
17,0.184,0.204,0.091,0.051,
18,0.182,0.207,0.096,0.053,
19,0.182,0.208,0.093,0.051,
20,0.181,0.203,0.09,0.05,
21,0.179,0.206,0.092,0.051,
22,0.179,0.202,0.088,0.048,
23,0.177,0.201,0.088,0.049,
24,0.178,0.209,0.095,0.055,
25,0.177,0.201,0.087,0.048,
26,0.176,0.203,0.088,0.048,
27,0.176,0.201,0.087,0.047,
28,0.175,0.199,0.085,0.046,
29,0.175,0.2,0.087,0.047,
30,0.175,0.198,0.083,0.045,
31,0.174,0.203,0.09,0.049,
32,0.174,0.198,0.084,0.047,
33,0.173,0.198,0.084,0.046,
34,0.174,0.202,0.087,0.047,
35,0.174,0.201,0.087,0.047,
36,0.173,0.198,0.084,0.046,
37,0.173,0.2,0.085,0.047,
38,0.173,0.2,0.085,0.046,
39,0.172,0.2,0.084,0.046,
40,0.172,0.202,0.089,0.049,
41,0.172,0.205,0.091,0.049,
42,0.172,0.2,0.086,0.047,
43,0.171,0.201,0.087,0.047,
44,0.171,0.2,0.085,0.047,
45,0.172,0.199,0.085,0.047,
46,0.171,0.2,0.087,0.048,
47,0.171,0.198,0.082,0.045,
48,0.171,0.199,0.085,0.046,
49,0.17,0.2,0.086,0.047,
50,0.171,0.2,0.086,0.047,
51,0.17,0.199,0.083,0.045,
52,0.171,0.205,0.09,0.051,
53,0.17,0.201,0.086,0.047,
54,0.17,0.2,0.085,0.046,
55,0.17,0.198,0.083,0.045,
56,0.17,0.199,0.084,0.046,
57,0.17,0.2,0.084,0.046,
58,0.17,0.199,0.085,0.046,
59,0.17,0.2,0.086,0.047,
60,0.17,0.2,0.085,0.047,
61,0.17,0.2,0.085,0.046,
62,0.169,0.198,0.083,0.045,
63,0.17,0.199,0.083,0.046,
64,0.169,0.199,0.083,0.046,
65,0.169,0.198,0.083,0.045,
66,0.169,0.198,0.083,0.044,
67,0.169,0.198,0.083,0.045,
68,0.169,0.201,0.085,0.047,
69,0.169,0.2,0.086,0.047,
70,0.169,0.2,0.084,0.045,
71,0.169,0.2,0.084,0.046,
72,0.169,0.201,0.085,0.046,
73,0.169,0.199,0.084,0.046,
74,0.169,0.198,0.084,0.046,
75,0.168,0.2,0.085,0.046,
76,0.168,0.199,0.083,0.045,
77,0.168,0.199,0.084,0.045,
78,0.169,0.199,0.083,0.045,
79,0.169,0.198,0.082,0.045,
80,0.168,0.198,0.082,0.045,
81,0.168,0.199,0.083,0.046,
82,0.168,0.199,0.083,0.045,
83,0.168,0.2,0.084,0.045,
84,0.168,0.2,0.085,0.047,
85,0.169,0.199,0.085,0.046,
86,0.168,0.2,0.084,0.046,
87,0.168,0.198,0.082,0.045,
88,0.168,0.199,0.084,0.046,
89,0.168,0.2,0.085,0.046,
90,0.168,0.2,0.087,0.047,
91,0.168,0.199,0.083,0.045,
92,0.168,0.199,0.084,0.046,
93,0.168,0.198,0.082,0.045,
94,0.168,0.199,0.085,0.046,
95,0.168,0.199,0.084,0.046,
96,0.167,0.199,0.083,0.045,
97,0.167,0.199,0.083,0.045,
98,0.168,0.198,0.082,0.045,
99,0.167,0.2,0.084,0.046,"[0.049, 0.11, 0.021, 0.15, 0.039, 0.109, 0.14, 0.08, 0.091, 0.053]"
