epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.383,0.327,0.144,0.081,
1,0.302,0.259,0.127,0.077,
2,0.249,0.233,0.117,0.07,
3,0.232,0.224,0.111,0.067,
4,0.227,0.22,0.109,0.066,
5,0.224,0.218,0.107,0.065,
6,0.222,0.218,0.106,0.065,
7,0.221,0.218,0.105,0.064,
8,0.221,0.218,0.107,0.064,
9,0.221,0.217,0.105,0.064,
10,0.22,0.218,0.105,0.063,
11,0.22,0.218,0.105,0.064,
12,0.221,0.218,0.106,0.063,
13,0.22,0.216,0.105,0.063,
14,0.219,0.215,0.104,0.063,
15,0.218,0.215,0.103,0.062,
16,0.217,0.214,0.103,0.061,
17,0.217,0.215,0.103,0.062,
18,0.217,0.215,0.103,0.062,
19,0.217,0.215,0.104,0.062,
20,0.217,0.215,0.103,0.062,
21,0.218,0.219,0.105,0.063,
22,0.218,0.216,0.103,0.062,
23,0.218,0.217,0.104,0.063,
24,0.217,0.216,0.103,0.062,
25,0.218,0.215,0.102,0.061,
26,0.217,0.217,0.105,0.063,
27,0.217,0.214,0.102,0.061,
28,0.216,0.214,0.102,0.061,
29,0.216,0.215,0.103,0.062,
30,0.216,0.214,0.102,0.061,
31,0.216,0.214,0.101,0.06,
32,0.215,0.213,0.101,0.06,
33,0.215,0.214,0.101,0.061,
34,0.215,0.215,0.102,0.061,
35,0.216,0.217,0.105,0.063,
36,0.216,0.216,0.103,0.062,
37,0.217,0.213,0.101,0.061,
38,0.216,0.216,0.102,0.061,
39,0.216,0.216,0.102,0.062,
40,0.216,0.214,0.101,0.06,
41,0.216,0.215,0.102,0.06,
42,0.215,0.214,0.101,0.06,
43,0.215,0.214,0.102,0.061,
44,0.214,0.212,0.101,0.061,
45,0.214,0.213,0.101,0.06,
46,0.214,0.214,0.101,0.061,
47,0.214,0.215,0.102,0.061,
48,0.215,0.214,0.102,0.061,
49,0.215,0.216,0.103,0.062,
50,0.215,0.213,0.101,0.06,
51,0.215,0.214,0.1,0.06,
52,0.214,0.214,0.101,0.061,
53,0.215,0.217,0.103,0.062,
54,0.215,0.215,0.101,0.061,
55,0.214,0.213,0.1,0.06,
56,0.213,0.214,0.101,0.06,
57,0.214,0.213,0.1,0.06,
58,0.214,0.214,0.101,0.06,
59,0.214,0.215,0.102,0.06,
60,0.214,0.213,0.1,0.059,
61,0.215,0.213,0.1,0.06,
62,0.214,0.214,0.1,0.06,
63,0.213,0.213,0.101,0.06,
64,0.214,0.216,0.103,0.061,
65,0.214,0.214,0.102,0.06,
66,0.214,0.213,0.101,0.06,
67,0.215,0.214,0.101,0.061,
68,0.215,0.215,0.102,0.061,
69,0.215,0.213,0.1,0.06,
70,0.214,0.215,0.101,0.061,
71,0.215,0.214,0.101,0.061,
72,0.214,0.214,0.101,0.06,
73,0.214,0.214,0.1,0.059,
74,0.213,0.215,0.102,0.06,
75,0.214,0.214,0.101,0.061,
76,0.214,0.213,0.101,0.06,
77,0.214,0.213,0.101,0.06,
78,0.213,0.215,0.102,0.061,
79,0.213,0.214,0.101,0.06,
80,0.213,0.215,0.102,0.06,
81,0.213,0.213,0.101,0.06,
82,0.213,0.214,0.101,0.06,
83,0.213,0.215,0.102,0.061,
84,0.215,0.214,0.101,0.06,
85,0.214,0.217,0.103,0.061,
86,0.214,0.214,0.101,0.06,
87,0.213,0.215,0.102,0.061,
88,0.213,0.214,0.101,0.06,
89,0.214,0.215,0.101,0.06,
90,0.213,0.214,0.1,0.06,
91,0.213,0.216,0.103,0.061,
92,0.213,0.216,0.102,0.061,
93,0.213,0.212,0.1,0.059,
94,0.213,0.213,0.1,0.06,
95,0.213,0.213,0.1,0.059,
96,0.214,0.214,0.1,0.06,
97,0.213,0.212,0.1,0.06,
98,0.215,0.218,0.103,0.062,
99,0.215,0.215,0.101,0.061,"[0.055, 0.149, 0.024, 0.204, 0.041, 0.121, 0.163, 0.086, 0.104, 0.065]"
