epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.013,0.016,0.006,0.004,
1,0.017,0.015,0.003,0.001,
2,0.006,0.001,0.002,0.002,
3,0.002,0.003,0.002,0.002,
4,0.002,0.002,0.001,0.001,
5,0.001,0.001,0.001,0.001,
6,0.001,0.002,0.001,0.001,
7,0.001,0.001,0.002,0.001,
8,0.002,0.001,0.001,0.001,
9,0.002,0.002,0.001,0.001,
10,0.003,0.003,0.002,0.001,
11,0.003,0.002,0.001,0.0,
12,0.001,0.003,0.002,0.001,
13,0.001,0.001,0.002,0.001,
14,0.002,0.002,0.002,0.001,
15,0.002,0.001,0.001,0.001,
16,0.001,0.001,0.001,0.001,
17,0.001,0.001,0.001,0.0,
18,0.001,0.002,0.001,0.001,
19,0.001,0.002,0.002,0.001,
20,0.0,0.001,0.001,0.001,
21,0.003,0.006,0.004,0.003,
22,0.003,0.002,0.001,0.001,
23,0.002,0.002,0.002,0.002,
24,0.001,0.002,0.002,0.002,
25,0.001,0.001,0.001,0.001,
26,0.0,0.002,0.002,0.001,
27,0.001,0.002,0.002,0.001,
28,0.001,0.002,0.001,0.001,
29,0.001,0.0,0.001,0.001,
30,0.001,0.001,0.001,0.001,
31,0.0,0.001,0.001,0.001,
32,0.0,0.0,0.0,0.001,
33,0.001,0.001,0.0,0.001,
34,0.001,0.002,0.002,0.001,
35,0.002,0.003,0.002,0.002,
36,0.001,0.002,0.002,0.001,
37,0.001,0.001,0.001,0.001,
38,0.002,0.002,0.001,0.001,
39,0.002,0.006,0.002,0.001,
40,0.003,0.001,0.001,0.001,
41,0.002,0.003,0.001,0.001,
42,0.0,0.002,0.002,0.002,
43,0.0,0.002,0.002,0.001,
44,0.0,0.001,0.001,0.001,
45,0.001,0.001,0.001,0.0,
46,0.001,0.002,0.001,0.001,
47,0.0,0.002,0.001,0.001,
48,0.001,0.002,0.002,0.001,
49,0.002,0.001,0.002,0.001,
50,0.001,0.001,0.001,0.0,
51,0.002,0.001,0.001,0.001,
52,0.001,0.001,0.001,0.001,
53,0.002,0.005,0.003,0.003,
54,0.002,0.001,0.001,0.0,
55,0.001,0.001,0.001,0.001,
56,0.001,0.002,0.001,0.001,
57,0.0,0.001,0.001,0.0,
58,0.001,0.003,0.002,0.002,
59,0.001,0.002,0.001,0.001,
60,0.001,0.001,0.001,0.001,
61,0.002,0.001,0.001,0.001,
62,0.001,0.002,0.001,0.001,
63,0.002,0.001,0.001,0.0,
64,0.001,0.003,0.002,0.002,
65,0.001,0.002,0.001,0.001,
66,0.001,0.002,0.002,0.001,
67,0.001,0.002,0.002,0.001,
68,0.002,0.004,0.003,0.002,
69,0.002,0.001,0.001,0.001,
70,0.002,0.003,0.002,0.001,
71,0.001,0.001,0.001,0.001,
72,0.001,0.001,0.001,0.001,
73,0.001,0.002,0.001,0.001,
74,0.001,0.002,0.002,0.001,
75,0.0,0.002,0.003,0.001,
76,0.002,0.001,0.001,0.001,
77,0.0,0.001,0.001,0.001,
78,0.001,0.002,0.002,0.001,
79,0.001,0.001,0.001,0.0,
80,0.001,0.002,0.001,0.001,
81,0.001,0.002,0.002,0.001,
82,0.001,0.001,0.002,0.001,
83,0.001,0.002,0.002,0.002,
84,0.002,0.001,0.001,0.001,
85,0.002,0.001,0.001,0.001,
86,0.001,0.003,0.002,0.002,
87,0.001,0.002,0.001,0.001,
88,0.0,0.001,0.001,0.001,
89,0.001,0.002,0.001,0.001,
90,0.001,0.002,0.001,0.001,
91,0.001,0.004,0.003,0.002,
92,0.002,0.003,0.002,0.002,
93,0.001,0.001,0.0,0.001,
94,0.001,0.001,0.001,0.001,
95,0.002,0.001,0.001,0.001,
96,0.001,0.002,0.001,0.001,
97,0.001,0.001,0.0,0.001,
98,0.002,0.006,0.004,0.003,
99,0.002,0.003,0.003,0.001,"[0.003, 0.009, 0.001, 0.002, 0.001, 0.003, 0.001, 0.001, 0.001, 0.002]"
