epoch,train_loss,val_loss,rmse,mae
0,0.351+-0.011,0.265+-0.011,0.131+-0.005,0.078+-0.003
1,0.243+-0.003,0.224+-0.002,0.111+-0.001,0.067+-0.001
2,0.226+-0.002,0.22+-0.003,0.109+-0.001,0.066+-0.001
3,0.223+-0.0,0.217+-0.001,0.106+-0.001,0.063+-0.001
4,0.222+-0.002,0.219+-0.004,0.107+-0.004,0.065+-0.003
5,0.221+-0.002,0.218+-0.004,0.106+-0.001,0.064+-0.001
6,0.22+-0.002,0.215+-0.002,0.104+-0.003,0.063+-0.002
7,0.221+-0.002,0.221+-0.002,0.108+-0.001,0.065+-0.0
8,0.221+-0.001,0.216+-0.002,0.103+-0.001,0.062+-0.001
9,0.22+-0.002,0.217+-0.003,0.104+-0.002,0.063+-0.001
10,0.219+-0.001,0.217+-0.002,0.104+-0.001,0.063+-0.001
11,0.219+-0.001,0.215+-0.0,0.102+-0.001,0.062+-0.001
12,0.217+-0.001,0.214+-0.001,0.102+-0.002,0.061+-0.001
13,0.219+-0.002,0.215+-0.004,0.102+-0.002,0.061+-0.001
14,0.217+-0.001,0.214+-0.001,0.101+-0.001,0.061+-0.001
15,0.217+-0.001,0.213+-0.001,0.101+-0.001,0.061+-0.001
16,0.216+-0.0,0.212+-0.001,0.1+-0.001,0.06+-0.001
17,0.216+-0.001,0.214+-0.002,0.101+-0.002,0.061+-0.001
18,0.218+-0.002,0.214+-0.001,0.101+-0.001,0.061+-0.001
19,0.216+-0.001,0.214+-0.002,0.102+-0.003,0.061+-0.002
20,0.216+-0.001,0.213+-0.001,0.101+-0.001,0.06+-0.0
21,0.216+-0.0,0.214+-0.001,0.101+-0.001,0.06+-0.001
22,0.217+-0.001,0.214+-0.001,0.1+-0.002,0.06+-0.001
23,0.217+-0.001,0.214+-0.001,0.101+-0.001,0.06+-0.001
24,0.216+-0.0,0.213+-0.002,0.1+-0.002,0.06+-0.001
25,0.216+-0.001,0.213+-0.001,0.101+-0.001,0.06+-0.002
26,0.216+-0.002,0.213+-0.001,0.101+-0.001,0.061+-0.002
27,0.216+-0.002,0.213+-0.003,0.1+-0.002,0.06+-0.001
28,0.217+-0.002,0.213+-0.001,0.101+-0.001,0.061+-0.001
29,0.216+-0.001,0.214+-0.001,0.101+-0.001,0.06+-0.001
30,0.216+-0.001,0.213+-0.001,0.1+-0.001,0.06+-0.001
31,0.215+-0.001,0.213+-0.002,0.1+-0.002,0.06+-0.001
32,0.216+-0.001,0.214+-0.004,0.1+-0.002,0.059+-0.001
33,0.216+-0.001,0.215+-0.002,0.101+-0.001,0.061+-0.001
34,0.216+-0.001,0.215+-0.002,0.101+-0.002,0.06+-0.001
35,0.216+-0.002,0.213+-0.003,0.1+-0.002,0.06+-0.001
36,0.215+-0.001,0.214+-0.001,0.101+-0.001,0.06+-0.001
37,0.216+-0.001,0.213+-0.001,0.1+-0.001,0.06+-0.001
38,0.215+-0.001,0.213+-0.002,0.1+-0.001,0.06+-0.001
39,0.215+-0.0,0.213+-0.001,0.1+-0.001,0.06+-0.001
40,0.215+-0.001,0.213+-0.001,0.1+-0.002,0.059+-0.001
41,0.214+-0.001,0.212+-0.002,0.099+-0.001,0.06+-0.002
42,0.215+-0.002,0.214+-0.002,0.1+-0.002,0.06+-0.001
43,0.215+-0.001,0.214+-0.001,0.1+-0.001,0.059+-0.001
44,0.215+-0.001,0.212+-0.001,0.099+-0.001,0.059+-0.001
45,0.215+-0.001,0.215+-0.006,0.101+-0.004,0.061+-0.003
46,0.216+-0.001,0.212+-0.002,0.099+-0.002,0.059+-0.001
47,0.216+-0.0,0.212+-0.002,0.099+-0.002,0.059+-0.001
48,0.215+-0.0,0.212+-0.001,0.099+-0.001,0.06+-0.001
49,0.215+-0.001,0.212+-0.001,0.099+-0.001,0.06+-0.001
50,0.215+-0.002,0.213+-0.002,0.1+-0.0,0.06+-0.0
51,0.215+-0.001,0.212+-0.001,0.099+-0.001,0.059+-0.001
52,0.215+-0.0,0.213+-0.001,0.1+-0.001,0.059+-0.001
53,0.215+-0.001,0.213+-0.002,0.1+-0.002,0.06+-0.001
54,0.215+-0.001,0.212+-0.001,0.1+-0.001,0.059+-0.001
55,0.215+-0.0,0.214+-0.003,0.1+-0.002,0.059+-0.001
56,0.216+-0.001,0.216+-0.002,0.102+-0.002,0.06+-0.001
57,0.215+-0.001,0.213+-0.001,0.1+-0.0,0.06+-0.0
58,0.215+-0.002,0.212+-0.002,0.099+-0.001,0.059+-0.001
59,0.214+-0.001,0.212+-0.001,0.098+-0.0,0.059+-0.001
60,0.215+-0.001,0.212+-0.0,0.099+-0.0,0.06+-0.001
61,0.215+-0.001,0.214+-0.004,0.1+-0.002,0.061+-0.001
62,0.216+-0.002,0.212+-0.001,0.1+-0.001,0.059+-0.001
63,0.214+-0.001,0.214+-0.001,0.101+-0.001,0.06+-0.001
64,0.215+-0.002,0.213+-0.002,0.1+-0.002,0.06+-0.001
65,0.214+-0.001,0.213+-0.001,0.099+-0.001,0.059+-0.0
66,0.214+-0.001,0.213+-0.001,0.1+-0.001,0.06+-0.001
67,0.214+-0.001,0.212+-0.0,0.098+-0.001,0.058+-0.001
68,0.214+-0.0,0.212+-0.001,0.099+-0.001,0.059+-0.0
69,0.214+-0.001,0.213+-0.003,0.099+-0.001,0.06+-0.002
70,0.214+-0.001,0.212+-0.001,0.098+-0.001,0.059+-0.0
71,0.214+-0.0,0.213+-0.001,0.1+-0.001,0.059+-0.001
72,0.214+-0.001,0.212+-0.002,0.1+-0.001,0.059+-0.001
73,0.214+-0.001,0.213+-0.003,0.099+-0.002,0.059+-0.001
74,0.214+-0.001,0.212+-0.001,0.099+-0.0,0.059+-0.001
75,0.214+-0.001,0.212+-0.001,0.099+-0.001,0.059+-0.001
76,0.214+-0.001,0.214+-0.003,0.1+-0.003,0.06+-0.002
77,0.214+-0.001,0.212+-0.0,0.099+-0.001,0.059+-0.001
78,0.215+-0.001,0.213+-0.002,0.1+-0.002,0.06+-0.002
79,0.215+-0.002,0.214+-0.002,0.1+-0.002,0.06+-0.002
80,0.214+-0.001,0.213+-0.001,0.1+-0.002,0.06+-0.002
81,0.214+-0.001,0.212+-0.001,0.099+-0.001,0.059+-0.0
82,0.214+-0.001,0.213+-0.001,0.099+-0.002,0.06+-0.001
83,0.214+-0.001,0.211+-0.001,0.098+-0.0,0.059+-0.0
84,0.214+-0.001,0.213+-0.001,0.1+-0.002,0.06+-0.001
85,0.215+-0.001,0.215+-0.004,0.101+-0.002,0.061+-0.001
86,0.215+-0.001,0.213+-0.003,0.099+-0.002,0.059+-0.002
87,0.215+-0.001,0.213+-0.002,0.099+-0.002,0.059+-0.002
88,0.215+-0.001,0.212+-0.002,0.099+-0.001,0.059+-0.001
89,0.214+-0.0,0.213+-0.001,0.099+-0.001,0.06+-0.001
90,0.214+-0.001,0.211+-0.001,0.098+-0.001,0.059+-0.001
91,0.214+-0.001,0.212+-0.001,0.099+-0.001,0.059+-0.001
92,0.213+-0.001,0.211+-0.001,0.098+-0.001,0.059+-0.001
93,0.214+-0.001,0.213+-0.001,0.099+-0.001,0.059+-0.001
94,0.214+-0.001,0.212+-0.001,0.099+-0.001,0.058+-0.001
95,0.214+-0.001,0.214+-0.001,0.1+-0.001,0.059+-0.001
96,0.215+-0.001,0.212+-0.001,0.098+-0.001,0.059+-0.001
97,0.214+-0.001,0.212+-0.001,0.098+-0.0,0.059+-0.0
98,0.214+-0.001,0.212+-0.001,0.099+-0.001,0.059+-0.001
99,0.214+-0.001,0.212+-0.002,0.099+-0.001,0.06+-0.001
