epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.249,0.257,0.132,0.077,
1,0.223,0.218,0.109,0.064,
2,0.216,0.234,0.115,0.065,
3,0.213,0.216,0.106,0.062,
4,0.21,0.213,0.101,0.058,
5,0.207,0.214,0.104,0.059,
6,0.205,0.208,0.098,0.055,
7,0.204,0.207,0.095,0.053,
8,0.201,0.205,0.094,0.052,
9,0.2,0.204,0.094,0.053,
10,0.198,0.202,0.09,0.05,
11,0.197,0.212,0.102,0.057,
12,0.195,0.203,0.09,0.05,
13,0.194,0.203,0.093,0.051,
14,0.192,0.198,0.084,0.047,
15,0.19,0.204,0.091,0.051,
16,0.189,0.206,0.091,0.052,
17,0.187,0.2,0.086,0.048,
18,0.186,0.204,0.09,0.05,
19,0.184,0.203,0.088,0.049,
20,0.182,0.202,0.089,0.05,
21,0.181,0.205,0.09,0.05,
22,0.181,0.199,0.085,0.047,
23,0.179,0.202,0.086,0.048,
24,0.178,0.201,0.086,0.049,
25,0.177,0.2,0.085,0.047,
26,0.177,0.199,0.084,0.046,
27,0.176,0.2,0.084,0.046,
28,0.175,0.2,0.084,0.046,
29,0.175,0.2,0.084,0.046,
30,0.175,0.197,0.082,0.044,
31,0.174,0.199,0.084,0.046,
32,0.173,0.201,0.086,0.047,
33,0.173,0.199,0.084,0.046,
34,0.173,0.199,0.084,0.047,
35,0.172,0.2,0.084,0.046,
36,0.172,0.199,0.083,0.046,
37,0.172,0.198,0.082,0.045,
38,0.172,0.197,0.082,0.045,
39,0.172,0.198,0.082,0.045,
40,0.172,0.198,0.082,0.045,
41,0.171,0.199,0.084,0.046,
42,0.171,0.198,0.082,0.045,
43,0.171,0.199,0.083,0.045,
44,0.171,0.198,0.082,0.045,
45,0.171,0.199,0.083,0.045,
46,0.171,0.199,0.082,0.045,
47,0.17,0.198,0.082,0.045,
48,0.17,0.198,0.082,0.044,
49,0.17,0.198,0.081,0.045,
50,0.17,0.199,0.082,0.045,
51,0.17,0.198,0.082,0.045,
52,0.17,0.197,0.081,0.044,
53,0.17,0.2,0.084,0.046,
54,0.17,0.198,0.082,0.045,
55,0.17,0.199,0.082,0.045,
56,0.17,0.199,0.082,0.045,
57,0.17,0.199,0.083,0.045,
58,0.17,0.199,0.082,0.045,
59,0.17,0.198,0.082,0.045,
60,0.169,0.199,0.082,0.045,
61,0.169,0.199,0.082,0.045,
62,0.169,0.199,0.083,0.045,
63,0.169,0.198,0.081,0.045,
64,0.169,0.198,0.082,0.044,
65,0.169,0.199,0.082,0.044,
66,0.169,0.198,0.082,0.045,
67,0.169,0.198,0.081,0.044,
68,0.169,0.199,0.083,0.045,
69,0.169,0.198,0.081,0.044,
70,0.169,0.198,0.082,0.045,
71,0.169,0.198,0.082,0.045,
72,0.169,0.2,0.082,0.045,
73,0.169,0.198,0.081,0.045,
74,0.169,0.198,0.082,0.045,
75,0.169,0.199,0.082,0.044,
76,0.169,0.199,0.082,0.045,
77,0.169,0.199,0.081,0.045,
78,0.168,0.199,0.082,0.045,
79,0.168,0.198,0.081,0.045,
80,0.168,0.199,0.082,0.044,
81,0.168,0.198,0.081,0.044,
82,0.168,0.198,0.082,0.045,
83,0.168,0.199,0.082,0.045,
84,0.168,0.199,0.082,0.045,
85,0.168,0.199,0.082,0.045,
86,0.168,0.198,0.082,0.045,
87,0.168,0.198,0.081,0.044,
88,0.168,0.198,0.082,0.045,
89,0.168,0.198,0.082,0.045,
90,0.168,0.198,0.082,0.045,
91,0.168,0.198,0.081,0.045,
92,0.168,0.199,0.082,0.045,
93,0.168,0.198,0.082,0.044,
94,0.168,0.199,0.082,0.045,
95,0.168,0.199,0.082,0.045,
96,0.168,0.198,0.082,0.044,
97,0.168,0.199,0.082,0.045,
98,0.168,0.198,0.081,0.044,
99,0.168,0.198,0.081,0.045,"[0.047, 0.106, 0.019, 0.147, 0.037, 0.107, 0.138, 0.079, 0.085, 0.046]"
