epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.002,0.002,0.003,0.001,
1,0.001,0.002,0.002,0.001,
2,0.0,0.004,0.006,0.005,
3,0.001,0.001,0.001,0.001,
4,0.001,0.002,0.0,0.001,
5,0.001,0.0,0.001,0.001,
6,0.001,0.011,0.012,0.008,
7,0.0,0.001,0.001,0.001,
8,0.001,0.002,0.002,0.001,
9,0.0,0.001,0.001,0.0,
10,0.0,0.001,0.002,0.001,
11,0.001,0.001,0.002,0.001,
12,0.0,0.001,0.001,0.001,
13,0.001,0.001,0.001,0.0,
14,0.0,0.001,0.001,0.001,
15,0.0,0.001,0.001,0.001,
16,0.001,0.002,0.001,0.001,
17,0.0,0.001,0.001,0.001,
18,0.0,0.001,0.002,0.002,
19,0.001,0.001,0.002,0.001,
20,0.0,0.001,0.001,0.001,
21,0.0,0.001,0.002,0.001,
22,0.0,0.0,0.001,0.001,
23,0.0,0.001,0.0,0.001,
24,0.0,0.001,0.002,0.001,
25,0.0,0.001,0.001,0.001,
26,0.001,0.001,0.001,0.001,
27,0.001,0.0,0.001,0.001,
28,0.0,0.001,0.001,0.001,
29,0.0,0.001,0.001,0.0,
30,0.0,0.001,0.001,0.0,
31,0.0,0.001,0.001,0.0,
32,0.0,0.002,0.001,0.001,
33,0.0,0.001,0.001,0.0,
34,0.0,0.0,0.0,0.001,
35,0.0,0.0,0.0,0.0,
36,0.0,0.0,0.001,0.0,
37,0.0,0.001,0.001,0.001,
38,0.0,0.001,0.0,0.0,
39,0.001,0.001,0.001,0.001,
40,0.001,0.0,0.0,0.001,
41,0.001,0.001,0.001,0.0,
42,0.0,0.0,0.001,0.0,
43,0.0,0.001,0.001,0.001,
44,0.0,0.0,0.001,0.001,
45,0.0,0.001,0.001,0.001,
46,0.0,0.001,0.001,0.0,
47,0.0,0.001,0.001,0.0,
48,0.0,0.001,0.001,0.001,
49,0.0,0.0,0.001,0.001,
50,0.0,0.001,0.0,0.001,
51,0.0,0.001,0.0,0.0,
52,0.0,0.0,0.001,0.001,
53,0.0,0.0,0.001,0.001,
54,0.0,0.001,0.0,0.0,
55,0.0,0.0,0.001,0.001,
56,0.0,0.0,0.001,0.001,
57,0.0,0.001,0.001,0.001,
58,0.0,0.001,0.001,0.0,
59,0.0,0.0,0.001,0.001,
60,0.0,0.0,0.0,0.0,
61,0.0,0.0,0.0,0.0,
62,0.0,0.0,0.001,0.0,
63,0.0,0.001,0.0,0.0,
64,0.001,0.0,0.001,0.001,
65,0.0,0.001,0.001,0.0,
66,0.001,0.0,0.001,0.001,
67,0.001,0.001,0.001,0.0,
68,0.0,0.001,0.001,0.001,
69,0.0,0.001,0.0,0.0,
70,0.001,0.001,0.001,0.0,
71,0.001,0.0,0.001,0.001,
72,0.001,0.0,0.001,0.0,
73,0.0,0.001,0.001,0.0,
74,0.0,0.001,0.0,0.0,
75,0.0,0.0,0.0,0.0,
76,0.0,0.001,0.001,0.0,
77,0.0,0.0,0.001,0.001,
78,0.0,0.001,0.001,0.001,
79,0.0,0.001,0.001,0.0,
80,0.0,0.0,0.001,0.0,
81,0.0,0.0,0.001,0.0,
82,0.0,0.0,0.001,0.0,
83,0.0,0.001,0.001,0.001,
84,0.0,0.0,0.001,0.001,
85,0.0,0.0,0.001,0.0,
86,0.0,0.0,0.001,0.0,
87,0.0,0.0,0.001,0.0,
88,0.0,0.0,0.001,0.001,
89,0.0,0.0,0.001,0.0,
90,0.0,0.0,0.001,0.001,
91,0.0,0.001,0.001,0.001,
92,0.0,0.0,0.001,0.0,
93,0.0,0.0,0.0,0.001,
94,0.0,0.001,0.001,0.001,
95,0.0,0.0,0.001,0.0,
96,0.0,0.0,0.001,0.001,
97,0.0,0.0,0.0,0.0,
98,0.0,0.0,0.001,0.0,
99,0.0,0.0,0.001,0.0,"[0.0, 0.002, 0.001, 0.001, 0.0, 0.0, 0.0, 0.002, 0.001, 0.0]"
