epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.002,0.031,0.014,0.008,
1,0.001,0.003,0.003,0.003,
2,0.001,0.017,0.01,0.005,
3,0.0,0.004,0.006,0.004,
4,0.0,0.006,0.004,0.001,
5,0.001,0.009,0.008,0.003,
6,0.001,0.002,0.003,0.001,
7,0.001,0.002,0.002,0.002,
8,0.001,0.003,0.004,0.002,
9,0.0,0.004,0.008,0.004,
10,0.001,0.002,0.002,0.001,
11,0.0,0.009,0.011,0.006,
12,0.001,0.004,0.006,0.003,
13,0.001,0.01,0.014,0.007,
14,0.001,0.004,0.005,0.003,
15,0.001,0.011,0.012,0.008,
16,0.002,0.007,0.006,0.005,
17,0.001,0.003,0.003,0.002,
18,0.001,0.007,0.008,0.005,
19,0.001,0.004,0.005,0.003,
20,0.002,0.004,0.005,0.004,
21,0.001,0.002,0.002,0.0,
22,0.001,0.002,0.004,0.003,
23,0.002,0.004,0.004,0.003,
24,0.001,0.002,0.003,0.002,
25,0.001,0.002,0.003,0.002,
26,0.001,0.003,0.004,0.002,
27,0.001,0.001,0.001,0.001,
28,0.001,0.003,0.002,0.002,
29,0.0,0.001,0.002,0.001,
30,0.001,0.001,0.001,0.001,
31,0.0,0.003,0.003,0.001,
32,0.001,0.004,0.005,0.003,
33,0.001,0.002,0.002,0.002,
34,0.001,0.002,0.002,0.002,
35,0.001,0.003,0.005,0.002,
36,0.001,0.002,0.002,0.002,
37,0.0,0.002,0.002,0.002,
38,0.0,0.001,0.001,0.001,
39,0.0,0.001,0.001,0.0,
40,0.001,0.0,0.001,0.001,
41,0.001,0.003,0.003,0.002,
42,0.0,0.002,0.002,0.0,
43,0.001,0.002,0.002,0.001,
44,0.0,0.002,0.003,0.002,
45,0.001,0.002,0.002,0.001,
46,0.0,0.002,0.001,0.001,
47,0.001,0.002,0.001,0.0,
48,0.001,0.001,0.001,0.001,
49,0.001,0.001,0.001,0.001,
50,0.0,0.002,0.002,0.001,
51,0.0,0.002,0.002,0.001,
52,0.0,0.001,0.001,0.001,
53,0.0,0.003,0.004,0.003,
54,0.0,0.002,0.003,0.002,
55,0.0,0.002,0.002,0.001,
56,0.001,0.003,0.003,0.002,
57,0.001,0.002,0.003,0.001,
58,0.0,0.002,0.001,0.001,
59,0.001,0.001,0.002,0.001,
60,0.0,0.003,0.003,0.001,
61,0.0,0.001,0.001,0.001,
62,0.0,0.002,0.003,0.002,
63,0.0,0.001,0.001,0.001,
64,0.0,0.001,0.001,0.001,
65,0.0,0.001,0.001,0.001,
66,0.0,0.003,0.003,0.001,
67,0.0,0.001,0.002,0.001,
68,0.0,0.003,0.003,0.002,
69,0.0,0.001,0.001,0.001,
70,0.0,0.002,0.001,0.001,
71,0.0,0.002,0.001,0.001,
72,0.0,0.002,0.001,0.001,
73,0.0,0.001,0.001,0.001,
74,0.0,0.001,0.001,0.0,
75,0.001,0.001,0.001,0.001,
76,0.0,0.002,0.002,0.001,
77,0.001,0.001,0.001,0.001,
78,0.001,0.001,0.001,0.001,
79,0.001,0.002,0.001,0.001,
80,0.0,0.001,0.001,0.001,
81,0.001,0.001,0.001,0.001,
82,0.0,0.001,0.002,0.001,
83,0.0,0.002,0.002,0.002,
84,0.0,0.001,0.001,0.0,
85,0.0,0.001,0.001,0.0,
86,0.0,0.002,0.001,0.001,
87,0.0,0.001,0.001,0.001,
88,0.0,0.002,0.002,0.001,
89,0.0,0.002,0.001,0.001,
90,0.0,0.002,0.002,0.002,
91,0.0,0.001,0.001,0.001,
92,0.0,0.001,0.001,0.001,
93,0.0,0.001,0.0,0.001,
94,0.0,0.001,0.001,0.001,
95,0.0,0.001,0.001,0.001,
96,0.0,0.002,0.001,0.001,
97,0.0,0.002,0.002,0.001,
98,0.0,0.002,0.001,0.001,
99,0.0,0.001,0.001,0.001,"[0.001, 0.003, 0.0, 0.003, 0.0, 0.001, 0.002, 0.001, 0.0, 0.002]"
