epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.002,0.004,0.004,0.003,
1,0.0,0.003,0.003,0.002,
2,0.001,0.002,0.001,0.0,
3,0.001,0.001,0.001,0.001,
4,0.001,0.005,0.004,0.003,
5,0.001,0.001,0.001,0.0,
6,0.001,0.002,0.002,0.001,
7,0.001,0.002,0.001,0.001,
8,0.001,0.003,0.002,0.001,
9,0.001,0.003,0.002,0.002,
10,0.001,0.002,0.001,0.001,
11,0.001,0.002,0.001,0.001,
12,0.001,0.004,0.003,0.002,
13,0.001,0.002,0.001,0.001,
14,0.001,0.002,0.001,0.001,
15,0.001,0.005,0.003,0.002,
16,0.0,0.003,0.002,0.001,
17,0.001,0.003,0.001,0.001,
18,0.001,0.004,0.004,0.003,
19,0.001,0.006,0.004,0.004,
20,0.001,0.004,0.004,0.002,
21,0.001,0.001,0.001,0.001,
22,0.0,0.002,0.001,0.001,
23,0.001,0.005,0.004,0.002,
24,0.001,0.002,0.003,0.002,
25,0.001,0.003,0.003,0.002,
26,0.001,0.005,0.004,0.002,
27,0.001,0.001,0.001,0.001,
28,0.001,0.001,0.002,0.001,
29,0.001,0.003,0.003,0.002,
30,0.001,0.005,0.004,0.003,
31,0.0,0.003,0.002,0.002,
32,0.001,0.003,0.002,0.002,
33,0.001,0.004,0.002,0.002,
34,0.001,0.001,0.001,0.001,
35,0.001,0.002,0.002,0.001,
36,0.001,0.001,0.002,0.002,
37,0.0,0.002,0.002,0.001,
38,0.001,0.003,0.002,0.002,
39,0.001,0.001,0.0,0.001,
40,0.001,0.001,0.001,0.001,
41,0.001,0.005,0.004,0.003,
42,0.001,0.004,0.003,0.002,
43,0.0,0.003,0.003,0.002,
44,0.001,0.002,0.001,0.001,
45,0.0,0.001,0.001,0.001,
46,0.001,0.003,0.002,0.002,
47,0.0,0.003,0.003,0.002,
48,0.001,0.003,0.003,0.001,
49,0.001,0.003,0.002,0.001,
50,0.001,0.002,0.001,0.001,
51,0.001,0.007,0.005,0.003,
52,0.0,0.004,0.003,0.003,
53,0.001,0.001,0.001,0.001,
54,0.001,0.007,0.006,0.005,
55,0.001,0.001,0.001,0.002,
56,0.001,0.005,0.003,0.002,
57,0.001,0.002,0.002,0.001,
58,0.001,0.004,0.003,0.003,
59,0.001,0.008,0.004,0.003,
60,0.001,0.002,0.003,0.002,
61,0.001,0.002,0.002,0.001,
62,0.0,0.006,0.006,0.003,
63,0.001,0.003,0.001,0.001,
64,0.001,0.002,0.002,0.002,
65,0.001,0.002,0.002,0.002,
66,0.002,0.004,0.002,0.002,
67,0.001,0.004,0.004,0.003,
68,0.001,0.002,0.001,0.001,
69,0.001,0.001,0.001,0.0,
70,0.0,0.002,0.001,0.0,
71,0.001,0.003,0.002,0.002,
72,0.001,0.002,0.002,0.001,
73,0.001,0.003,0.003,0.002,
74,0.001,0.004,0.004,0.002,
75,0.001,0.001,0.001,0.001,
76,0.001,0.001,0.0,0.001,
77,0.001,0.001,0.001,0.001,
78,0.001,0.002,0.002,0.001,
79,0.001,0.002,0.002,0.001,
80,0.001,0.003,0.002,0.002,
81,0.001,0.003,0.001,0.002,
82,0.001,0.002,0.002,0.002,
83,0.002,0.001,0.001,0.001,
84,0.001,0.001,0.001,0.001,
85,0.001,0.002,0.002,0.003,
86,0.001,0.002,0.003,0.002,
87,0.0,0.001,0.001,0.001,
88,0.0,0.002,0.001,0.001,
89,0.001,0.001,0.001,0.0,
90,0.001,0.002,0.001,0.001,
91,0.001,0.002,0.001,0.001,
92,0.001,0.002,0.002,0.001,
93,0.001,0.001,0.001,0.001,
94,0.001,0.001,0.001,0.001,
95,0.001,0.001,0.001,0.001,
96,0.001,0.002,0.001,0.001,
97,0.001,0.001,0.001,0.001,
98,0.001,0.002,0.002,0.001,
99,0.001,0.001,0.001,0.001,"[0.002, 0.003, 0.0, 0.004, 0.0, 0.001, 0.004, 0.003, 0.0, 0.003]"
