epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.477,0.295,0.165,0.118,"[0.116, 0.271, 0.065, 0.311, 0.067, 0.196, 0.254, 0.141, 0.137, 0.095]"
01,0.270,0.316,0.168,0.108,"[0.102, 0.282, 0.044, 0.29, 0.054, 0.2, 0.336, 0.146, 0.13, 0.098]"
02,0.330,0.328,0.172,0.106,"[0.102, 0.286, 0.044, 0.337, 0.055, 0.206, 0.301, 0.155, 0.133, 0.101]"
03,0.308,0.334,0.169,0.105,"[0.105, 0.264, 0.044, 0.395, 0.055, 0.195, 0.241, 0.158, 0.134, 0.101]"
04,0.291,0.313,0.149,0.096,"[0.105, 0.243, 0.044, 0.274, 0.055, 0.16, 0.222, 0.154, 0.135, 0.101]"
05,0.300,0.301,0.151,0.096,"[0.103, 0.237, 0.044, 0.259, 0.055, 0.219, 0.216, 0.138, 0.135, 0.101]"
06,0.289,0.287,0.139,0.086,"[0.096, 0.225, 0.044, 0.251, 0.055, 0.167, 0.209, 0.111, 0.134, 0.101]"
07,0.259,0.307,0.157,0.095,"[0.088, 0.27, 0.044, 0.316, 0.055, 0.176, 0.211, 0.17, 0.134, 0.101]"
08,0.262,0.311,0.154,0.094,"[0.09, 0.263, 0.044, 0.302, 0.055, 0.19, 0.21, 0.15, 0.133, 0.101]"
09,0.247,0.283,0.142,0.089,"[0.143, 0.22, 0.044, 0.247, 0.055, 0.168, 0.204, 0.112, 0.129, 0.101]"
10,0.234,0.271,0.137,0.087,"[0.13, 0.207, 0.044, 0.245, 0.055, 0.146, 0.206, 0.108, 0.131, 0.1]"
11,0.237,0.271,0.138,0.088,"[0.079, 0.206, 0.044, 0.242, 0.055, 0.161, 0.215, 0.119, 0.162, 0.094]"
12,0.231,0.274,0.137,0.086,"[0.079, 0.229, 0.044, 0.251, 0.055, 0.151, 0.202, 0.12, 0.161, 0.081]"
13,0.222,0.282,0.139,0.085,"[0.085, 0.253, 0.044, 0.268, 0.055, 0.149, 0.203, 0.111, 0.131, 0.095]"
14,0.230,0.272,0.135,0.081,"[0.08, 0.233, 0.044, 0.259, 0.055, 0.151, 0.203, 0.106, 0.126, 0.093]"
15,0.216,0.263,0.130,0.077,"[0.072, 0.201, 0.044, 0.248, 0.055, 0.145, 0.199, 0.126, 0.127, 0.08]"
16,0.220,0.264,0.132,0.078,"[0.071, 0.209, 0.044, 0.245, 0.055, 0.145, 0.209, 0.124, 0.129, 0.089]"
17,0.209,0.261,0.129,0.077,"[0.072, 0.2, 0.044, 0.245, 0.055, 0.15, 0.197, 0.108, 0.13, 0.093]"
18,0.211,0.263,0.131,0.078,"[0.076, 0.212, 0.044, 0.243, 0.055, 0.151, 0.203, 0.105, 0.128, 0.093]"
19,0.206,0.261,0.131,0.078,"[0.077, 0.217, 0.044, 0.246, 0.055, 0.148, 0.2, 0.105, 0.127, 0.091]"
20,0.208,0.257,0.128,0.077,"[0.073, 0.205, 0.044, 0.243, 0.055, 0.146, 0.195, 0.103, 0.128, 0.088]"
21,0.199,0.255,0.127,0.078,"[0.069, 0.201, 0.044, 0.242, 0.055, 0.143, 0.199, 0.102, 0.131, 0.084]"
22,0.203,0.252,0.127,0.078,"[0.072, 0.2, 0.044, 0.241, 0.055, 0.143, 0.197, 0.102, 0.131, 0.081]"
23,0.199,0.250,0.126,0.077,"[0.072, 0.201, 0.044, 0.24, 0.055, 0.145, 0.195, 0.103, 0.128, 0.079]"
24,0.196,0.249,0.126,0.077,"[0.067, 0.205, 0.044, 0.239, 0.055, 0.147, 0.196, 0.103, 0.126, 0.079]"
25,0.200,0.248,0.127,0.077,"[0.067, 0.204, 0.044, 0.241, 0.055, 0.149, 0.196, 0.104, 0.126, 0.079]"
26,0.194,0.247,0.126,0.076,"[0.072, 0.199, 0.044, 0.241, 0.055, 0.145, 0.197, 0.102, 0.125, 0.083]"
27,0.193,0.245,0.126,0.076,"[0.072, 0.198, 0.044, 0.239, 0.055, 0.143, 0.193, 0.101, 0.125, 0.085]"
28,0.195,0.244,0.126,0.076,"[0.069, 0.199, 0.044, 0.24, 0.055, 0.143, 0.194, 0.102, 0.125, 0.087]"
29,0.191,0.243,0.126,0.076,"[0.067, 0.202, 0.044, 0.239, 0.055, 0.143, 0.196, 0.101, 0.126, 0.085]"
30,0.193,0.242,0.126,0.076,"[0.066, 0.202, 0.044, 0.239, 0.055, 0.146, 0.194, 0.101, 0.128, 0.083]"
31,0.189,0.241,0.126,0.077,"[0.068, 0.2, 0.044, 0.238, 0.055, 0.147, 0.197, 0.101, 0.129, 0.083]"
32,0.185,0.239,0.125,0.076,"[0.069, 0.199, 0.044, 0.238, 0.055, 0.143, 0.194, 0.1, 0.127, 0.083]"
33,0.186,0.238,0.125,0.075,"[0.067, 0.199, 0.044, 0.239, 0.055, 0.142, 0.194, 0.1, 0.126, 0.082]"
34,0.183,0.239,0.126,0.075,"[0.065, 0.206, 0.044, 0.242, 0.054, 0.143, 0.194, 0.101, 0.126, 0.081]"
35,0.183,0.238,0.126,0.075,"[0.065, 0.204, 0.044, 0.239, 0.054, 0.144, 0.196, 0.101, 0.126, 0.082]"
36,0.183,0.236,0.125,0.075,"[0.067, 0.198, 0.045, 0.239, 0.054, 0.145, 0.192, 0.101, 0.125, 0.083]"
37,0.183,0.235,0.125,0.076,"[0.068, 0.197, 0.046, 0.238, 0.053, 0.144, 0.194, 0.1, 0.125, 0.085]"
38,0.183,0.234,0.125,0.076,"[0.069, 0.196, 0.048, 0.238, 0.053, 0.143, 0.192, 0.1, 0.125, 0.085]"
39,0.183,0.236,0.126,0.077,"[0.068, 0.202, 0.05, 0.238, 0.054, 0.143, 0.195, 0.1, 0.127, 0.084]"
40,0.176,0.237,0.127,0.078,"[0.069, 0.207, 0.053, 0.241, 0.054, 0.142, 0.193, 0.1, 0.13, 0.083]"
41,0.182,0.237,0.127,0.077,"[0.071, 0.203, 0.054, 0.243, 0.055, 0.142, 0.193, 0.1, 0.128, 0.083]"
42,0.182,0.235,0.126,0.077,"[0.072, 0.197, 0.054, 0.238, 0.055, 0.142, 0.192, 0.1, 0.126, 0.084]"
43,0.180,0.234,0.125,0.076,"[0.071, 0.196, 0.052, 0.239, 0.055, 0.142, 0.191, 0.1, 0.125, 0.084]"
44,0.180,0.235,0.125,0.076,"[0.068, 0.198, 0.05, 0.239, 0.054, 0.143, 0.192, 0.1, 0.126, 0.083]"
45,0.179,0.237,0.127,0.076,"[0.068, 0.209, 0.048, 0.244, 0.053, 0.142, 0.191, 0.1, 0.127, 0.083]"
46,0.179,0.236,0.126,0.076,"[0.068, 0.204, 0.047, 0.246, 0.053, 0.141, 0.193, 0.099, 0.126, 0.084]"
47,0.184,0.234,0.124,0.075,"[0.068, 0.197, 0.046, 0.239, 0.053, 0.141, 0.191, 0.099, 0.126, 0.084]"
48,0.178,0.235,0.125,0.076,"[0.067, 0.196, 0.045, 0.243, 0.053, 0.142, 0.192, 0.099, 0.128, 0.083]"
49,0.187,0.236,0.126,0.076,"[0.066, 0.198, 0.045, 0.243, 0.053, 0.145, 0.198, 0.1, 0.128, 0.083]"
50,0.181,0.234,0.125,0.075,"[0.067, 0.201, 0.045, 0.239, 0.053, 0.143, 0.19, 0.099, 0.128, 0.084]"
51,0.180,0.236,0.126,0.076,"[0.067, 0.201, 0.045, 0.245, 0.053, 0.142, 0.193, 0.099, 0.127, 0.084]"
52,0.176,0.235,0.125,0.075,"[0.067, 0.199, 0.044, 0.243, 0.053, 0.14, 0.192, 0.099, 0.125, 0.084]"
53,0.175,0.234,0.124,0.075,"[0.067, 0.197, 0.044, 0.238, 0.053, 0.141, 0.19, 0.099, 0.125, 0.084]"
54,0.180,0.235,0.125,0.075,"[0.066, 0.196, 0.045, 0.24, 0.053, 0.141, 0.196, 0.099, 0.126, 0.083]"
55,0.177,0.234,0.124,0.074,"[0.066, 0.199, 0.045, 0.238, 0.053, 0.141, 0.19, 0.099, 0.126, 0.082]"
56,0.179,0.237,0.126,0.076,"[0.067, 0.201, 0.045, 0.248, 0.053, 0.141, 0.197, 0.099, 0.126, 0.083]"
57,0.180,0.235,0.125,0.075,"[0.068, 0.2, 0.045, 0.244, 0.053, 0.141, 0.193, 0.099, 0.126, 0.083]"
58,0.178,0.234,0.124,0.075,"[0.066, 0.198, 0.045, 0.238, 0.053, 0.141, 0.191, 0.1, 0.128, 0.084]"
59,0.175,0.235,0.125,0.076,"[0.066, 0.199, 0.045, 0.241, 0.053, 0.142, 0.194, 0.099, 0.13, 0.085]"
60,0.182,0.234,0.125,0.075,"[0.066, 0.202, 0.045, 0.238, 0.053, 0.141, 0.19, 0.1, 0.13, 0.085]"
