epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.447,0.293,0.161,0.115,"[0.109, 0.241, 0.051, 0.31, 0.068, 0.191, 0.274, 0.133, 0.134, 0.103]"
01,0.282,0.301,0.149,0.095,"[0.102, 0.231, 0.044, 0.294, 0.054, 0.172, 0.218, 0.141, 0.132, 0.098]"
02,0.290,0.314,0.152,0.092,"[0.106, 0.204, 0.044, 0.349, 0.055, 0.17, 0.2, 0.155, 0.134, 0.101]"
03,0.260,0.330,0.140,0.084,"[0.106, 0.195, 0.044, 0.271, 0.055, 0.153, 0.19, 0.148, 0.135, 0.101]"
04,0.246,0.286,0.135,0.079,"[0.104, 0.189, 0.044, 0.244, 0.055, 0.184, 0.179, 0.112, 0.135, 0.101]"
05,0.227,0.282,0.137,0.077,"[0.095, 0.209, 0.044, 0.288, 0.055, 0.144, 0.18, 0.123, 0.134, 0.1]"
06,0.219,0.280,0.140,0.079,"[0.084, 0.201, 0.044, 0.294, 0.055, 0.164, 0.182, 0.144, 0.134, 0.1]"
07,0.201,0.274,0.132,0.075,"[0.081, 0.184, 0.044, 0.253, 0.055, 0.156, 0.191, 0.122, 0.133, 0.098]"
08,0.191,0.261,0.127,0.073,"[0.11, 0.16, 0.044, 0.235, 0.055, 0.138, 0.197, 0.101, 0.132, 0.096]"
09,0.185,0.259,0.126,0.073,"[0.102, 0.162, 0.044, 0.231, 0.055, 0.164, 0.178, 0.104, 0.13, 0.094]"
10,0.183,0.255,0.123,0.070,"[0.076, 0.17, 0.044, 0.24, 0.055, 0.143, 0.172, 0.105, 0.127, 0.093]"
11,0.177,0.258,0.121,0.070,"[0.08, 0.17, 0.044, 0.243, 0.055, 0.133, 0.176, 0.096, 0.124, 0.094]"
12,0.174,0.256,0.121,0.070,"[0.08, 0.164, 0.044, 0.225, 0.055, 0.142, 0.176, 0.101, 0.121, 0.105]"
13,0.170,0.251,0.122,0.070,"[0.079, 0.168, 0.044, 0.231, 0.055, 0.142, 0.174, 0.101, 0.118, 0.104]"
14,0.171,0.246,0.120,0.070,"[0.078, 0.168, 0.044, 0.23, 0.055, 0.14, 0.172, 0.098, 0.117, 0.095]"
15,0.161,0.244,0.121,0.072,"[0.075, 0.166, 0.044, 0.225, 0.055, 0.161, 0.18, 0.096, 0.116, 0.092]"
16,0.166,0.242,0.121,0.072,"[0.082, 0.164, 0.044, 0.228, 0.055, 0.164, 0.174, 0.095, 0.115, 0.092]"
17,0.158,0.243,0.121,0.071,"[0.09, 0.177, 0.044, 0.226, 0.055, 0.142, 0.173, 0.096, 0.115, 0.092]"
18,0.161,0.242,0.120,0.069,"[0.074, 0.174, 0.044, 0.224, 0.055, 0.133, 0.193, 0.096, 0.114, 0.091]"
19,0.159,0.237,0.117,0.066,"[0.071, 0.166, 0.044, 0.223, 0.055, 0.13, 0.177, 0.095, 0.114, 0.089]"
20,0.160,0.238,0.117,0.066,"[0.073, 0.16, 0.044, 0.22, 0.055, 0.136, 0.173, 0.104, 0.113, 0.089]"
21,0.154,0.240,0.118,0.067,"[0.073, 0.161, 0.044, 0.221, 0.055, 0.14, 0.175, 0.108, 0.112, 0.09]"
22,0.155,0.239,0.118,0.067,"[0.072, 0.175, 0.044, 0.233, 0.055, 0.131, 0.172, 0.1, 0.11, 0.09]"
23,0.155,0.236,0.117,0.066,"[0.071, 0.166, 0.044, 0.227, 0.055, 0.131, 0.179, 0.094, 0.11, 0.089]"
24,0.154,0.234,0.115,0.065,"[0.069, 0.16, 0.044, 0.222, 0.055, 0.131, 0.18, 0.094, 0.109, 0.09]"
25,0.154,0.233,0.114,0.065,"[0.07, 0.161, 0.044, 0.221, 0.055, 0.131, 0.168, 0.092, 0.109, 0.09]"
26,0.151,0.233,0.115,0.066,"[0.071, 0.161, 0.044, 0.221, 0.055, 0.133, 0.169, 0.094, 0.11, 0.09]"
27,0.151,0.232,0.115,0.066,"[0.071, 0.159, 0.044, 0.222, 0.055, 0.132, 0.17, 0.095, 0.11, 0.09]"
28,0.152,0.231,0.115,0.066,"[0.072, 0.159, 0.044, 0.225, 0.055, 0.13, 0.172, 0.094, 0.11, 0.09]"
29,0.149,0.233,0.116,0.067,"[0.072, 0.158, 0.044, 0.229, 0.055, 0.132, 0.18, 0.094, 0.11, 0.09]"
30,0.155,0.233,0.116,0.066,"[0.072, 0.16, 0.044, 0.228, 0.055, 0.132, 0.176, 0.093, 0.11, 0.09]"
31,0.152,0.232,0.115,0.066,"[0.072, 0.158, 0.044, 0.227, 0.055, 0.134, 0.171, 0.092, 0.11, 0.09]"
32,0.149,0.231,0.115,0.066,"[0.072, 0.159, 0.043, 0.225, 0.055, 0.133, 0.172, 0.091, 0.11, 0.09]"
33,0.150,0.230,0.115,0.066,"[0.071, 0.167, 0.043, 0.225, 0.055, 0.132, 0.171, 0.091, 0.11, 0.09]"
34,0.150,0.232,0.116,0.066,"[0.07, 0.168, 0.043, 0.223, 0.055, 0.132, 0.171, 0.091, 0.11, 0.091]"
35,0.149,0.232,0.115,0.066,"[0.07, 0.158, 0.043, 0.224, 0.055, 0.133, 0.177, 0.092, 0.11, 0.09]"
36,0.150,0.230,0.115,0.065,"[0.07, 0.158, 0.043, 0.221, 0.055, 0.132, 0.172, 0.094, 0.11, 0.09]"
37,0.152,0.230,0.115,0.065,"[0.071, 0.158, 0.043, 0.222, 0.055, 0.135, 0.171, 0.093, 0.11, 0.09]"
38,0.150,0.233,0.116,0.066,"[0.07, 0.158, 0.043, 0.229, 0.055, 0.138, 0.179, 0.09, 0.11, 0.09]"
39,0.152,0.234,0.117,0.067,"[0.069, 0.161, 0.043, 0.231, 0.055, 0.135, 0.186, 0.091, 0.11, 0.09]"
40,0.146,0.230,0.116,0.065,"[0.07, 0.163, 0.043, 0.226, 0.055, 0.13, 0.179, 0.091, 0.11, 0.09]"
41,0.150,0.230,0.115,0.065,"[0.07, 0.161, 0.043, 0.223, 0.055, 0.129, 0.176, 0.091, 0.111, 0.089]"
42,0.150,0.231,0.115,0.065,"[0.069, 0.16, 0.043, 0.223, 0.055, 0.13, 0.173, 0.092, 0.111, 0.089]"
