epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.377,0.301,0.149,0.095,"[0.105, 0.228, 0.044, 0.257, 0.055, 0.195, 0.219, 0.149, 0.134, 0.101]"
01,0.302,0.275,0.142,0.093,"[0.141, 0.208, 0.044, 0.252, 0.055, 0.156, 0.196, 0.119, 0.16, 0.087]"
02,0.261,0.262,0.131,0.077,"[0.07, 0.195, 0.044, 0.24, 0.055, 0.156, 0.195, 0.13, 0.127, 0.095]"
03,0.245,0.252,0.126,0.079,"[0.066, 0.192, 0.044, 0.235, 0.055, 0.156, 0.187, 0.107, 0.127, 0.09]"
04,0.236,0.239,0.122,0.074,"[0.072, 0.186, 0.044, 0.234, 0.055, 0.14, 0.185, 0.103, 0.119, 0.083]"
05,0.224,0.234,0.121,0.075,"[0.064, 0.191, 0.044, 0.233, 0.051, 0.142, 0.183, 0.102, 0.118, 0.078]"
06,0.221,0.232,0.120,0.075,"[0.067, 0.184, 0.044, 0.23, 0.052, 0.137, 0.183, 0.106, 0.122, 0.079]"
07,0.218,0.232,0.120,0.073,"[0.061, 0.196, 0.043, 0.233, 0.051, 0.138, 0.184, 0.101, 0.121, 0.075]"
08,0.219,0.234,0.123,0.077,"[0.063, 0.211, 0.045, 0.235, 0.05, 0.142, 0.182, 0.102, 0.124, 0.079]"
09,0.217,0.231,0.119,0.074,"[0.063, 0.193, 0.043, 0.23, 0.05, 0.137, 0.181, 0.099, 0.118, 0.078]"
10,0.217,0.229,0.119,0.073,"[0.061, 0.191, 0.043, 0.232, 0.049, 0.14, 0.182, 0.098, 0.116, 0.075]"
11,0.218,0.231,0.121,0.075,"[0.064, 0.189, 0.042, 0.235, 0.049, 0.137, 0.2, 0.098, 0.117, 0.075]"
12,0.219,0.229,0.120,0.073,"[0.063, 0.178, 0.042, 0.23, 0.049, 0.142, 0.202, 0.098, 0.116, 0.078]"
13,0.216,0.227,0.117,0.071,"[0.062, 0.176, 0.042, 0.227, 0.049, 0.136, 0.187, 0.098, 0.115, 0.077]"
14,0.211,0.225,0.116,0.072,"[0.062, 0.177, 0.041, 0.227, 0.049, 0.137, 0.182, 0.097, 0.116, 0.076]"
15,0.210,0.224,0.115,0.070,"[0.061, 0.172, 0.041, 0.225, 0.048, 0.135, 0.18, 0.097, 0.114, 0.074]"
16,0.212,0.233,0.121,0.074,"[0.064, 0.191, 0.041, 0.251, 0.048, 0.14, 0.183, 0.099, 0.114, 0.076]"
17,0.215,0.230,0.119,0.072,"[0.065, 0.184, 0.04, 0.248, 0.048, 0.142, 0.178, 0.098, 0.114, 0.073]"
18,0.214,0.226,0.116,0.071,"[0.063, 0.185, 0.039, 0.226, 0.048, 0.133, 0.176, 0.096, 0.115, 0.073]"
19,0.209,0.223,0.114,0.069,"[0.06, 0.172, 0.04, 0.224, 0.048, 0.132, 0.176, 0.096, 0.113, 0.074]"
20,0.210,0.224,0.114,0.070,"[0.06, 0.175, 0.038, 0.225, 0.048, 0.131, 0.175, 0.096, 0.115, 0.074]"
21,0.211,0.232,0.120,0.073,"[0.06, 0.218, 0.038, 0.243, 0.047, 0.132, 0.177, 0.097, 0.115, 0.075]"
22,0.211,0.224,0.114,0.069,"[0.059, 0.168, 0.038, 0.225, 0.047, 0.135, 0.179, 0.099, 0.114, 0.074]"
23,0.209,0.223,0.114,0.069,"[0.06, 0.172, 0.038, 0.224, 0.047, 0.132, 0.177, 0.1, 0.115, 0.074]"
24,0.210,0.226,0.115,0.070,"[0.059, 0.187, 0.037, 0.226, 0.047, 0.132, 0.178, 0.097, 0.114, 0.074]"
25,0.209,0.225,0.115,0.070,"[0.059, 0.167, 0.037, 0.235, 0.048, 0.131, 0.186, 0.096, 0.113, 0.075]"
26,0.210,0.225,0.114,0.070,"[0.06, 0.169, 0.037, 0.238, 0.048, 0.13, 0.179, 0.095, 0.113, 0.075]"
27,0.210,0.222,0.113,0.069,"[0.06, 0.167, 0.036, 0.223, 0.047, 0.13, 0.174, 0.095, 0.114, 0.077]"
28,0.208,0.222,0.113,0.068,"[0.059, 0.168, 0.037, 0.223, 0.047, 0.13, 0.175, 0.096, 0.113, 0.078]"
29,0.208,0.223,0.113,0.070,"[0.06, 0.168, 0.037, 0.223, 0.047, 0.131, 0.177, 0.099, 0.116, 0.075]"
30,0.209,0.230,0.117,0.072,"[0.059, 0.164, 0.036, 0.249, 0.048, 0.146, 0.184, 0.096, 0.114, 0.075]"
31,0.211,0.224,0.114,0.069,"[0.059, 0.177, 0.037, 0.224, 0.047, 0.139, 0.175, 0.1, 0.113, 0.074]"
32,0.210,0.223,0.113,0.068,"[0.06, 0.171, 0.036, 0.224, 0.047, 0.135, 0.176, 0.095, 0.113, 0.074]"
33,0.208,0.222,0.113,0.069,"[0.06, 0.17, 0.036, 0.223, 0.047, 0.13, 0.178, 0.096, 0.113, 0.076]"
34,0.207,0.222,0.111,0.067,"[0.059, 0.165, 0.035, 0.222, 0.047, 0.128, 0.174, 0.095, 0.112, 0.074]"
35,0.205,0.223,0.113,0.068,"[0.059, 0.167, 0.035, 0.222, 0.046, 0.136, 0.175, 0.098, 0.114, 0.074]"
36,0.207,0.223,0.113,0.068,"[0.06, 0.166, 0.035, 0.223, 0.046, 0.137, 0.177, 0.095, 0.112, 0.077]"
37,0.206,0.223,0.112,0.068,"[0.059, 0.172, 0.035, 0.225, 0.046, 0.13, 0.174, 0.095, 0.112, 0.073]"
38,0.207,0.224,0.113,0.069,"[0.061, 0.171, 0.035, 0.225, 0.047, 0.13, 0.176, 0.095, 0.114, 0.075]"
39,0.206,0.222,0.112,0.068,"[0.059, 0.163, 0.035, 0.223, 0.047, 0.13, 0.177, 0.097, 0.113, 0.074]"
40,0.204,0.222,0.112,0.068,"[0.06, 0.166, 0.035, 0.225, 0.047, 0.128, 0.175, 0.094, 0.112, 0.074]"
41,0.206,0.222,0.112,0.068,"[0.059, 0.17, 0.035, 0.223, 0.047, 0.129, 0.175, 0.094, 0.113, 0.074]"
42,0.206,0.223,0.112,0.069,"[0.06, 0.166, 0.035, 0.22, 0.046, 0.129, 0.182, 0.099, 0.112, 0.074]"
43,0.206,0.223,0.112,0.067,"[0.059, 0.169, 0.034, 0.223, 0.046, 0.128, 0.174, 0.097, 0.112, 0.076]"
44,0.208,0.226,0.115,0.070,"[0.06, 0.17, 0.035, 0.237, 0.047, 0.134, 0.176, 0.102, 0.113, 0.074]"
45,0.205,0.222,0.112,0.068,"[0.059, 0.161, 0.034, 0.224, 0.047, 0.132, 0.176, 0.095, 0.113, 0.074]"
46,0.205,0.221,0.111,0.068,"[0.059, 0.162, 0.035, 0.224, 0.047, 0.128, 0.175, 0.095, 0.112, 0.075]"
47,0.204,0.222,0.112,0.067,"[0.058, 0.161, 0.034, 0.227, 0.047, 0.13, 0.178, 0.094, 0.112, 0.076]"
48,0.205,0.225,0.113,0.069,"[0.058, 0.178, 0.034, 0.223, 0.047, 0.13, 0.18, 0.094, 0.114, 0.074]"
49,0.204,0.225,0.114,0.069,"[0.06, 0.166, 0.034, 0.227, 0.047, 0.13, 0.19, 0.095, 0.112, 0.076]"
50,0.204,0.224,0.114,0.068,"[0.059, 0.174, 0.035, 0.226, 0.046, 0.13, 0.181, 0.099, 0.113, 0.073]"
51,0.203,0.221,0.111,0.067,"[0.059, 0.166, 0.034, 0.221, 0.046, 0.129, 0.174, 0.095, 0.112, 0.073]"
52,0.206,0.221,0.111,0.067,"[0.058, 0.168, 0.034, 0.222, 0.046, 0.128, 0.173, 0.094, 0.112, 0.076]"
53,0.204,0.221,0.112,0.068,"[0.06, 0.164, 0.035, 0.22, 0.047, 0.13, 0.182, 0.094, 0.112, 0.074]"
54,0.203,0.224,0.114,0.068,"[0.059, 0.174, 0.036, 0.237, 0.047, 0.128, 0.177, 0.093, 0.112, 0.077]"
55,0.205,0.221,0.111,0.067,"[0.059, 0.166, 0.033, 0.223, 0.046, 0.128, 0.173, 0.093, 0.111, 0.075]"
56,0.204,0.222,0.112,0.068,"[0.06, 0.165, 0.034, 0.219, 0.047, 0.129, 0.181, 0.093, 0.112, 0.075]"
57,0.204,0.222,0.112,0.068,"[0.061, 0.166, 0.035, 0.219, 0.046, 0.129, 0.179, 0.095, 0.112, 0.075]"
58,0.203,0.221,0.111,0.067,"[0.058, 0.163, 0.034, 0.22, 0.046, 0.133, 0.177, 0.093, 0.112, 0.075]"
59,0.202,0.221,0.111,0.067,"[0.059, 0.162, 0.033, 0.222, 0.047, 0.132, 0.174, 0.093, 0.112, 0.075]"
60,0.203,0.221,0.111,0.067,"[0.058, 0.163, 0.033, 0.224, 0.046, 0.129, 0.173, 0.093, 0.111, 0.075]"
61,0.202,0.222,0.111,0.067,"[0.06, 0.164, 0.034, 0.221, 0.046, 0.132, 0.173, 0.095, 0.112, 0.074]"
62,0.202,0.222,0.111,0.067,"[0.06, 0.167, 0.034, 0.22, 0.046, 0.129, 0.175, 0.093, 0.111, 0.075]"
63,0.205,0.222,0.111,0.067,"[0.059, 0.168, 0.033, 0.225, 0.046, 0.128, 0.173, 0.093, 0.112, 0.076]"
64,0.202,0.225,0.113,0.068,"[0.059, 0.164, 0.033, 0.24, 0.046, 0.128, 0.179, 0.092, 0.111, 0.074]"
65,0.204,0.226,0.114,0.069,"[0.058, 0.159, 0.033, 0.236, 0.046, 0.129, 0.2, 0.095, 0.112, 0.073]"
66,0.203,0.222,0.112,0.067,"[0.058, 0.172, 0.032, 0.222, 0.046, 0.132, 0.175, 0.093, 0.112, 0.073]"
67,0.204,0.224,0.113,0.068,"[0.059, 0.162, 0.033, 0.228, 0.046, 0.13, 0.189, 0.1, 0.113, 0.075]"
68,0.203,0.226,0.113,0.068,"[0.058, 0.169, 0.032, 0.226, 0.046, 0.129, 0.188, 0.094, 0.113, 0.075]"
69,0.207,0.226,0.115,0.069,"[0.06, 0.187, 0.032, 0.223, 0.046, 0.129, 0.184, 0.093, 0.117, 0.074]"
70,0.204,0.223,0.112,0.067,"[0.06, 0.17, 0.032, 0.223, 0.046, 0.128, 0.182, 0.094, 0.112, 0.074]"
71,0.201,0.224,0.112,0.068,"[0.061, 0.16, 0.034, 0.227, 0.046, 0.136, 0.181, 0.093, 0.114, 0.073]"
72,0.203,0.222,0.111,0.066,"[0.058, 0.161, 0.033, 0.221, 0.046, 0.131, 0.184, 0.093, 0.111, 0.074]"
73,0.205,0.223,0.111,0.066,"[0.058, 0.163, 0.032, 0.219, 0.046, 0.134, 0.179, 0.094, 0.112, 0.073]"
74,0.200,0.223,0.112,0.067,"[0.059, 0.165, 0.033, 0.222, 0.046, 0.13, 0.183, 0.094, 0.112, 0.077]"
75,0.201,0.225,0.113,0.067,"[0.059, 0.175, 0.033, 0.223, 0.046, 0.129, 0.179, 0.094, 0.113, 0.076]"
76,0.203,0.226,0.115,0.070,"[0.061, 0.184, 0.033, 0.225, 0.046, 0.142, 0.174, 0.102, 0.112, 0.074]"
77,0.202,0.222,0.111,0.067,"[0.059, 0.165, 0.031, 0.222, 0.046, 0.134, 0.174, 0.093, 0.112, 0.077]"
78,0.201,0.220,0.110,0.066,"[0.059, 0.16, 0.033, 0.22, 0.046, 0.127, 0.172, 0.093, 0.112, 0.073]"
79,0.199,0.220,0.109,0.066,"[0.059, 0.16, 0.032, 0.219, 0.046, 0.128, 0.173, 0.093, 0.111, 0.074]"
80,0.200,0.221,0.111,0.066,"[0.059, 0.169, 0.032, 0.223, 0.045, 0.128, 0.173, 0.093, 0.111, 0.073]"
81,0.199,0.221,0.110,0.066,"[0.058, 0.165, 0.032, 0.224, 0.045, 0.126, 0.173, 0.093, 0.111, 0.073]"
82,0.201,0.227,0.114,0.069,"[0.06, 0.17, 0.033, 0.241, 0.046, 0.127, 0.185, 0.092, 0.112, 0.075]"
83,0.204,0.221,0.110,0.066,"[0.058, 0.162, 0.031, 0.22, 0.046, 0.133, 0.179, 0.093, 0.111, 0.073]"
84,0.201,0.221,0.110,0.066,"[0.059, 0.163, 0.031, 0.22, 0.046, 0.128, 0.174, 0.094, 0.112, 0.073]"
85,0.201,0.222,0.111,0.067,"[0.058, 0.161, 0.032, 0.224, 0.046, 0.131, 0.177, 0.094, 0.111, 0.074]"
86,0.201,0.221,0.111,0.067,"[0.058, 0.168, 0.031, 0.222, 0.046, 0.128, 0.175, 0.093, 0.112, 0.075]"
87,0.200,0.222,0.111,0.066,"[0.058, 0.17, 0.03, 0.225, 0.045, 0.127, 0.174, 0.092, 0.113, 0.074]"
88,0.201,0.221,0.111,0.067,"[0.061, 0.162, 0.033, 0.219, 0.046, 0.128, 0.173, 0.095, 0.116, 0.074]"
89,0.200,0.222,0.111,0.067,"[0.06, 0.163, 0.032, 0.221, 0.046, 0.129, 0.183, 0.092, 0.111, 0.074]"
90,0.201,0.224,0.114,0.068,"[0.059, 0.166, 0.031, 0.226, 0.046, 0.128, 0.187, 0.106, 0.112, 0.076]"
91,0.201,0.221,0.109,0.066,"[0.058, 0.161, 0.032, 0.22, 0.045, 0.127, 0.174, 0.092, 0.111, 0.073]"
92,0.204,0.225,0.113,0.068,"[0.058, 0.17, 0.033, 0.23, 0.046, 0.133, 0.175, 0.095, 0.113, 0.074]"
93,0.201,0.224,0.112,0.067,"[0.058, 0.17, 0.032, 0.23, 0.045, 0.131, 0.179, 0.093, 0.111, 0.074]"
94,0.201,0.224,0.112,0.067,"[0.06, 0.171, 0.032, 0.22, 0.045, 0.13, 0.177, 0.093, 0.111, 0.075]"
95,0.202,0.223,0.111,0.067,"[0.059, 0.166, 0.033, 0.22, 0.046, 0.127, 0.184, 0.092, 0.111, 0.074]"
96,0.200,0.221,0.111,0.067,"[0.061, 0.161, 0.032, 0.219, 0.046, 0.132, 0.18, 0.093, 0.112, 0.076]"
97,0.200,0.221,0.110,0.066,"[0.058, 0.164, 0.032, 0.222, 0.045, 0.127, 0.174, 0.092, 0.111, 0.074]"
98,0.200,0.224,0.112,0.067,"[0.058, 0.177, 0.031, 0.224, 0.046, 0.128, 0.18, 0.092, 0.112, 0.075]"
99,0.200,0.223,0.111,0.067,"[0.058, 0.165, 0.033, 0.221, 0.046, 0.128, 0.184, 0.095, 0.111, 0.074]"
