epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.380,0.325,0.156,0.098,"[0.105, 0.207, 0.044, 0.262, 0.055, 0.323, 0.198, 0.132, 0.135, 0.101]"
01,0.292,0.285,0.139,0.088,"[0.081, 0.254, 0.044, 0.235, 0.055, 0.152, 0.173, 0.128, 0.17, 0.101]"
02,0.251,0.251,0.122,0.070,"[0.076, 0.188, 0.044, 0.221, 0.055, 0.136, 0.19, 0.101, 0.116, 0.088]"
03,0.234,0.241,0.117,0.070,"[0.061, 0.16, 0.044, 0.214, 0.051, 0.135, 0.179, 0.131, 0.107, 0.085]"
04,0.225,0.231,0.112,0.068,"[0.06, 0.158, 0.044, 0.206, 0.05, 0.135, 0.177, 0.099, 0.106, 0.085]"
05,0.214,0.228,0.110,0.067,"[0.061, 0.158, 0.044, 0.204, 0.051, 0.134, 0.172, 0.093, 0.106, 0.082]"
06,0.209,0.228,0.113,0.070,"[0.061, 0.158, 0.044, 0.203, 0.048, 0.143, 0.175, 0.098, 0.115, 0.082]"
07,0.208,0.230,0.115,0.068,"[0.061, 0.181, 0.044, 0.204, 0.048, 0.138, 0.185, 0.101, 0.11, 0.079]"
08,0.206,0.224,0.113,0.068,"[0.059, 0.178, 0.043, 0.207, 0.046, 0.135, 0.173, 0.1, 0.107, 0.078]"
09,0.200,0.222,0.109,0.067,"[0.06, 0.155, 0.035, 0.201, 0.045, 0.139, 0.172, 0.101, 0.104, 0.078]"
10,0.199,0.220,0.108,0.065,"[0.059, 0.158, 0.036, 0.201, 0.045, 0.135, 0.168, 0.093, 0.108, 0.076]"
11,0.200,0.221,0.109,0.067,"[0.06, 0.152, 0.038, 0.202, 0.045, 0.13, 0.181, 0.093, 0.109, 0.078]"
12,0.200,0.223,0.110,0.066,"[0.061, 0.177, 0.037, 0.202, 0.045, 0.135, 0.168, 0.093, 0.104, 0.079]"
13,0.202,0.222,0.108,0.064,"[0.057, 0.153, 0.036, 0.2, 0.045, 0.144, 0.17, 0.095, 0.106, 0.076]"
14,0.196,0.220,0.108,0.065,"[0.057, 0.154, 0.036, 0.198, 0.043, 0.132, 0.17, 0.106, 0.107, 0.075]"
15,0.195,0.220,0.108,0.065,"[0.059, 0.151, 0.036, 0.199, 0.043, 0.131, 0.171, 0.106, 0.103, 0.075]"
16,0.196,0.227,0.111,0.066,"[0.058, 0.162, 0.037, 0.226, 0.044, 0.143, 0.168, 0.093, 0.105, 0.076]"
