epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.313,0.400,0.182,0.110,"[0.094, 0.234, 0.044, 0.334, 0.055, 0.367, 0.266, 0.203, 0.13, 0.097]"
01,0.236,0.227,0.115,0.068,"[0.071, 0.157, 0.044, 0.22, 0.055, 0.131, 0.175, 0.095, 0.12, 0.082]"
02,0.224,0.221,0.113,0.067,"[0.069, 0.17, 0.033, 0.226, 0.051, 0.13, 0.172, 0.088, 0.115, 0.079]"
03,0.217,0.221,0.110,0.065,"[0.074, 0.148, 0.029, 0.214, 0.048, 0.13, 0.179, 0.097, 0.109, 0.075]"
04,0.211,0.218,0.108,0.067,"[0.062, 0.141, 0.027, 0.216, 0.049, 0.128, 0.176, 0.097, 0.111, 0.072]"
01,0.235,0.227,0.115,0.068,"[0.076, 0.158, 0.044, 0.22, 0.055, 0.13, 0.172, 0.094, 0.121, 0.081]"
05,0.209,0.226,0.117,0.070,"[0.079, 0.142, 0.04, 0.261, 0.047, 0.14, 0.187, 0.084, 0.111, 0.074]"
02,0.221,0.222,0.113,0.067,"[0.065, 0.161, 0.039, 0.208, 0.051, 0.141, 0.176, 0.102, 0.113, 0.076]"
06,0.205,0.218,0.107,0.064,"[0.058, 0.164, 0.029, 0.219, 0.045, 0.143, 0.156, 0.086, 0.108, 0.067]"
03,0.217,0.217,0.108,0.066,"[0.07, 0.152, 0.033, 0.213, 0.048, 0.128, 0.168, 0.087, 0.11, 0.075]"
07,0.203,0.217,0.106,0.059,"[0.055, 0.145, 0.029, 0.21, 0.043, 0.128, 0.173, 0.108, 0.101, 0.07]"
04,0.212,0.229,0.117,0.070,"[0.069, 0.146, 0.028, 0.251, 0.049, 0.131, 0.213, 0.099, 0.108, 0.072]"
08,0.202,0.217,0.108,0.063,"[0.056, 0.142, 0.027, 0.192, 0.043, 0.152, 0.187, 0.087, 0.118, 0.073]"
05,0.207,0.218,0.108,0.069,"[0.063, 0.14, 0.027, 0.223, 0.05, 0.126, 0.185, 0.091, 0.107, 0.074]"
09,0.199,0.212,0.099,0.059,"[0.054, 0.131, 0.026, 0.219, 0.042, 0.119, 0.149, 0.08, 0.104, 0.064]"
06,0.205,0.227,0.117,0.070,"[0.082, 0.142, 0.044, 0.271, 0.047, 0.136, 0.178, 0.083, 0.11, 0.075]"
10,0.198,0.237,0.116,0.065,"[0.066, 0.164, 0.034, 0.293, 0.041, 0.12, 0.179, 0.089, 0.11, 0.067]"
07,0.203,0.213,0.102,0.062,"[0.057, 0.137, 0.028, 0.213, 0.045, 0.124, 0.158, 0.082, 0.112, 0.067]"
11,0.196,0.213,0.102,0.059,"[0.056, 0.144, 0.028, 0.189, 0.042, 0.123, 0.187, 0.084, 0.103, 0.063]"
08,0.200,0.215,0.104,0.058,"[0.053, 0.143, 0.027, 0.201, 0.043, 0.125, 0.175, 0.106, 0.097, 0.065]"
12,0.195,0.210,0.098,0.057,"[0.052, 0.127, 0.029, 0.193, 0.042, 0.113, 0.157, 0.092, 0.108, 0.071]"
09,0.200,0.213,0.102,0.060,"[0.057, 0.143, 0.028, 0.193, 0.042, 0.125, 0.165, 0.085, 0.104, 0.075]"
13,0.193,0.222,0.106,0.059,"[0.061, 0.167, 0.024, 0.236, 0.04, 0.117, 0.157, 0.096, 0.098, 0.067]"
10,0.196,0.212,0.099,0.058,"[0.053, 0.138, 0.026, 0.223, 0.042, 0.111, 0.147, 0.08, 0.099, 0.067]"
