epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.378,0.275,0.132,0.083,"[0.082, 0.198, 0.044, 0.214, 0.055, 0.156, 0.199, 0.121, 0.149, 0.099]"
01,0.234,0.217,0.102,0.061,"[0.073, 0.127, 0.043, 0.168, 0.051, 0.119, 0.168, 0.087, 0.099, 0.085]"
02,0.202,0.210,0.096,0.056,"[0.056, 0.13, 0.039, 0.16, 0.047, 0.114, 0.15, 0.081, 0.095, 0.085]"
01,0.231,0.225,0.108,0.061,"[0.064, 0.138, 0.044, 0.204, 0.052, 0.125, 0.175, 0.098, 0.098, 0.084]"
03,0.189,0.203,0.090,0.051,"[0.051, 0.131, 0.028, 0.153, 0.041, 0.109, 0.141, 0.086, 0.092, 0.068]"
02,0.199,0.207,0.094,0.055,"[0.057, 0.115, 0.039, 0.172, 0.046, 0.118, 0.143, 0.082, 0.093, 0.077]"
04,0.183,0.206,0.088,0.049,"[0.055, 0.111, 0.028, 0.151, 0.04, 0.113, 0.146, 0.085, 0.091, 0.06]"
03,0.189,0.206,0.089,0.050,"[0.053, 0.122, 0.028, 0.149, 0.043, 0.112, 0.144, 0.083, 0.091, 0.065]"
05,0.179,0.201,0.086,0.047,"[0.055, 0.109, 0.026, 0.142, 0.038, 0.113, 0.146, 0.08, 0.089, 0.059]"
04,0.183,0.201,0.088,0.050,"[0.05, 0.118, 0.026, 0.15, 0.04, 0.111, 0.14, 0.089, 0.09, 0.061]"
06,0.177,0.203,0.087,0.049,"[0.052, 0.121, 0.025, 0.146, 0.038, 0.11, 0.144, 0.087, 0.09, 0.058]"
05,0.179,0.206,0.087,0.048,"[0.051, 0.109, 0.025, 0.147, 0.038, 0.114, 0.145, 0.086, 0.093, 0.061]"
07,0.176,0.200,0.085,0.047,"[0.048, 0.106, 0.025, 0.143, 0.04, 0.111, 0.143, 0.085, 0.091, 0.057]"
06,0.177,0.203,0.088,0.048,"[0.055, 0.116, 0.025, 0.146, 0.039, 0.115, 0.153, 0.081, 0.091, 0.059]"
08,0.174,0.203,0.087,0.048,"[0.049, 0.107, 0.025, 0.149, 0.039, 0.114, 0.149, 0.083, 0.092, 0.058]"
09,0.173,0.200,0.085,0.047,"[0.05, 0.104, 0.025, 0.145, 0.04, 0.111, 0.141, 0.082, 0.09, 0.059]"
07,0.176,0.205,0.088,0.049,"[0.052, 0.12, 0.025, 0.149, 0.039, 0.112, 0.148, 0.086, 0.09, 0.06]"
08,0.175,0.201,0.085,0.047,"[0.049, 0.108, 0.024, 0.147, 0.039, 0.112, 0.143, 0.083, 0.092, 0.057]"
10,0.172,0.202,0.087,0.048,"[0.052, 0.111, 0.023, 0.147, 0.039, 0.113, 0.141, 0.085, 0.09, 0.066]"
09,0.173,0.204,0.088,0.048,"[0.049, 0.11, 0.025, 0.149, 0.041, 0.119, 0.152, 0.085, 0.092, 0.061]"
11,0.173,0.205,0.089,0.049,"[0.056, 0.126, 0.026, 0.152, 0.039, 0.114, 0.139, 0.082, 0.091, 0.061]"
12,0.174,0.202,0.086,0.047,"[0.051, 0.111, 0.026, 0.145, 0.04, 0.111, 0.144, 0.088, 0.09, 0.058]"
10,0.172,0.200,0.085,0.047,"[0.05, 0.105, 0.023, 0.144, 0.04, 0.113, 0.141, 0.083, 0.091, 0.059]"
11,0.171,0.202,0.087,0.048,"[0.055, 0.113, 0.023, 0.149, 0.04, 0.113, 0.142, 0.087, 0.09, 0.06]"
13,0.173,0.202,0.086,0.047,"[0.05, 0.111, 0.025, 0.143, 0.04, 0.114, 0.142, 0.085, 0.092, 0.059]"
14,0.172,0.199,0.085,0.046,"[0.052, 0.105, 0.025, 0.143, 0.041, 0.112, 0.14, 0.084, 0.09, 0.059]"
12,0.172,0.205,0.089,0.049,"[0.056, 0.127, 0.025, 0.152, 0.039, 0.115, 0.14, 0.082, 0.091, 0.059]"
15,0.170,0.201,0.086,0.047,"[0.051, 0.11, 0.024, 0.145, 0.039, 0.114, 0.141, 0.083, 0.092, 0.059]"
13,0.174,0.202,0.087,0.048,"[0.051, 0.115, 0.023, 0.147, 0.04, 0.113, 0.143, 0.084, 0.091, 0.058]"
16,0.170,0.202,0.088,0.048,"[0.057, 0.116, 0.024, 0.145, 0.04, 0.112, 0.147, 0.084, 0.091, 0.062]"
14,0.172,0.202,0.086,0.048,"[0.049, 0.112, 0.024, 0.147, 0.04, 0.114, 0.144, 0.086, 0.091, 0.057]"
17,0.170,0.203,0.088,0.047,"[0.05, 0.108, 0.024, 0.152, 0.04, 0.118, 0.145, 0.092, 0.092, 0.056]"
15,0.172,0.201,0.087,0.047,"[0.051, 0.106, 0.023, 0.148, 0.041, 0.117, 0.143, 0.088, 0.09, 0.058]"
