epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.339,0.408,0.152,0.094,"[0.105, 0.217, 0.044, 0.333, 0.055, 0.179, 0.246, 0.114, 0.131, 0.098]"
01,0.261,0.256,0.134,0.084,"[0.092, 0.195, 0.044, 0.254, 0.053, 0.163, 0.217, 0.096, 0.128, 0.096]"
02,0.246,0.254,0.137,0.086,"[0.091, 0.193, 0.041, 0.294, 0.052, 0.163, 0.22, 0.095, 0.129, 0.093]"
03,0.238,0.251,0.139,0.087,"[0.087, 0.182, 0.077, 0.295, 0.053, 0.147, 0.214, 0.11, 0.129, 0.093]"
04,0.231,0.231,0.121,0.072,"[0.081, 0.175, 0.028, 0.228, 0.052, 0.159, 0.183, 0.09, 0.124, 0.09]"
05,0.229,0.232,0.124,0.077,"[0.078, 0.177, 0.034, 0.242, 0.051, 0.147, 0.2, 0.098, 0.123, 0.09]"
01,0.258,0.265,0.139,0.087,"[0.096, 0.224, 0.044, 0.255, 0.053, 0.172, 0.229, 0.093, 0.127, 0.094]"
06,0.227,0.237,0.128,0.078,"[0.076, 0.183, 0.032, 0.225, 0.049, 0.172, 0.191, 0.1, 0.138, 0.115]"
02,0.245,0.248,0.136,0.087,"[0.091, 0.191, 0.043, 0.251, 0.053, 0.186, 0.218, 0.109, 0.127, 0.095]"
07,0.223,0.232,0.120,0.073,"[0.069, 0.189, 0.028, 0.227, 0.049, 0.139, 0.199, 0.094, 0.123, 0.082]"
03,0.239,0.243,0.130,0.080,"[0.085, 0.181, 0.033, 0.27, 0.051, 0.16, 0.211, 0.089, 0.126, 0.092]"
08,0.221,0.228,0.120,0.072,"[0.096, 0.165, 0.039, 0.243, 0.048, 0.133, 0.18, 0.086, 0.118, 0.089]"
04,0.233,0.245,0.132,0.084,"[0.085, 0.183, 0.038, 0.277, 0.051, 0.148, 0.216, 0.095, 0.13, 0.093]"
09,0.219,0.240,0.132,0.074,"[0.092, 0.18, 0.043, 0.253, 0.048, 0.162, 0.213, 0.123, 0.12, 0.085]"
05,0.228,0.236,0.124,0.072,"[0.084, 0.17, 0.042, 0.255, 0.049, 0.144, 0.192, 0.1, 0.121, 0.082]"
10,0.221,0.254,0.138,0.090,"[0.088, 0.211, 0.029, 0.282, 0.048, 0.172, 0.232, 0.102, 0.133, 0.085]"
06,0.228,0.265,0.142,0.089,"[0.084, 0.198, 0.034, 0.304, 0.05, 0.15, 0.286, 0.101, 0.122, 0.086]"
11,0.218,0.228,0.117,0.072,"[0.07, 0.162, 0.03, 0.254, 0.048, 0.137, 0.182, 0.084, 0.115, 0.084]"
07,0.225,0.265,0.148,0.091,"[0.133, 0.186, 0.09, 0.319, 0.05, 0.171, 0.195, 0.11, 0.141, 0.083]"
12,0.216,0.235,0.125,0.073,"[0.066, 0.186, 0.027, 0.234, 0.048, 0.14, 0.177, 0.118, 0.121, 0.132]"
08,0.221,0.229,0.117,0.069,"[0.079, 0.173, 0.037, 0.222, 0.048, 0.133, 0.194, 0.088, 0.115, 0.079]"
13,0.213,0.290,0.138,0.077,"[0.085, 0.201, 0.032, 0.355, 0.047, 0.144, 0.199, 0.112, 0.118, 0.086]"
09,0.219,0.226,0.119,0.069,"[0.084, 0.178, 0.036, 0.243, 0.047, 0.14, 0.169, 0.09, 0.113, 0.085]"
14,0.213,0.234,0.119,0.073,"[0.071, 0.156, 0.027, 0.264, 0.047, 0.158, 0.194, 0.084, 0.108, 0.079]"
10,0.217,0.243,0.135,0.082,"[0.079, 0.178, 0.049, 0.261, 0.047, 0.162, 0.228, 0.126, 0.137, 0.082]"
15,0.208,0.226,0.115,0.064,"[0.064, 0.186, 0.029, 0.247, 0.047, 0.132, 0.17, 0.082, 0.11, 0.083]"
11,0.215,0.237,0.123,0.072,"[0.075, 0.185, 0.031, 0.23, 0.046, 0.166, 0.199, 0.092, 0.131, 0.076]"
16,0.208,0.222,0.111,0.065,"[0.062, 0.164, 0.028, 0.211, 0.048, 0.153, 0.175, 0.083, 0.11, 0.08]"
17,0.205,0.232,0.119,0.069,"[0.063, 0.213, 0.028, 0.254, 0.047, 0.127, 0.174, 0.085, 0.115, 0.082]"
12,0.213,0.230,0.122,0.075,"[0.068, 0.171, 0.032, 0.243, 0.047, 0.145, 0.202, 0.091, 0.135, 0.084]"
18,0.202,0.245,0.124,0.075,"[0.063, 0.167, 0.038, 0.293, 0.046, 0.136, 0.205, 0.086, 0.122, 0.082]"
13,0.214,0.226,0.117,0.069,"[0.098, 0.16, 0.028, 0.217, 0.047, 0.136, 0.181, 0.096, 0.12, 0.09]"
19,0.202,0.220,0.111,0.066,"[0.06, 0.169, 0.029, 0.225, 0.048, 0.136, 0.17, 0.086, 0.107, 0.079]"
14,0.210,0.250,0.125,0.069,"[0.092, 0.186, 0.037, 0.306, 0.047, 0.129, 0.175, 0.089, 0.11, 0.08]"
20,0.199,0.232,0.118,0.068,"[0.057, 0.223, 0.03, 0.276, 0.046, 0.123, 0.167, 0.083, 0.107, 0.068]"
15,0.209,0.229,0.115,0.069,"[0.064, 0.158, 0.03, 0.246, 0.047, 0.165, 0.176, 0.082, 0.104, 0.076]"
21,0.197,0.222,0.110,0.065,"[0.064, 0.164, 0.028, 0.22, 0.049, 0.128, 0.187, 0.082, 0.101, 0.078]"
16,0.205,0.223,0.113,0.063,"[0.073, 0.171, 0.03, 0.241, 0.046, 0.129, 0.167, 0.087, 0.104, 0.082]"
22,0.194,0.233,0.118,0.070,"[0.062, 0.167, 0.035, 0.256, 0.047, 0.139, 0.205, 0.086, 0.106, 0.08]"
17,0.205,0.229,0.121,0.071,"[0.06, 0.172, 0.027, 0.218, 0.046, 0.167, 0.184, 0.106, 0.115, 0.118]"
23,0.195,0.226,0.112,0.064,"[0.068, 0.169, 0.032, 0.218, 0.047, 0.125, 0.174, 0.092, 0.112, 0.077]"
18,0.204,0.227,0.116,0.065,"[0.071, 0.185, 0.027, 0.228, 0.047, 0.136, 0.177, 0.084, 0.12, 0.088]"
24,0.192,0.229,0.118,0.070,"[0.062, 0.186, 0.027, 0.232, 0.048, 0.133, 0.187, 0.114, 0.111, 0.078]"
19,0.201,0.239,0.122,0.071,"[0.059, 0.209, 0.046, 0.282, 0.046, 0.136, 0.168, 0.088, 0.111, 0.078]"
25,0.193,0.240,0.124,0.074,"[0.08, 0.16, 0.027, 0.256, 0.046, 0.137, 0.229, 0.1, 0.134, 0.072]"
20,0.200,0.220,0.109,0.064,"[0.059, 0.161, 0.037, 0.222, 0.048, 0.127, 0.171, 0.082, 0.106, 0.078]"
