epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.290,0.240,0.129,0.077,"[0.089, 0.178, 0.044, 0.248, 0.054, 0.16, 0.202, 0.093, 0.128, 0.094]"
01,0.240,0.236,0.126,0.078,"[0.081, 0.159, 0.031, 0.256, 0.052, 0.146, 0.207, 0.117, 0.125, 0.091]"
02,0.231,0.250,0.133,0.078,"[0.088, 0.171, 0.041, 0.283, 0.049, 0.157, 0.193, 0.114, 0.134, 0.102]"
03,0.226,0.223,0.115,0.068,"[0.072, 0.173, 0.036, 0.217, 0.049, 0.144, 0.175, 0.088, 0.116, 0.082]"
04,0.222,0.225,0.113,0.065,"[0.062, 0.161, 0.028, 0.224, 0.049, 0.142, 0.183, 0.084, 0.115, 0.081]"
05,0.221,0.226,0.117,0.067,"[0.078, 0.177, 0.028, 0.228, 0.048, 0.138, 0.181, 0.093, 0.111, 0.085]"
06,0.218,0.215,0.104,0.061,"[0.058, 0.145, 0.027, 0.207, 0.048, 0.126, 0.175, 0.083, 0.106, 0.069]"
07,0.216,0.217,0.106,0.064,"[0.06, 0.155, 0.03, 0.202, 0.05, 0.126, 0.18, 0.084, 0.108, 0.068]"
08,0.213,0.212,0.102,0.060,"[0.058, 0.149, 0.024, 0.196, 0.048, 0.124, 0.168, 0.088, 0.103, 0.066]"
09,0.212,0.212,0.101,0.059,"[0.055, 0.142, 0.026, 0.196, 0.046, 0.134, 0.164, 0.08, 0.094, 0.07]"
10,0.207,0.213,0.102,0.062,"[0.055, 0.14, 0.026, 0.221, 0.045, 0.118, 0.17, 0.081, 0.098, 0.064]"
11,0.206,0.211,0.101,0.057,"[0.057, 0.142, 0.035, 0.188, 0.045, 0.119, 0.163, 0.096, 0.097, 0.068]"
12,0.205,0.218,0.106,0.062,"[0.077, 0.168, 0.024, 0.203, 0.044, 0.124, 0.166, 0.082, 0.103, 0.065]"
13,0.204,0.211,0.100,0.056,"[0.053, 0.143, 0.025, 0.198, 0.045, 0.119, 0.167, 0.084, 0.091, 0.068]"
14,0.204,0.230,0.122,0.071,"[0.065, 0.168, 0.026, 0.223, 0.047, 0.159, 0.2, 0.089, 0.129, 0.117]"
15,0.201,0.217,0.104,0.061,"[0.056, 0.199, 0.024, 0.221, 0.042, 0.117, 0.153, 0.08, 0.091, 0.061]"
