epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.312,0.230,0.114,0.071,"[0.069, 0.159, 0.044, 0.201, 0.056, 0.134, 0.179, 0.093, 0.121, 0.087]"
01,0.221,0.220,0.107,0.064,"[0.056, 0.154, 0.04, 0.19, 0.046, 0.129, 0.182, 0.091, 0.1, 0.08]"
02,0.217,0.214,0.101,0.060,"[0.054, 0.138, 0.033, 0.189, 0.043, 0.125, 0.164, 0.091, 0.098, 0.075]"
03,0.215,0.217,0.103,0.063,"[0.06, 0.14, 0.033, 0.183, 0.042, 0.134, 0.181, 0.092, 0.098, 0.071]"
04,0.212,0.217,0.104,0.061,"[0.053, 0.156, 0.034, 0.186, 0.043, 0.135, 0.164, 0.099, 0.097, 0.07]"
05,0.211,0.217,0.102,0.062,"[0.053, 0.135, 0.033, 0.195, 0.042, 0.127, 0.16, 0.095, 0.107, 0.071]"
06,0.211,0.212,0.099,0.058,"[0.054, 0.138, 0.032, 0.18, 0.041, 0.122, 0.157, 0.095, 0.096, 0.072]"
07,0.209,0.212,0.098,0.058,"[0.052, 0.132, 0.033, 0.18, 0.042, 0.123, 0.161, 0.091, 0.096, 0.07]"
08,0.209,0.221,0.104,0.063,"[0.058, 0.135, 0.033, 0.208, 0.04, 0.124, 0.178, 0.089, 0.103, 0.072]"
09,0.212,0.211,0.097,0.057,"[0.052, 0.132, 0.032, 0.181, 0.041, 0.124, 0.159, 0.087, 0.096, 0.067]"
10,0.207,0.214,0.099,0.059,"[0.052, 0.137, 0.033, 0.189, 0.041, 0.123, 0.16, 0.089, 0.1, 0.068]"
11,0.208,0.215,0.100,0.059,"[0.052, 0.137, 0.032, 0.183, 0.04, 0.13, 0.162, 0.096, 0.097, 0.067]"
12,0.209,0.213,0.097,0.058,"[0.052, 0.134, 0.033, 0.181, 0.04, 0.122, 0.159, 0.087, 0.097, 0.068]"
13,0.207,0.214,0.099,0.058,"[0.051, 0.139, 0.031, 0.199, 0.039, 0.121, 0.16, 0.088, 0.096, 0.066]"
14,0.208,0.212,0.097,0.057,"[0.051, 0.132, 0.031, 0.182, 0.04, 0.127, 0.156, 0.087, 0.097, 0.067]"
15,0.209,0.223,0.105,0.063,"[0.054, 0.136, 0.031, 0.208, 0.041, 0.122, 0.197, 0.096, 0.098, 0.067]"
16,0.208,0.212,0.097,0.056,"[0.052, 0.132, 0.031, 0.179, 0.04, 0.122, 0.157, 0.087, 0.098, 0.069]"
17,0.209,0.223,0.104,0.062,"[0.056, 0.158, 0.031, 0.187, 0.041, 0.135, 0.16, 0.099, 0.098, 0.072]"
18,0.211,0.214,0.100,0.059,"[0.052, 0.131, 0.032, 0.179, 0.04, 0.123, 0.166, 0.106, 0.099, 0.067]"
19,0.210,0.214,0.098,0.058,"[0.055, 0.13, 0.031, 0.179, 0.045, 0.121, 0.162, 0.092, 0.097, 0.068]"
20,0.207,0.221,0.103,0.061,"[0.052, 0.145, 0.031, 0.222, 0.039, 0.125, 0.166, 0.088, 0.098, 0.067]"
21,0.208,0.214,0.099,0.058,"[0.055, 0.133, 0.032, 0.187, 0.045, 0.122, 0.157, 0.088, 0.099, 0.068]"
22,0.205,0.212,0.096,0.057,"[0.052, 0.131, 0.031, 0.178, 0.04, 0.125, 0.158, 0.087, 0.096, 0.067]"
23,0.205,0.213,0.097,0.057,"[0.053, 0.135, 0.032, 0.179, 0.041, 0.122, 0.157, 0.086, 0.097, 0.068]"
24,0.207,0.219,0.100,0.060,"[0.052, 0.136, 0.031, 0.188, 0.04, 0.124, 0.178, 0.088, 0.098, 0.067]"
25,0.206,0.214,0.099,0.058,"[0.057, 0.135, 0.032, 0.185, 0.041, 0.123, 0.16, 0.087, 0.1, 0.068]"
26,0.208,0.214,0.098,0.057,"[0.053, 0.133, 0.031, 0.179, 0.041, 0.122, 0.159, 0.096, 0.097, 0.067]"
27,0.210,0.219,0.104,0.061,"[0.053, 0.151, 0.031, 0.187, 0.04, 0.148, 0.172, 0.09, 0.096, 0.067]"
28,0.206,0.213,0.097,0.057,"[0.055, 0.136, 0.031, 0.179, 0.04, 0.124, 0.158, 0.087, 0.097, 0.067]"
29,0.204,0.220,0.104,0.062,"[0.057, 0.143, 0.031, 0.2, 0.041, 0.125, 0.189, 0.092, 0.098, 0.066]"
30,0.206,0.214,0.098,0.057,"[0.052, 0.133, 0.031, 0.186, 0.04, 0.121, 0.159, 0.092, 0.097, 0.066]"
31,0.205,0.212,0.096,0.056,"[0.055, 0.129, 0.03, 0.177, 0.042, 0.122, 0.158, 0.087, 0.096, 0.066]"
32,0.206,0.213,0.097,0.057,"[0.052, 0.132, 0.031, 0.185, 0.039, 0.123, 0.157, 0.087, 0.098, 0.066]"
33,0.208,0.220,0.101,0.059,"[0.052, 0.132, 0.031, 0.2, 0.041, 0.131, 0.168, 0.088, 0.096, 0.069]"
34,0.207,0.217,0.101,0.060,"[0.056, 0.151, 0.031, 0.183, 0.04, 0.131, 0.161, 0.087, 0.101, 0.067]"
35,0.207,0.214,0.097,0.057,"[0.052, 0.131, 0.031, 0.182, 0.04, 0.123, 0.162, 0.087, 0.096, 0.067]"
36,0.206,0.218,0.100,0.059,"[0.062, 0.131, 0.031, 0.181, 0.04, 0.124, 0.159, 0.09, 0.109, 0.068]"
37,0.205,0.220,0.103,0.061,"[0.053, 0.133, 0.032, 0.19, 0.04, 0.142, 0.188, 0.087, 0.098, 0.068]"
38,0.207,0.216,0.099,0.059,"[0.053, 0.135, 0.03, 0.182, 0.041, 0.124, 0.17, 0.088, 0.1, 0.068]"
39,0.207,0.216,0.101,0.060,"[0.053, 0.135, 0.031, 0.181, 0.042, 0.137, 0.175, 0.087, 0.097, 0.07]"
40,0.206,0.216,0.100,0.059,"[0.054, 0.131, 0.031, 0.18, 0.041, 0.122, 0.171, 0.104, 0.097, 0.068]"
41,0.205,0.215,0.098,0.058,"[0.052, 0.133, 0.031, 0.182, 0.04, 0.123, 0.16, 0.092, 0.101, 0.068]"
42,0.205,0.214,0.098,0.057,"[0.055, 0.135, 0.03, 0.18, 0.04, 0.122, 0.163, 0.09, 0.097, 0.067]"
43,0.204,0.214,0.098,0.058,"[0.055, 0.132, 0.031, 0.181, 0.04, 0.125, 0.165, 0.087, 0.098, 0.067]"
44,0.206,0.216,0.100,0.058,"[0.055, 0.149, 0.031, 0.187, 0.04, 0.123, 0.158, 0.089, 0.097, 0.07]"
45,0.206,0.217,0.101,0.059,"[0.065, 0.133, 0.03, 0.19, 0.04, 0.129, 0.166, 0.089, 0.097, 0.067]"
46,0.205,0.214,0.098,0.057,"[0.054, 0.131, 0.031, 0.182, 0.04, 0.126, 0.159, 0.089, 0.097, 0.07]"
47,0.206,0.220,0.101,0.060,"[0.054, 0.134, 0.031, 0.19, 0.04, 0.126, 0.176, 0.091, 0.1, 0.07]"
48,0.205,0.215,0.098,0.057,"[0.053, 0.132, 0.032, 0.182, 0.04, 0.127, 0.162, 0.091, 0.097, 0.067]"
49,0.207,0.223,0.104,0.061,"[0.053, 0.132, 0.03, 0.189, 0.04, 0.131, 0.205, 0.092, 0.1, 0.067]"
50,0.205,0.216,0.098,0.058,"[0.052, 0.142, 0.03, 0.182, 0.04, 0.123, 0.162, 0.089, 0.097, 0.067]"
51,0.204,0.213,0.098,0.057,"[0.058, 0.131, 0.033, 0.18, 0.04, 0.122, 0.159, 0.088, 0.099, 0.067]"
52,0.206,0.214,0.098,0.057,"[0.053, 0.132, 0.031, 0.184, 0.041, 0.122, 0.161, 0.089, 0.097, 0.067]"
53,0.209,0.227,0.107,0.063,"[0.059, 0.133, 0.031, 0.204, 0.041, 0.129, 0.216, 0.091, 0.097, 0.07]"
54,0.208,0.216,0.099,0.058,"[0.053, 0.137, 0.03, 0.181, 0.041, 0.123, 0.167, 0.09, 0.098, 0.072]"
55,0.206,0.216,0.099,0.058,"[0.053, 0.136, 0.031, 0.195, 0.041, 0.122, 0.159, 0.09, 0.097, 0.068]"
56,0.205,0.214,0.098,0.057,"[0.053, 0.139, 0.031, 0.185, 0.039, 0.123, 0.159, 0.088, 0.097, 0.066]"
57,0.205,0.216,0.100,0.058,"[0.062, 0.135, 0.032, 0.183, 0.041, 0.13, 0.158, 0.09, 0.097, 0.068]"
58,0.205,0.220,0.101,0.058,"[0.064, 0.138, 0.031, 0.183, 0.04, 0.123, 0.174, 0.089, 0.097, 0.068]"
59,0.203,0.215,0.099,0.058,"[0.053, 0.131, 0.031, 0.18, 0.04, 0.126, 0.164, 0.096, 0.097, 0.07]"
60,0.208,0.217,0.100,0.058,"[0.054, 0.141, 0.031, 0.186, 0.041, 0.122, 0.159, 0.094, 0.097, 0.073]"
61,0.205,0.219,0.103,0.060,"[0.054, 0.162, 0.031, 0.191, 0.04, 0.124, 0.161, 0.094, 0.099, 0.069]"
