epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.324,0.253,0.141,0.089,"[0.094, 0.218, 0.043, 0.257, 0.054, 0.167, 0.231, 0.123, 0.129, 0.094]"
01,0.251,0.243,0.132,0.085,"[0.088, 0.196, 0.037, 0.253, 0.053, 0.157, 0.218, 0.099, 0.127, 0.093]"
02,0.250,0.240,0.130,0.082,"[0.087, 0.191, 0.034, 0.252, 0.053, 0.156, 0.211, 0.097, 0.128, 0.093]"
03,0.244,0.239,0.128,0.082,"[0.085, 0.187, 0.034, 0.251, 0.052, 0.153, 0.208, 0.092, 0.127, 0.091]"
04,0.243,0.238,0.127,0.081,"[0.085, 0.187, 0.033, 0.248, 0.052, 0.15, 0.207, 0.091, 0.129, 0.092]"
05,0.241,0.240,0.127,0.080,"[0.085, 0.182, 0.035, 0.248, 0.052, 0.149, 0.206, 0.094, 0.126, 0.091]"
06,0.241,0.237,0.127,0.081,"[0.084, 0.179, 0.033, 0.253, 0.052, 0.147, 0.203, 0.088, 0.138, 0.09]"
07,0.240,0.236,0.126,0.079,"[0.09, 0.18, 0.032, 0.245, 0.052, 0.147, 0.206, 0.088, 0.127, 0.09]"
08,0.240,0.244,0.131,0.082,"[0.087, 0.192, 0.032, 0.272, 0.052, 0.149, 0.217, 0.092, 0.125, 0.092]"
09,0.240,0.239,0.127,0.082,"[0.082, 0.18, 0.033, 0.257, 0.052, 0.147, 0.204, 0.094, 0.136, 0.088]"
10,0.238,0.240,0.127,0.078,"[0.086, 0.185, 0.033, 0.254, 0.052, 0.151, 0.206, 0.09, 0.125, 0.088]"
11,0.239,0.239,0.127,0.080,"[0.093, 0.183, 0.037, 0.244, 0.051, 0.156, 0.211, 0.086, 0.125, 0.088]"
12,0.237,0.236,0.125,0.079,"[0.082, 0.176, 0.031, 0.243, 0.051, 0.143, 0.208, 0.087, 0.137, 0.087]"
13,0.236,0.236,0.125,0.079,"[0.093, 0.175, 0.033, 0.242, 0.051, 0.151, 0.201, 0.088, 0.125, 0.087]"
14,0.236,0.235,0.124,0.077,"[0.084, 0.179, 0.037, 0.242, 0.051, 0.146, 0.207, 0.086, 0.124, 0.087]"
15,0.236,0.235,0.124,0.077,"[0.086, 0.184, 0.029, 0.243, 0.051, 0.146, 0.204, 0.085, 0.124, 0.086]"
16,0.235,0.233,0.123,0.076,"[0.088, 0.174, 0.03, 0.242, 0.051, 0.142, 0.201, 0.086, 0.126, 0.086]"
17,0.238,0.233,0.121,0.075,"[0.08, 0.174, 0.029, 0.239, 0.05, 0.143, 0.2, 0.085, 0.124, 0.085]"
18,0.233,0.232,0.121,0.077,"[0.081, 0.176, 0.03, 0.24, 0.051, 0.143, 0.198, 0.085, 0.125, 0.087]"
19,0.235,0.236,0.124,0.076,"[0.095, 0.175, 0.029, 0.243, 0.051, 0.147, 0.199, 0.085, 0.124, 0.086]"
20,0.235,0.233,0.122,0.075,"[0.086, 0.176, 0.03, 0.242, 0.051, 0.143, 0.2, 0.086, 0.124, 0.085]"
21,0.234,0.238,0.124,0.077,"[0.084, 0.177, 0.033, 0.261, 0.051, 0.142, 0.202, 0.085, 0.125, 0.085]"
22,0.234,0.233,0.122,0.075,"[0.079, 0.176, 0.029, 0.239, 0.05, 0.141, 0.205, 0.088, 0.126, 0.085]"
23,0.234,0.234,0.122,0.075,"[0.079, 0.179, 0.029, 0.242, 0.05, 0.142, 0.198, 0.085, 0.127, 0.084]"
24,0.233,0.233,0.122,0.076,"[0.08, 0.177, 0.03, 0.24, 0.05, 0.142, 0.205, 0.087, 0.13, 0.084]"
25,0.232,0.233,0.122,0.076,"[0.08, 0.171, 0.03, 0.246, 0.05, 0.143, 0.203, 0.088, 0.123, 0.085]"
26,0.234,0.234,0.122,0.076,"[0.079, 0.18, 0.031, 0.239, 0.05, 0.143, 0.207, 0.085, 0.123, 0.084]"
27,0.235,0.232,0.121,0.075,"[0.082, 0.175, 0.029, 0.24, 0.05, 0.141, 0.198, 0.085, 0.123, 0.084]"
28,0.232,0.235,0.123,0.077,"[0.079, 0.171, 0.029, 0.256, 0.05, 0.142, 0.208, 0.086, 0.123, 0.084]"
