epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.288,0.251,0.138,0.086,"[0.095, 0.218, 0.043, 0.259, 0.053, 0.17, 0.217, 0.102, 0.128, 0.093]"
01,0.249,0.240,0.130,0.082,"[0.092, 0.187, 0.041, 0.249, 0.053, 0.157, 0.21, 0.093, 0.129, 0.092]"
02,0.244,0.239,0.129,0.080,"[0.095, 0.182, 0.038, 0.247, 0.052, 0.152, 0.215, 0.091, 0.127, 0.09]"
03,0.246,0.236,0.125,0.079,"[0.082, 0.178, 0.033, 0.245, 0.052, 0.149, 0.205, 0.087, 0.128, 0.09]"
04,0.244,0.235,0.124,0.078,"[0.082, 0.178, 0.03, 0.247, 0.052, 0.146, 0.207, 0.088, 0.125, 0.088]"
05,0.240,0.237,0.125,0.077,"[0.085, 0.187, 0.032, 0.244, 0.052, 0.146, 0.201, 0.086, 0.128, 0.089]"
06,0.241,0.238,0.125,0.078,"[0.081, 0.185, 0.033, 0.245, 0.052, 0.146, 0.202, 0.091, 0.124, 0.088]"
07,0.239,0.233,0.123,0.077,"[0.094, 0.174, 0.031, 0.241, 0.051, 0.144, 0.2, 0.085, 0.124, 0.086]"
08,0.238,0.241,0.128,0.079,"[0.09, 0.185, 0.03, 0.276, 0.051, 0.147, 0.205, 0.085, 0.124, 0.086]"
09,0.238,0.233,0.122,0.076,"[0.093, 0.172, 0.031, 0.24, 0.051, 0.144, 0.199, 0.086, 0.124, 0.085]"
10,0.238,0.231,0.121,0.075,"[0.08, 0.172, 0.03, 0.241, 0.051, 0.142, 0.197, 0.085, 0.123, 0.086]"
11,0.238,0.237,0.124,0.077,"[0.08, 0.184, 0.03, 0.257, 0.05, 0.142, 0.205, 0.088, 0.124, 0.084]"
12,0.239,0.233,0.122,0.077,"[0.079, 0.173, 0.03, 0.24, 0.05, 0.143, 0.203, 0.087, 0.131, 0.084]"
13,0.237,0.232,0.121,0.075,"[0.079, 0.172, 0.03, 0.24, 0.05, 0.142, 0.2, 0.087, 0.124, 0.085]"
14,0.238,0.230,0.120,0.075,"[0.079, 0.171, 0.029, 0.239, 0.05, 0.141, 0.196, 0.085, 0.122, 0.086]"
15,0.236,0.247,0.128,0.079,"[0.082, 0.182, 0.029, 0.286, 0.05, 0.14, 0.222, 0.085, 0.122, 0.084]"
16,0.236,0.234,0.122,0.075,"[0.089, 0.174, 0.031, 0.241, 0.05, 0.145, 0.198, 0.086, 0.122, 0.085]"
17,0.236,0.246,0.125,0.078,"[0.079, 0.175, 0.03, 0.265, 0.05, 0.148, 0.204, 0.093, 0.123, 0.085]"
18,0.236,0.231,0.120,0.074,"[0.079, 0.172, 0.03, 0.238, 0.049, 0.142, 0.196, 0.084, 0.123, 0.084]"
19,0.236,0.233,0.121,0.076,"[0.095, 0.169, 0.029, 0.244, 0.049, 0.142, 0.195, 0.084, 0.121, 0.084]"
20,0.236,0.231,0.120,0.075,"[0.082, 0.171, 0.029, 0.243, 0.049, 0.14, 0.196, 0.085, 0.122, 0.084]"
21,0.236,0.236,0.123,0.075,"[0.079, 0.183, 0.03, 0.253, 0.049, 0.14, 0.198, 0.088, 0.123, 0.083]"
22,0.235,0.231,0.120,0.074,"[0.077, 0.171, 0.032, 0.238, 0.049, 0.143, 0.195, 0.085, 0.121, 0.083]"
23,0.236,0.235,0.121,0.075,"[0.077, 0.171, 0.03, 0.245, 0.049, 0.142, 0.203, 0.084, 0.121, 0.083]"
24,0.237,0.245,0.127,0.081,"[0.084, 0.177, 0.03, 0.271, 0.049, 0.141, 0.214, 0.086, 0.134, 0.082]"
25,0.235,0.231,0.119,0.074,"[0.078, 0.176, 0.03, 0.237, 0.049, 0.14, 0.195, 0.084, 0.123, 0.083]"
26,0.235,0.234,0.121,0.075,"[0.08, 0.181, 0.029, 0.244, 0.05, 0.14, 0.196, 0.084, 0.122, 0.083]"
27,0.234,0.231,0.120,0.075,"[0.078, 0.17, 0.029, 0.24, 0.049, 0.148, 0.197, 0.086, 0.122, 0.083]"
28,0.234,0.231,0.120,0.074,"[0.078, 0.17, 0.029, 0.238, 0.049, 0.146, 0.195, 0.085, 0.126, 0.083]"
29,0.235,0.233,0.122,0.074,"[0.085, 0.174, 0.032, 0.249, 0.049, 0.146, 0.197, 0.085, 0.121, 0.083]"
30,0.235,0.231,0.120,0.074,"[0.083, 0.176, 0.028, 0.239, 0.049, 0.139, 0.195, 0.084, 0.122, 0.082]"
31,0.236,0.230,0.119,0.074,"[0.077, 0.17, 0.029, 0.237, 0.049, 0.143, 0.195, 0.084, 0.121, 0.083]"
