epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.230,0.227,0.119,0.068,"[0.054, 0.165, 0.026, 0.192, 0.045, 0.138, 0.178, 0.114, 0.116, 0.159]"
01,0.207,0.201,0.090,0.051,"[0.054, 0.12, 0.026, 0.165, 0.039, 0.11, 0.142, 0.082, 0.095, 0.064]"
02,0.202,0.200,0.085,0.049,"[0.05, 0.117, 0.023, 0.159, 0.04, 0.105, 0.13, 0.076, 0.093, 0.059]"
03,0.199,0.207,0.096,0.055,"[0.05, 0.145, 0.021, 0.189, 0.039, 0.135, 0.153, 0.075, 0.094, 0.058]"
04,0.197,0.219,0.112,0.061,"[0.045, 0.168, 0.019, 0.198, 0.04, 0.145, 0.213, 0.11, 0.097, 0.082]"
05,0.195,0.194,0.078,0.043,"[0.045, 0.103, 0.021, 0.128, 0.036, 0.098, 0.129, 0.082, 0.084, 0.052]"
06,0.194,0.204,0.086,0.047,"[0.051, 0.143, 0.02, 0.171, 0.037, 0.102, 0.129, 0.076, 0.083, 0.049]"
07,0.193,0.193,0.076,0.042,"[0.045, 0.094, 0.018, 0.135, 0.036, 0.097, 0.129, 0.071, 0.089, 0.047]"
08,0.192,0.192,0.074,0.041,"[0.041, 0.096, 0.02, 0.128, 0.035, 0.1, 0.118, 0.07, 0.088, 0.043]"
09,0.190,0.219,0.110,0.063,"[0.051, 0.146, 0.022, 0.182, 0.037, 0.117, 0.204, 0.117, 0.172, 0.052]"
10,0.189,0.191,0.074,0.041,"[0.047, 0.092, 0.018, 0.13, 0.035, 0.097, 0.128, 0.071, 0.082, 0.046]"
11,0.188,0.192,0.075,0.041,"[0.041, 0.105, 0.019, 0.13, 0.034, 0.098, 0.121, 0.074, 0.081, 0.046]"
12,0.187,0.193,0.076,0.042,"[0.042, 0.104, 0.017, 0.135, 0.035, 0.106, 0.125, 0.069, 0.082, 0.042]"
13,0.186,0.200,0.083,0.047,"[0.044, 0.106, 0.019, 0.152, 0.035, 0.111, 0.152, 0.08, 0.084, 0.046]"
14,0.185,0.192,0.074,0.040,"[0.043, 0.097, 0.018, 0.123, 0.035, 0.096, 0.121, 0.08, 0.082, 0.045]"
15,0.184,0.194,0.080,0.043,"[0.071, 0.092, 0.02, 0.139, 0.035, 0.103, 0.139, 0.07, 0.086, 0.042]"
16,0.183,0.196,0.079,0.046,"[0.042, 0.091, 0.018, 0.152, 0.035, 0.117, 0.137, 0.074, 0.086, 0.043]"
17,0.182,0.193,0.075,0.041,"[0.041, 0.107, 0.019, 0.128, 0.036, 0.098, 0.121, 0.071, 0.082, 0.048]"
18,0.181,0.197,0.082,0.044,"[0.047, 0.12, 0.019, 0.14, 0.034, 0.1, 0.131, 0.097, 0.087, 0.046]"
19,0.181,0.195,0.077,0.042,"[0.044, 0.1, 0.017, 0.138, 0.036, 0.101, 0.13, 0.077, 0.082, 0.048]"
20,0.180,0.192,0.074,0.042,"[0.04, 0.091, 0.018, 0.132, 0.036, 0.098, 0.128, 0.071, 0.082, 0.04]"
21,0.179,0.193,0.078,0.042,"[0.056, 0.11, 0.021, 0.124, 0.036, 0.105, 0.12, 0.079, 0.085, 0.043]"
22,0.178,0.194,0.076,0.042,"[0.047, 0.096, 0.018, 0.129, 0.035, 0.108, 0.129, 0.076, 0.084, 0.039]"
23,0.177,0.195,0.077,0.042,"[0.043, 0.089, 0.017, 0.126, 0.038, 0.103, 0.138, 0.075, 0.101, 0.042]"
24,0.176,0.191,0.073,0.040,"[0.042, 0.09, 0.017, 0.122, 0.038, 0.1, 0.122, 0.072, 0.087, 0.04]"
25,0.175,0.193,0.076,0.041,"[0.045, 0.094, 0.018, 0.133, 0.038, 0.105, 0.127, 0.077, 0.081, 0.04]"
26,0.175,0.194,0.080,0.044,"[0.043, 0.107, 0.025, 0.135, 0.036, 0.108, 0.137, 0.082, 0.083, 0.042]"
27,0.175,0.191,0.074,0.040,"[0.041, 0.095, 0.017, 0.126, 0.036, 0.098, 0.121, 0.082, 0.081, 0.041]"
28,0.174,0.192,0.075,0.040,"[0.042, 0.094, 0.017, 0.117, 0.036, 0.099, 0.123, 0.098, 0.081, 0.041]"
29,0.174,0.194,0.077,0.042,"[0.041, 0.104, 0.017, 0.129, 0.037, 0.101, 0.131, 0.088, 0.081, 0.042]"
30,0.173,0.196,0.080,0.042,"[0.042, 0.117, 0.017, 0.147, 0.037, 0.1, 0.135, 0.079, 0.082, 0.041]"
31,0.173,0.191,0.074,0.039,"[0.047, 0.092, 0.017, 0.122, 0.037, 0.098, 0.127, 0.073, 0.082, 0.041]"
32,0.173,0.192,0.074,0.040,"[0.044, 0.102, 0.017, 0.13, 0.037, 0.097, 0.121, 0.073, 0.081, 0.041]"
33,0.172,0.192,0.075,0.041,"[0.046, 0.094, 0.017, 0.125, 0.036, 0.096, 0.132, 0.075, 0.082, 0.042]"
34,0.172,0.193,0.076,0.043,"[0.041, 0.097, 0.018, 0.128, 0.036, 0.11, 0.133, 0.075, 0.083, 0.041]"
35,0.172,0.191,0.072,0.039,"[0.042, 0.092, 0.017, 0.117, 0.036, 0.098, 0.121, 0.073, 0.085, 0.042]"
36,0.173,0.193,0.075,0.040,"[0.042, 0.102, 0.017, 0.129, 0.036, 0.099, 0.125, 0.074, 0.082, 0.04]"
37,0.172,0.192,0.073,0.039,"[0.042, 0.097, 0.018, 0.12, 0.036, 0.105, 0.121, 0.072, 0.081, 0.039]"
38,0.171,0.191,0.073,0.039,"[0.042, 0.092, 0.017, 0.122, 0.037, 0.097, 0.122, 0.074, 0.081, 0.041]"
39,0.171,0.191,0.073,0.039,"[0.049, 0.091, 0.021, 0.118, 0.037, 0.097, 0.119, 0.073, 0.085, 0.041]"
40,0.171,0.192,0.074,0.040,"[0.045, 0.09, 0.017, 0.126, 0.035, 0.098, 0.126, 0.077, 0.082, 0.042]"
41,0.171,0.193,0.077,0.042,"[0.043, 0.112, 0.019, 0.134, 0.035, 0.101, 0.124, 0.084, 0.081, 0.041]"
42,0.171,0.192,0.074,0.041,"[0.041, 0.105, 0.019, 0.12, 0.037, 0.099, 0.123, 0.073, 0.081, 0.043]"
43,0.170,0.195,0.077,0.041,"[0.053, 0.107, 0.018, 0.138, 0.036, 0.1, 0.125, 0.073, 0.081, 0.041]"
44,0.170,0.192,0.074,0.040,"[0.051, 0.092, 0.019, 0.118, 0.037, 0.099, 0.124, 0.075, 0.082, 0.041]"
45,0.170,0.193,0.075,0.040,"[0.046, 0.093, 0.02, 0.12, 0.036, 0.098, 0.124, 0.075, 0.097, 0.041]"
46,0.170,0.192,0.075,0.040,"[0.053, 0.104, 0.018, 0.123, 0.035, 0.099, 0.12, 0.076, 0.081, 0.044]"
